Name,ExpressionSetId,ExpressionSet.ApiName,ReferenceObjectId,ConstraintModelTag,ConstraintModelTagType
ECO-000000044,9QLWt000002tpTlOAI,Server2,01tWt000009KMaiIAG,Server,Type
ECO-000000095,9QLWt000002tpTlOAI,Server2,0dSWt000000FLaiMAG,ram64,Port
ECO-000000045,9QLWt000002tpTlOAI,Server2,01tWt000009KMaNIAW,Gold_22Ghz_28C56T,Type
ECO-000000046,9QLWt000002tpTlOAI,Server2,0dSWt000000FLayMAG,ssd2,Port
ECO-000000047,9QLWt000002tpTlOAI,Server2,01tWt000009KMaOIAW,Gold_3Ghz_18C36T,Type
ECO-000000048,9QLWt000002tpTlOAI,Server2,01tWt000009KMaMIAW,Gold_21Ghz_24C48T,Type
ECO-000000049,9QLWt000002tpTlOAI,Server2,01tWt000009KMaQIAW,Plat_22Ghz_32C64T,Type
ECO-000000085,9QLWt000002tpTlOAI,Server2,01tWt000009KMaeIAG,QBPowerCore800S,Type
ECO-000000122,9QLWt000002tpTlOAI,Server2,0dSWt000000FLauMAG,pwr2000d,Port
ECO-000000050,9QLWt000002tpTlOAI,Server2,01tWt000009KMaRIAW,Plat_24Ghz_36C72T,Type
ECO-000000051,9QLWt000002tpTlOAI,Server2,01tWt000009KMaSIAW,Plat_24Ghz_38C76T,Type
ECO-000000064,9QLWt000002tpTlOAI,Server2,01tWt000009KMaLIAW,HDD3_Small,Type
ECO-000000052,9QLWt000002tpTlOAI,Server2,01tWt000009KMaPIAW,Plat_23Ghz_32C64T,Type
ECO-000000087,9QLWt000002tpTlOAI,Server2,0dSWt000000FLaXMAW,gold21ghz,Port
ECO-000000053,9QLWt000002tpTlOAI,Server2,01tWt000009KMaIIAW,AirCooler,Type
ECO-000000054,9QLWt000002tpTlOAI,Server2,01tWt000009KMaTIAW,LiquidCooler,Type
ECO-000000070,9QLWt000002tpTlOAI,Server2,01tWt000009KManIAG,SSD4,Type
