$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
APT_CAT_PROG;APT-BND-ENTERPRISE-PM,CAT-APT-DEMO,true,APT-BND-ENTERPRISE-PM,APT_CAT_PROG
APT_CAT_PROG;APT-PM-FRAMEWORK,CAT-APT-DEMO,true,APT-PM-FRAMEWORK,APT_CAT_PROG
APT_CAT_PROG;APT-COST-SCHED-QC,CAT-APT-DEMO,true,APT-COST-SCHED-QC,APT_CAT_PROG
APT_CAT_IND;APT-BND-IND-ENERGY,CAT-APT-DEMO,true,APT-BND-IND-ENERGY,APT_CAT_IND
APT_CAT_IND;APT-TAR-OUTAGE,CAT-APT-DEMO,true,APT-TAR-OUTAGE,APT_CAT_IND
APT_CAT_IND;APT-RCM-MAINT,CAT-APT-DEMO,true,APT-RCM-MAINT,APT_CAT_IND
APT_CAT_ENG;APT-BND-FUEL-SYS,CAT-APT-DEMO,true,APT-BND-FUEL-SYS,APT_CAT_ENG
APT_CAT_ENG;APT-FUEL-ENG,CAT-APT-DEMO,true,APT-FUEL-ENG,APT_CAT_ENG
APT_CAT_ENG;APT-FUEL-CONST,CAT-APT-DEMO,true,APT-FUEL-CONST,APT_CAT_ENG
APT_CAT_ENG;APT-BND-CIVIL-STRUCT,CAT-APT-DEMO,true,APT-BND-CIVIL-STRUCT,APT_CAT_ENG
APT_CAT_ENG;APT-SITE-INFRA,CAT-APT-DEMO,true,APT-SITE-INFRA,APT_CAT_ENG
APT_CAT_ENG;APT-BIM-DIGITAL,CAT-APT-DEMO,true,APT-BIM-DIGITAL,APT_CAT_ENG
APT_CAT_ENV;APT-REM-COMPLY,CAT-APT-DEMO,true,APT-REM-COMPLY,APT_CAT_ENV
APT_CAT_RES;APT-EMERG-RESPONSE,CAT-APT-DEMO,true,APT-EMERG-RESPONSE,APT_CAT_RES
