DisplayUrl,Name,StockKeepingUnit
/resource/ChicagoBullsLogo,Full Season Ticket (82 Games),BULLS-ST-FULL
/resource/ChicagoBullsLogo,20-Game Plan,BULLS-ST-20
/resource/ChicagoBullsLogo,10-Game Plan,BULLS-ST-10
/resource/ChicagoBullsLogo,Bulls Pro Digital Membership,BULLS-MBR-PRO
/resource/ChicagoBullsLogo,Youth Elite Training Program,BULLS-YTH-ELITE
/resource/ChicagoBullsLogo,Lower Level Suite Rental,BULLS-SUITE-LOWER
/resource/ChicagoBullsLogo,Club Level Suite Rental,BULLS-SUITE-CLUB
/resource/ChicagoBullsLogo,Tunnel Experience,BULLS-EXP-TUNNEL
/resource/ChicagoBullsLogo,Anthem Buddies,BULLS-EXP-ANTHEM
/resource/ChicagoBullsLogo,Benchwarmers Warm-Up Access,BULLS-EXP-BENCH
/resource/ChicagoBullsLogo,Youth Hoops Summer Camp,BULLS-CAMP-SUMMER
/resource/ChicagoBullsLogo,Family Fun Pack,BULLS-FAM-PACK
/resource/ChicagoBullsLogo,Corporate Hospitality Package,BULLS-CORP-PKG
