ProductCategory.Code,Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,$$ProductCategory.Code$Product.StockKeepingUnit
LF-PC-GUTTER,LF-GUARD-CORE,CD-DEMO-CAT,true,LF-PC-GUTTER;LF-GUARD-CORE
LF-PC-GUTTER,LF-INSTALL-STD,CD-DEMO-CAT,true,LF-PC-GUTTER;LF-INSTALL-STD
LF-PC-SVC,LF-SITE-SURVEY,CD-DEMO-CAT,true,LF-PC-SVC;LF-SITE-SURVEY
LF-PC-SVC,LF-GUTTER-CLEAN,CD-DEMO-CAT,true,LF-PC-SVC;LF-GUTTER-CLEAN
LF-PC-DRAIN,LF-SEAMLESS-SEG,CD-DEMO-CAT,true,LF-PC-DRAIN;LF-SEAMLESS-SEG
LF-PC-DRAIN,LF-DOWNSPOUT-KIT,CD-DEMO-CAT,true,LF-PC-DRAIN;LF-DOWNSPOUT-KIT
LF-PC-SVC,LF-DEBRIS-BRUSH,CD-DEMO-CAT,true,LF-PC-SVC;LF-DEBRIS-BRUSH
LF-PC-BUNDLE,LF-BUNDLE-GUARD-INSTALL,CD-DEMO-CAT,true,LF-PC-BUNDLE;LF-BUNDLE-GUARD-INSTALL
LF-PC-BUNDLE,LF-BUNDLE-GUARD-FULL,CD-DEMO-CAT,true,LF-PC-BUNDLE;LF-BUNDLE-GUARD-FULL
LF-PC-CARE,LF-CARE-ANNUAL,CD-DEMO-CAT,true,LF-PC-CARE;LF-CARE-ANNUAL
LF-PC-SVC,LF-WARRANTY-REG,CD-DEMO-CAT,true,LF-PC-SVC;LF-WARRANTY-REG
LF-PC-DRAIN,LF-OUTDOOR-LIGHT-ADDON,CD-DEMO-CAT,true,LF-PC-DRAIN;LF-OUTDOOR-LIGHT-ADDON
