BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
MCC-PC-GOLF-MBR,false,Allowed,Annual individual golf membership granting access to Medinah's championship courses.,,Golf,true,true,false,Individual Golf Membership,MCC-MBR-IND,,,MCC-MBR-IND,,
MCC-PC-GOLF-MBR,false,Allowed,Annual family golf membership covering all household members at Medinah Country Club.,,Golf,true,true,false,Family Golf Membership,MCC-MBR-FAM,,,MCC-MBR-FAM,,
,false,,Annual golf membership for members 35 and under — access to all three Medinah courses.,,Golf,true,true,false,Junior Golf Membership,MCC-MBR-JR,,,MCC-MBR-JR,,
,false,,Annual social membership — dining and non-golf amenity access at Medinah Country Club.,,Social,true,true,false,Social Membership,MCC-MBR-SOCIAL,,,MCC-MBR-SOCIAL,,
,false,,One-time initiation fee for new golf membership applicants.,,Golf,true,false,false,Golf Membership Initiation Fee,MCC-INIT-GOLF,,,MCC-INIT-GOLF,,
,false,,One-time initiation fee for new social membership applicants.,,Social,true,false,false,Social Membership Initiation Fee,MCC-INIT-SOCIAL,,,MCC-INIT-SOCIAL,,
,false,,Package of 10 guest rounds valid on any Medinah course — ideal for hosting business guests.,,Golf,true,false,false,Guest Round Package,MCC-GOLF-GUEST,,,MCC-GOLF-GUEST,,
MCC-PC-ACADEMY,false,Allowed,Five-session golf academy package at the Medinah Golf Learning Center — private or semi-private format.,,Golf,true,false,false,Golf Academy Package,MCC-GOLF-ACADEMY,,,MCC-GOLF-ACADEMY,,
,false,,Annual access to Medinah's Racquet Center — tennis and platform court facilities.,,Amenities,true,true,false,Racquet Center Annual Pass,MCC-AMN-RACQUET,,,MCC-AMN-RACQUET,,
,false,,Annual Gun Club membership — trap skeet and sporting clays at Medinah's range.,,Amenities,true,true,false,Gun Club Annual Membership,MCC-AMN-GUNCLUB,,,MCC-AMN-GUNCLUB,,
,false,,Full-day corporate golf outing on Course No. 3 — up to 144 guests with full club access.,,Events,true,false,false,Corporate Golf Outing,MCC-EVT-CORPORATE,,,MCC-EVT-CORPORATE,,
,false,,VIP hospitality package for the 2026 Presidents Cup at Medinah Country Club Course No. 3.,,Events,true,false,false,Presidents Cup VIP Package 2026,MCC-EVT-PCUP,,,MCC-EVT-PCUP,,
,false,Allowed,Bundle — Individual Golf Membership plus optional Racquet Center and Gun Club access at a preferred member rate.,,Golf,true,true,false,Elite Membership Bundle,MCC-PKG-ELITE,,,MCC-PKG-ELITE,Bundle,
