$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
MCC-CAT-GOLF-MBR;MCC-MBR-IND,MCC-CATALOG,true,MCC-MBR-IND,MCC-CAT-GOLF-MBR
MCC-CAT-GOLF-MBR;MCC-MBR-FAM,MCC-CATALOG,true,MCC-MBR-FAM,MCC-CAT-GOLF-MBR
MCC-CAT-GOLF-MBR;MCC-MBR-JR,MCC-CATALOG,true,MCC-MBR-JR,MCC-CAT-GOLF-MBR
MCC-CAT-GOLF-MBR;MCC-MBR-SOCIAL,MCC-CATALOG,true,MCC-MBR-SOCIAL,MCC-CAT-GOLF-MBR
MCC-CAT-INIT;MCC-INIT-GOLF,MCC-CATALOG,true,MCC-INIT-GOLF,MCC-CAT-INIT
MCC-CAT-INIT;MCC-INIT-SOCIAL,MCC-CATALOG,true,MCC-INIT-SOCIAL,MCC-CAT-INIT
MCC-CAT-GOLF-EXP;MCC-GOLF-GUEST,MCC-CATALOG,true,MCC-GOLF-GUEST,MCC-CAT-GOLF-EXP
MCC-CAT-GOLF-EXP;MCC-GOLF-ACADEMY,MCC-CATALOG,true,MCC-GOLF-ACADEMY,MCC-CAT-GOLF-EXP
MCC-CAT-AMENITIES;MCC-AMN-RACQUET,MCC-CATALOG,true,MCC-AMN-RACQUET,MCC-CAT-AMENITIES
MCC-CAT-AMENITIES;MCC-AMN-GUNCLUB,MCC-CATALOG,true,MCC-AMN-GUNCLUB,MCC-CAT-AMENITIES
MCC-CAT-EVENTS;MCC-EVT-CORPORATE,MCC-CATALOG,true,MCC-EVT-CORPORATE,MCC-CAT-EVENTS
MCC-CAT-EVENTS;MCC-EVT-PCUP,MCC-CATALOG,true,MCC-EVT-PCUP,MCC-CAT-EVENTS
MCC-CAT-GOLF-MBR;MCC-PKG-ELITE,MCC-CATALOG,true,MCC-PKG-ELITE,MCC-CAT-GOLF-MBR
