ProductCategory.Code,Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,$$ProductCategory.Code$Product.StockKeepingUnit
OC-CAT-MEM,OC-ACT-35P-DUES,OC-DEMO-CAT,true,OC-CAT-MEM;OC-ACT-35P-DUES
OC-CAT-MEM,OC-SOC-DUES,OC-DEMO-CAT,true,OC-CAT-MEM;OC-SOC-DUES
OC-CAT-MEM,OC-JR-DUES,OC-DEMO-CAT,true,OC-CAT-MEM;OC-JR-DUES
OC-CAT-MEM,OC-NR-Q-DUES,OC-DEMO-CAT,true,OC-CAT-MEM;OC-NR-Q-DUES
OC-CAT-GOLF,OC-GRN-30P,OC-DEMO-CAT,true,OC-CAT-GOLF;OC-GRN-30P
OC-CAT-GOLF,OC-CART-MO,OC-DEMO-CAT,true,OC-CAT-GOLF;OC-CART-MO
OC-CAT-GOLF,OC-CART-ANN,OC-DEMO-CAT,true,OC-CAT-GOLF;OC-CART-ANN
OC-CAT-GOLF,OC-BND-GOLF-PLUS,OC-DEMO-CAT,true,OC-CAT-GOLF;OC-BND-GOLF-PLUS
OC-CAT-GOLF,OC-USG-GREEN-ROUNDS,OC-DEMO-CAT,true,OC-CAT-GOLF;OC-USG-GREEN-ROUNDS
OC-CAT-GOLF,OC-BLNG-GREEN,OC-DEMO-CAT,false,OC-CAT-GOLF;OC-BLNG-GREEN
OC-CAT-TNS,OC-TNS-MO-40P,OC-DEMO-CAT,true,OC-CAT-TNS;OC-TNS-MO-40P
OC-CAT-TNS,OC-PRIV-TNS30,OC-DEMO-CAT,true,OC-CAT-TNS;OC-PRIV-TNS30
OC-CAT-INIT,OC-INIT-3539,OC-DEMO-CAT,true,OC-CAT-INIT;OC-INIT-3539
OC-CAT-INIT,OC-PRIV-GOLF,OC-DEMO-CAT,true,OC-CAT-INIT;OC-PRIV-GOLF
OC-CAT-AMN,OC-LKR-CITY-F,OC-DEMO-CAT,true,OC-CAT-AMN;OC-LKR-CITY-F
