$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
OC-ACT-35P-DUES;Term Monthly;TermDefined,true,OC-ACT-35P-DUES,Term Monthly;TermDefined,Default Proration Policy
OC-SOC-DUES;Term Monthly;TermDefined,true,OC-SOC-DUES,Term Monthly;TermDefined,Default Proration Policy
OC-JR-DUES;Term Monthly;TermDefined,true,OC-JR-DUES,Term Monthly;TermDefined,Default Proration Policy
OC-NR-Q-DUES;Term Based - Quarterly;TermDefined,true,OC-NR-Q-DUES,Term Based - Quarterly;TermDefined,Default Proration Policy
OC-GRN-30P;Term Monthly;TermDefined,true,OC-GRN-30P,Term Monthly;TermDefined,Default Proration Policy
OC-CART-MO;Term Monthly;TermDefined,true,OC-CART-MO,Term Monthly;TermDefined,Default Proration Policy
OC-CART-ANN;Term Annual;TermDefined,true,OC-CART-ANN,Term Annual;TermDefined,Default Proration Policy
OC-TNS-MO-40P;Term Monthly;TermDefined,true,OC-TNS-MO-40P,Term Monthly;TermDefined,Default Proration Policy
OC-LKR-CITY-F;Term Monthly;TermDefined,true,OC-LKR-CITY-F,Term Monthly;TermDefined,Default Proration Policy
OC-INIT-3539;One-Time;OneTime,true,OC-INIT-3539,One-Time;OneTime,
OC-PRIV-GOLF;One-Time;OneTime,true,OC-PRIV-GOLF,One-Time;OneTime,
OC-PRIV-TNS30;One-Time;OneTime,true,OC-PRIV-TNS30,One-Time;OneTime,
OC-BND-GOLF-PLUS;Term Monthly;TermDefined,true,OC-BND-GOLF-PLUS,Term Monthly;TermDefined,Default Proration Policy
OC-BLNG-GREEN;Term Monthly;TermDefined,true,OC-BLNG-GREEN,Term Monthly;TermDefined,Default Proration Policy
OC-USG-GREEN-ROUNDS;Term Monthly;TermDefined,true,OC-USG-GREEN-ROUNDS,Term Monthly;TermDefined,Default Proration Policy
