DestinationProduct.StockKeepingUnit,Name,Priority,SourceClassIdentifier,SourceIdentifier,SourceProduct.StockKeepingUnit,SourceProductClassification.Name
QB-DRO-BILL,OAI ChatGPT Plus to Finance,,,,OAI-CHAT-PLUS,
QB-DRO-BILL,OAI ChatGPT Pro to Finance,,,,OAI-CHAT-PRO,
QB-DRO-BILL,OAI ChatGPT Business to Finance,,,,OAI-CHAT-BIZ,
QB-DRO-BILL,OAI API Developer Access to Finance,,,,OAI-API-DEV,
QB-DRO-BILL,OAI API Enterprise Access to Finance,,,,OAI-API-ENT,
QB-DRO-BILL,OAI Realtime API to Finance,,,,OAI-API-REALTIME,
QB-DRO-BILL,OAI Image API to Finance,,,,OAI-API-IMAGE,
QB-DRO-BILL,OAI Enterprise Suite to Finance,,,,OAI-ENT-PKG,
QB-DRO-BILL,OAI Reserved Capacity to Finance,,,,OAI-ENT-RESERVE,
QB-DRO-BILL,OAI Implementation Services to Finance,,,,OAI-SVC-IMPL,
QB-DRO-PROJ,OAI Implementation Services to Services,,,,OAI-SVC-IMPL,
QB-DRO-BILL,OAI Training Program to Finance,,,,OAI-SVC-TRAIN,
QB-DRO-PROJ,OAI Training Program to Services,,,,OAI-SVC-TRAIN,
QB-DRO-BILL,OAI Fine-Tuning to Finance,,,,OAI-SVC-CUSTOM,
QB-DRO-PROJ,OAI Fine-Tuning to Services,,,,OAI-SVC-CUSTOM,
QB-DRO-BILL,OAI CSM to Finance,,,,OAI-SVC-CSM,
QB-DRO-PROJ,OAI CSM to Services,,,,OAI-SVC-CSM,
