Action,FulfillmentProcess.Name,FulfillmentStepDefnGroup.Name,Name,Product.StockKeepingUnit,ProductClassification.Name,SourceClassIdentifier,SourceIdentifier,Type
Add,,Order Processing,OAI ChatGPT Plus - Order Processing,OAI-CHAT-PLUS,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI ChatGPT Plus - Finance,OAI-CHAT-PLUS,,,,
Add,,Order Processing,OAI ChatGPT Pro - Order Processing,OAI-CHAT-PRO,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI ChatGPT Pro - Finance,OAI-CHAT-PRO,,,,
Add,,Order Processing,OAI ChatGPT Business - Order Processing,OAI-CHAT-BIZ,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI ChatGPT Business - Finance,OAI-CHAT-BIZ,,,,
Add,,Order Processing,OAI API Developer - Order Processing,OAI-API-DEV,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI API Developer - Finance,OAI-API-DEV,,,,
Add,,Order Processing,OAI API Enterprise - Order Processing,OAI-API-ENT,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI API Enterprise - Finance,OAI-API-ENT,,,,
Add,,Order Processing,OAI Realtime API - Order Processing,OAI-API-REALTIME,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI Realtime API - Finance,OAI-API-REALTIME,,,,
Add,,Order Processing,OAI Image API - Order Processing,OAI-API-IMAGE,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI Image API - Finance,OAI-API-IMAGE,,,,
Add,,Order Processing,OAI Enterprise Suite - Order Processing,OAI-ENT-PKG,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI Enterprise Suite - Finance,OAI-ENT-PKG,,,,
Add,,Order Processing,OAI Reserved Capacity - Order Processing,OAI-ENT-RESERVE,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI Reserved Capacity - Finance,OAI-ENT-RESERVE,,,,
Add,,Finance,OAI Implementation Services - Finance,OAI-SVC-IMPL,,,,
Add;Amend,,Services,OAI Implementation Services - Services,OAI-SVC-IMPL,,,,
Add,,Finance,OAI Training Program - Finance,OAI-SVC-TRAIN,,,,
Add;Amend,,Services,OAI Training Program - Services,OAI-SVC-TRAIN,,,,
Add,,Finance,OAI Fine-Tuning - Finance,OAI-SVC-CUSTOM,,,,
Add;Amend,,Services,OAI Fine-Tuning - Services,OAI-SVC-CUSTOM,,,,
Add,,Order Processing,OAI CSM - Order Processing,OAI-SVC-CSM,,,,
Add;Amend;Renew;No Change;Cancel,,Finance,OAI CSM - Finance,OAI-SVC-CSM,,,,
Add;Amend,,Services,OAI CSM - Services,OAI-SVC-CSM,,,,
