$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
OAI-CAT-CHATGPT;OAI-CHAT-PLUS,OAI-CATALOG,true,OAI-CHAT-PLUS,OAI-CAT-CHATGPT
OAI-CAT-CHATGPT;OAI-CHAT-PRO,OAI-CATALOG,true,OAI-CHAT-PRO,OAI-CAT-CHATGPT
OAI-CAT-CHATGPT;OAI-CHAT-BIZ,OAI-CATALOG,true,OAI-CHAT-BIZ,OAI-CAT-CHATGPT
OAI-CAT-API;OAI-API-DEV,OAI-CATALOG,true,OAI-API-DEV,OAI-CAT-API
OAI-CAT-API;OAI-API-ENT,OAI-CATALOG,true,OAI-API-ENT,OAI-CAT-API
OAI-CAT-API;OAI-API-REALTIME,OAI-CATALOG,true,OAI-API-REALTIME,OAI-CAT-API
OAI-CAT-API;OAI-API-IMAGE,OAI-CATALOG,true,OAI-API-IMAGE,OAI-CAT-API
OAI-CAT-ENTERPRISE;OAI-ENT-PKG,OAI-CATALOG,true,OAI-ENT-PKG,OAI-CAT-ENTERPRISE
OAI-CAT-ENTERPRISE;OAI-ENT-RESERVE,OAI-CATALOG,true,OAI-ENT-RESERVE,OAI-CAT-ENTERPRISE
OAI-CAT-SERVICES;OAI-SVC-IMPL,OAI-CATALOG,true,OAI-SVC-IMPL,OAI-CAT-SERVICES
OAI-CAT-SERVICES;OAI-SVC-TRAIN,OAI-CATALOG,true,OAI-SVC-TRAIN,OAI-CAT-SERVICES
OAI-CAT-SERVICES;OAI-SVC-CUSTOM,OAI-CATALOG,true,OAI-SVC-CUSTOM,OAI-CAT-SERVICES
OAI-CAT-SERVICES;OAI-SVC-CSM,OAI-CATALOG,true,OAI-SVC-CSM,OAI-CAT-SERVICES
