"Id","$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType","IsDefault","Product2.StockKeepingUnit","ProductSellingModel.$$Name$SellingModelType","ProrationPolicy.Name","Product2Id","ProductSellingModelId","ProrationPolicyId"
"S4BYLIDCMEOXJO58PD","SF-EDU-STD;Term Monthly;TermDefined","true","SF-EDU-STD","Term Monthly;TermDefined","Default Proration Policy","ETWJ8VQZSXTBOLCXPU","ID0000000000000002","ID0000000000000004"
"K36YLUF2NJHEO7GPM1","SF-EDU-ENT;Term Monthly;TermDefined","true","SF-EDU-ENT","Term Monthly;TermDefined","Default Proration Policy","33GLYJIZ7GXF1S6X6F","ID0000000000000002","ID0000000000000004"
"AIKTWEYOMUEL8ZOEOE","SF-EDU-BC;Term Monthly;TermDefined","true","SF-EDU-BC","Term Monthly;TermDefined","Default Proration Policy","HJF6WPD1P6HMBH4GMC","ID0000000000000002","ID0000000000000004"
"EAW1JJSTGWBGFWHKEM","SF-EDU-VPS;Term Monthly;TermDefined","true","SF-EDU-VPS","Term Monthly;TermDefined","Default Proration Policy","TKAQU7LG4LAPFT6XVD","ID0000000000000002","ID0000000000000004"
"XHQVZUIJZMD95CHRRH","SF-SUP-STD;Term Monthly;TermDefined","true","SF-SUP-STD","Term Monthly;TermDefined","Default Proration Policy","ODRPLLOX38HZNCLPST","ID0000000000000002","ID0000000000000004"
"CN511ZNFWNOWCFCMFW","SF-SUP-PREM;Term Monthly;TermDefined","true","SF-SUP-PREM","Term Monthly;TermDefined","Default Proration Policy","1BLW49OD0GKJB7KTPR","ID0000000000000002","ID0000000000000004"
"2OO8J3A6F8HHREIPPQ","SF-BND-STARTER;Term Monthly;TermDefined","true","SF-BND-STARTER","Term Monthly;TermDefined","Default Proration Policy","JWBIFBUESXHHNREJS6","ID0000000000000002","ID0000000000000004"
"QD9DVXMADP4EL4HSCF","SF-BND-GROWTH;Term Monthly;TermDefined","true","SF-BND-GROWTH","Term Monthly;TermDefined","Default Proration Policy","OJGJ8CGGZGMOG30AHJ","ID0000000000000002","ID0000000000000004"
"LLPB3PLSAK3BNZV8IN","SF-SVC-ONBOARD;One-Time;OneTime","true","SF-SVC-ONBOARD","One-Time;OneTime","#N/A","AYS9UXZ2H3COXDFKVX","ID0000000000000003","#N/A"
"AF6HBULFXKLLIGGIEZ","SF-USG-STORAGE;Term Monthly;TermDefined","true","SF-USG-STORAGE","Term Monthly;TermDefined","Default Proration Policy","69ILGOLX815L7ECAZU","ID0000000000000002","ID0000000000000004"
"P7YAIS19MOSXICAJPD","SF-USG-EGRESS;Term Monthly;TermDefined","true","SF-USG-EGRESS","Term Monthly;TermDefined","Default Proration Policy","PXDYQY3SNACACVUEUO","ID0000000000000002","ID0000000000000004"
"Y4YDPDVHRV1CW3JO9G","SF-USG-COMPUTE;Term Monthly;TermDefined","true","SF-USG-COMPUTE","Term Monthly;TermDefined","Default Proration Policy","P6YLRI7AJJ986U2JVD","ID0000000000000002","ID0000000000000004"
"FBGKMYMOQGJNV7OEJB","SF-BLNG-STORAGE;Term Monthly;TermDefined","true","SF-BLNG-STORAGE","Term Monthly;TermDefined","Default Proration Policy","A4YYXY7LS7QY7DAEPZ","ID0000000000000002","ID0000000000000004"
"AIKWSUJCFPZ9AN78ZE","SF-BLNG-EGRESS;Term Monthly;TermDefined","true","SF-BLNG-EGRESS","Term Monthly;TermDefined","Default Proration Policy","GKEI36BBF9UBVP3MC7","ID0000000000000002","ID0000000000000004"
"L1J5IXSANNZO2DOLVB","SF-BLNG-COMPUTE;Term Monthly;TermDefined","true","SF-BLNG-COMPUTE","Term Monthly;TermDefined","Default Proration Policy","1YYYPFSYTR2GIERULO","ID0000000000000002","ID0000000000000004"
