"IsPrimaryCategory","ProductId","ProductCategoryId","Errors"
"true","01tak00000Q4YnJAAV","0ZGak000000I1nGGAS","This product already has a primary category"
"true","01tak00000Q4YnKAAV","0ZGak000000I1nGGAS","This product already has a primary category"
"true","01tak00000Q4YnLAAV","0ZGak000000I1nGGAS","This product already has a primary category"
"true","01tak00000Q4YnMAAV","0ZGak000000I1nGGAS","This product already has a primary category"
"true","01tak00000Q4WiHAAV","0ZGak000000I1nHGAS","This product already has a primary category"
"true","01tak00000Q4WiIAAV","0ZGak000000I1nHGAS","This product already has a primary category"
"true","01tak00000Q4YnQAAV","0ZGak000000I1nIGAS","This product already has a primary category"
"true","01tak00000Q4YnRAAV","0ZGak000000I1nIGAS","This product already has a primary category"
"true","01tak00000Q4YnSAAV","0ZGak000000I1nIGAS","This product already has a primary category"
"false","01tak00000Q4YnTAAV","0ZGak000000I1nIGAS","duplicate value found: CatalogId duplicates value on record with id: 0ZRak000000GDhZGAW"
"false","01tak00000Q4YnUAAV","0ZGak000000I1nIGAS","duplicate value found: CatalogId duplicates value on record with id: 0ZRak000000GDhaGAG"
"false","01tak00000Q4YnVAAV","0ZGak000000I1nIGAS","duplicate value found: CatalogId duplicates value on record with id: 0ZRak000000GDhbGAG"
"true","01tak00000Q4YnNAAV","0ZGak000000I1nJGAS","This product already has a primary category"
"true","01tak00000Q4YnOAAV","0ZGak000000I1nJGAS","This product already has a primary category"
"true","01tak00000Q4YnPAAV","0ZGak000000I1nJGAS","This product already has a primary category"
