BasedOn.Code,CanRamp,ConfigureDuringSale,CurrencyIsoCode,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,,USD,,,Hardware,true,true,false,0155-2341-10,0155-2341-10-FRD,,,0155-2341-10-FRD,,
,false,,USD,,,Hardware,true,true,false,0155-2342-10,0155-2342-10-FRD,,,0155-2342-10-FRD,,
,false,,USD,,,Hardware,true,true,false,0155-2696-07,0155-2696-07-FRD,,,0155-2696-07-FRD,,
,false,,USD,,,Hardware,true,true,false,0300-5929-01,0300-5929-01-FRD,,,0300-5929-01-FRD,,
,false,,USD,,,Hardware,true,true,false,0300-5929-02,0300-5929-02-FRD,,,0300-5929-02-FRD,,
,false,,USD,,,Hardware,true,true,false,0402-0750-01,0402-0750-01-FRD,,,0402-0750-01-FRD,,
,false,,USD,,,Hardware,true,true,false,0416-0439,0416-0439-FRD,,,0416-0439-FRD,,
,false,,USD,,,Hardware,true,true,false,0416-0527,0416-0527-FRD,,,0416-0527-FRD,,
,false,,USD,,,Hardware,true,true,false,0541-1204,0541-1204-FRD,,,0541-1204-FRD,,
,false,,USD,,,Hardware,true,true,false,A030S169,A030S169-FRD,,,A030S169-FRD,,
,false,,USD,,,Hardware,true,true,false,A035K427,A035K427-FRD,,,A035K427-FRD,,
,false,,USD,,,Hardware,true,true,false,A046D218,A046D218-FRD,,,A046D218-FRD,,
,false,,USD,,,Hardware,true,true,false,A048N280,A048N280-FRD,,,A048N280-FRD,,
,false,,USD,,,Hardware,true,true,false,A051H785,A051H785-FRD,,,A051H785-FRD,,
,false,,USD,,,Hardware,true,true,false,A051K118,A051K118-FRD,,,A051K118-FRD,,
,false,,USD,,,Hardware,true,true,false,A052X578,A052X578-FRD,,,A052X578-FRD,,
,false,,USD,,,Hardware,true,true,false,A052X580,A052X580-FRD,,,A052X580-FRD,,
,false,,USD,,,Hardware,true,true,false,A052X582,A052X582-FRD,,,A052X582-FRD,,
,false,,USD,,,Hardware,true,true,false,A052X584,A052X584-FRD,,,A052X584-FRD,,
,false,,USD,,,Hardware,true,true,false,A052X586,A052X586-FRD,,,A052X586-FRD,,
,false,Allowed,USD,"The AMEL Series genset brings power, technology and reliability to the power range from 400 to 600 kWe (460 to 730 kVA).",/resource/1736281665000/generators/600kw.png,Generator Set,true,true,false,AMEL Generator Set,AMEL-FRD,,,AMEL-FRD,Bundle,
,false,Allowed,USD,"For site preparation, including grading, concrete pad design, and foundation stability.",,,true,false,false,Civil Engineer,Civil-Engineer,,,Civil-Engineer,,
,false,Allowed,USD,The CUGR Series delivers power output within a few seconds with industry leading load factors even in extreme ambient conditions.,/resource/1736281665000/generators/1200kw.png,Generator Set,true,true,false,CUGR Generator Set,CUGR-FRD,,,CUGR-FRD,Bundle,
,false,,USD,"To analyze the building's power requirements, load calculations, and determine the correct generator capacity.",,Service,true,false,false,Electrical Engineer,Electrical-Engineer,,,Electrical-Engineer,,
Generator Set PC,false,Allowed,USD,"The  FESBA  Series generator set performs at the highest level, featuring a robust design and optimal fuel consumption. A perfect solution for mission-critical applications.",/resource/1736281665000/generators/3000kw.png,Hardware,true,true,false,FESBA Generator Set,FESBA-FRD,,,FESBA-FRD,Bundle,
Model PC,false,,USD,,,Hardware,true,true,false,FESBA 1200kW,FESBA_1200,,,FESBA_1200,,
Model PC,false,Allowed,USD,,,Hardware,true,true,false,FESBA 1500kW,FESBA_1500,,,FESBA_1500,,
Model PC,false,Allowed,USD,"The  FESBA Series generator set performs at the highest level, featuring a robust design and optimal fuel consumption. A perfect solution for mission-critical applications.",https://velocedev--c.test1.vf.pc-rnd.force.com/resource/1736281665000/generators/3000kw.png,Hardware,true,true,false,FESBA 1750kW,FESBA_1750,,,FESBA_1750,,
Model PC,false,,USD,,,Hardware,true,true,false,FESBA 2500kW,FESBA_2500,,,FESBA_2500,,
,false,,USD,,,Hardware,true,true,false,Engine - QSK60-G6,FESBA_2940,,,FESBA_2940,,
,false,,USD,,,Hardware,true,true,false,"Fuel Filters-Engine, Standard",FESBA_3090,,,FESBA_3090,,
,false,,USD,,,Hardware,true,true,false,PMG,FESBA_3750,,,FESBA_3750,,
,false,,USD,,,Service,true,true,false,Test - Standard Factory,FESBA_5860,,,FESBA_5860,,
Model PC,false,,USD,,,Hardware,true,true,false,FESBA 900kW,FESBA_900,,,FESBA_900,Bundle,
,false,,USD,,,Hardware,true,true,false,"Heater-Alternator, 120 Volt AC",FESBA_A292-2,,,FESBA_A292-2,,
,false,,USD,,,Hardware,true,true,false,"Heater-Alternator, 240 Volt AC",FESBA_A293-2,,,FESBA_A293-2,,
,false,,USD,,,Hardware,true,true,false,Battery Charging Alternator,FESBA_A333-2,,,FESBA_A333-2,,
,false,,USD,,,Hardware,true,true,false,Electric Starter Motor - 24V DC,FESBA_A334-2,,,FESBA_A334-2,,
,false,,USD,,,Hardware,true,true,false,Packing-None,FESBA_A358-2,,,FESBA_A358-2,,
,false,,USD,,,Hardware,true,true,false,"Heater-Alternator, 110/220 (120/240) Volt AC",FESBA_A416-2,,,FESBA_A416-2,,
,false,,USD,,,Hardware,true,true,false,120/240VAC compatible,FESBA_A460-2,,,FESBA_A460-2,,
,false,,USD,,,Hardware,true,true,false,"Temp Sens-Stator, 2 RTD/Ph",FESBA_B225-2,,,FESBA_B225-2,,
,false,,USD,,,Hardware,true,true,false,"Bearing,1 RTD NDE",FESBA_B244-2,,,FESBA_B244-2,,
,false,,USD,,,Hardware,true,true,false,"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm",FESBA_B313-2,,,FESBA_B313-2,,
