Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
,Picklist,,,,Storage,true,true,Storage,Storage,Storage Picklist,,,
,Number,,,,requiredKW,true,false,Full Load Required (kW),FB_Full Load Required (kW),,,,
,Number,,,,reserveCapacityKW,true,false,Reserve Capacity (kW),Reserve Capacity (kW),,,,
,Number,,,,surgeLoadKW,true,false,Surge Load (kW),Surge Load (kW),,,,
,Number,,,,dBMax,true,false,max dB level,FB_max dB level,,,,
,Picklist,,,,Voltage,true,false,Voltage,FB_Voltage,Voltage,,,
,Picklist,,,,powerkW,true,false,powerkW,powerkW,Power,,,
,Picklist,,1080p Built-in Display,,Display,true,true,Display,Display,Display Picklist,,,
,Picklist,,RAM 32GB,,Memory,true,true,Memory,Memory,Memory Picklist,,,
,Picklist,,,,Printer_Paper,true,false,Printer Paper,Paper Size,Paper Size Picklist,,,
,Picklist,,None - Standard,,specialApplication,true,false,Special Application,Special Application,SpecialApplication,,,
,Picklist,,,,controlPlacement,true,false,Control Placement,Control Placement,Entrance Types,,,
,Picklist,,English,,controlLanguage,true,false,Control Language,Control Language,Languages,,,
,Number,,,,gc_runningHours,true,false,Running Hours,Running Hours,,,,
,Checkbox,,false,,gc_mainGenerator,true,false,Provisional Generator,Provisional Generator,,,,
,Number,,,,gc_runningDb,true,false,Running Noise Level (dB),Running Noise Level (dB),,,,
,Number,,,,gc_runningKw,true,false,Running Power Output (kW),Running Power Output (kW),,,,
,Number,,,,gc_desiredDb,true,false,Desired Noise Level (dB),Desired Noise Level (dB),,,,
,Number,,,,gc_desiredKw,true,false,Desired Power Output (kW),Desired Power Output (kW),,,,
,Text,,#FFFFFF,,gc_hex,true,false,Color Code,hex,,,,
,Picklist,,,,DutyRating,true,false,Duty Rating,Duty Rating,DutyRating,,,
,Checkbox,,false,,Wireless,true,false,Wireless,Wireless,,,,
,Picklist,,i5-CPU 4.4GHz,,Windows_Processor,true,true,Processor,Windows_Processor,Processor Picklist,,,
,Picklist,,,,Printer,true,false,Printer,Printer,Printer Picklist,,,
,Picklist,,,,Graphics,true,false,Graphics,Graphics,Graphics Picklist,,,
,Picklist,,,,Training,true,false,Training,Training,Training Type Picklist,,,
,Picklist,,,,Display_Size,true,true,Screen Size,Display_Size,Display Size Picklist,,,
,Picklist,,Premium Support,,Support_Level,true,false,Support_Level,Support_Level,Support Level Picklist,,,
,Picklist,,i5-CPU 4.4GHz,,Processor,true,true,Processor,Processor,Processor Picklist,,,
,Number,,,,gc_desiredRunningHours,true,false,Desired Running Hours,Desired Running Hours,,,,
,Picklist,,,,applicationEmissionCertification,true,false,Application/Emission Certification,Application/Emission Certification,applicationEmissionCertification,,,
,Picklist,,,,standardsAndCompliance,true,false,Standards and Compliance,Standards and Compliance,standardsAndCompliance,,,
,Picklist,,,,seismicCertification,true,false,Seismic Certification,Seismic Certification,seismicCertification,,,
frequency,Picklist,,,,gc_frequency,true,false,Frequency,Frequency,frequency,,,
gc_actualNoiseVolume,Picklist,,,,gc_actualNoiseVolume,true,false,Actual Noise Volume,Actual Noise Volume,Actual Noise Volume,,,
gc_alternatorKW,Picklist,,,,gc_alternatorKW,true,false,Alternator Size,Alternator kW,gc_KW,,,
gc_alternatorType,Picklist,,,,gc_alternatorType,true,false,Alternator Type,Alternator Type,gc_alternatorType,,,
gc_alternatorUpsize,Checkbox,,false,,gc_alternatorUpsize,true,false,Alternator Upsize,Alternator Upsize,,,,
gc_capacity,Picklist,,,,gc_capacity,true,false,Capacity,Capacity,Capacity,,,
gc_cbSize,Picklist,,,,gc_cbSize,true,false,Size,Size,gc_cbSize,,,
gc_cbType,Picklist,,,,gc_cbType7,true,false,Type,Type,gc_cbType,,,
gc_certificate,Picklist,,,,gc_certificate,true,false,Certificate,Certificate,gc_certificate,,,
gc_circuitBreakerType,Picklist,,,,gc_circuitBreakerType,true,false,Circuit Breaker Type,Circuit Breaker Type,gc_circuitBreakerType,,,
gc_costOptimization,Checkbox,,false,,gc_costOptimization,true,false,Optimize by Cost,Optimize by Cost,,,,
gc_dBMax,Number,,,,gc_dBMax,true,false,Max dB level,Max dB Level,,,,
gc_dual,Checkbox,,false,,gc_dual,true,false,Dual Alarm Relay,Dual Alarm Relay,,,,
gc_duty,Picklist,,,,gc_duty,true,false,Duty,Duty,gc_duty,,,
gc_enclosureCertification,Picklist,,,,gc_enclosureCertification,true,false,Enclosure Certification,Enclosure Certification,Enclosure Certifications,,,
gc_enclosureMaterial,Picklist,,,,gc_enclosureMaterial,true,false,Enclosure Material,Enclosure Material,enclosureMaterial,,,
gc_enclosureType,Picklist,,,,gc_enclosureType,true,false,Enclosure Type,Enclosure Type,Enclosure Type,,,
gc_excitation,Picklist,,,,gc_excitation,true,false,Excitation,Excitation,gc_excitation,,,
gc_extendedTest,Number,,,,gc_extendedTest,true,false,Extended Test,Extended Test,,,,
gc_fuel,Picklist,,,,gc_fuel,true,false,Fuel,Fuel,gc_fuel,,,
gc_kw,Picklist,,,,gc_kw,true,false,KW,kW,gc_KW,,,
gc_language,Picklist,,,,gc_language,true,false,Language,Language,gc_language,,,
gc_manualCopies,Number,,,,gc_manualCopies,true,false,Manual Copies,Manual Copies,,,,
gc_motorDampers,Checkbox,,false,,gc_motorDampers,true,false,Motor Dampers,Motor Dampers,,,,
gc_noiseVolume,Picklist,,,,gc_noiseVolume,true,false,Noise Volume,Noise Volume,gc_noiseVolume,,,
gc_oem,Picklist,,,,gc_oem,true,false,OEM,OEM,gc_oem,,,
gc_parallel,Checkbox,,false,,gc_parallel,true,false,Parallel,Parallel,,,,
gc_protectionLevel,Picklist,,,,gc_protectionLevel,true,false,Protection Level,Protection Level,Protection Level,,,
gc_redundancy,Picklist,,,,gc_redundancy,true,false,Redundancy,Redundancy,gc_redundancy,,,
gc_requiredKW,Number,,,,gc_requiredKW,true,false,Full Load Required (kW),Full Load Required (kW),,,,
gc_roofBased,Checkbox,,false,,gc_roofBased,true,false,Roof Based,Roof Based,,,,
gc_runTime,Number,,,,gc_runTime,true,false,Run Time (Hours),Run Time (Hours),,,,
gc_shipToCountry,Picklist,,,,gc_shipToCountry,true,false,Ship To Country,Ship To Country,gc_shipToCountry,,,
gc_shipToRegion,Picklist,,,,gc_shipToRegion,true,false,Ship To Region,Ship To Region,gc_shipToRegion,,,
gc_spMode,Picklist,,,,gc_spMode,true,false,MPS or Single,MPS or Single,gc_spMode,,,
gc_voltage,Picklist,,,,gc_voltage,true,false,Voltage,Voltage,gc_voltage,,,
gc_w8fr,Checkbox,,false,,gc_w8fr,true,false,8-Function Relay,8-Function Relay,,,,
SUBTYPE001,Picklist,,,Subscription Type - either Enterprise or Business,SubscriptionType,true,true,Subscription Type,Subscription Type,Subscription Type,,,
