Code,DataType,Description,Name,Status
AIHD-001,Text,,AI Help Desk Type,Active
AP-001,Text,,API Type Picklist,Active
AP-002,Number,,Base Core Count Picklist,Active
AP-003,Text,,Cable Length Picklist,Active
AP-004,Text,,Connector Type Picklist,Active
AP-005,Text,,Data Storage Picklist,Active
AP-006,Number,,Data Utilization,Active
DIMM Type,Text,,DIMM Type,Active
AP-007,Text,,Engineering Options Picklist,Active
Front Storage,Text,,Front Storage,Active
AP-008,Text,,Network Adapter Type Picklist,Active
AP-009,Text,,Operating System Picklist,Active
PCIe Lane Type,Text,,PCIe Lane Type,Active
Performance Tier,Text,,Performance Tier,Active
AP-010,Text,,Processor Frequency Picklist,Active
RAID,Text,,RAID,Active
AP-011,Text,,RAM Config Picklist,Active
AP-012,Text,,RAM Picklist,Active
Rear Storage,Text,,Rear Storage,Active
Redundancy,Text,,Redundancy,Active
AP-013,Text,,Resource Location Picklist,Active
AP-014,Text,,Server Configuration Picklist,Active
Socket Configuration,Boolean,,Socket Configuration,Active
Storage Profile,Text,,Storage Profile,Active
AP-015,Text,,Subscription Type Picklist,Active
Workload,Text,,Workload,Active
