$$Pricebook.Name$PricebookEntry.Name$Product.StockKeepingUnit$ContributingProduct.StockKeepingUnit$ProductSellingModel.Name,ContributingProduct.StockKeepingUnit,DerivedPricingScope,EffectiveFrom,EffectiveTo,Formula,Pricebook.$$Name$IsStandard,PricebookEntry.$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name,PricingSource,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType
Standard Price Book;GPT for workspace;GPTW001;GW001;Term Based - Monthly,GW001,Both,2024-04-19T04:43:00.000+0000,,ListPrice * 0.20,Standard Price Book;true,GPT for workspace;Standard Price Book;GPTW001;Term Based - Monthly,Product,GPTW001,Term Based - Monthly;TermDefined
Standard Price Book;Lucidchart;LCD001;GW001;Term Based - Monthly,GW001,Both,2024-04-19T04:45:00.000+0000,,ListPrice * 0.40,Standard Price Book;true,Lucidchart;Standard Price Book;LCD001;Term Based - Monthly,Product,LCD001,Term Based - Monthly;TermDefined
Standard Price Book;Hardware Maintenance;Term Based - Monthly,,Transactional,2024-06-08T01:14:00.000+0000,,"PERCENTAGE(HeaderTotal,5)",Standard Price Book;true,Hardware Maintenance;Standard Price Book;Term Based - Monthly,Header,,Term Based - Monthly;TermDefined
Standard Price Book;Slack Support;Term Based - Monthly,,Transactional,2024-06-08T01:15:00.000+0000,,"PERCENTAGE(TotalPrice ,10)",Standard Price Book;true,Slack Support;Standard Price Book;Term Based - Monthly,Product,,Term Based - Monthly;TermDefined
Standard Price Book;Slack Sandbox;Term Based - Monthly,,Both,2024-06-08T01:16:00.000+0000,,"PERCENTAGE(TotalPrice,15)",Standard Price Book;true,Slack Sandbox;Standard Price Book;Term Based - Monthly,Product,,Term Based - Monthly;TermDefined
Standard Price Book;Slack Training,,NonTransactional,2024-06-08T01:17:00.000+0000,,"PERCENTAGE(UnitPrice ,25)",Standard Price Book;true,Slack Training;Standard Price Book,Product,,
Standard Price Book;Installation Fee;One Time,,Transactional,2025-01-01T18:06:00.000+0000,,HeaderTotal *0.02,Standard Price Book;true,Installation Fee;Standard Price Book;One Time,Header,,One Time;OneTime
"Standard Price Book;STANDARD - 1YR P/L/T, 2 YR P;One Time",,Both,2025-02-25T14:29:00.000+0000,,ListPrice * 0.10,Standard Price Book;true,"STANDARD - 1YR P/L/T, 2 YR P;Standard Price Book;One Time",Product,,One Time;OneTime
Standard Price Book;EXTENDED - 5 YR P/L/T PREMIUM;One Time,,Both,2025-02-25T14:30:00.000+0000,,ListPrice * 0.12 * 5,Standard Price Book;true,EXTENDED - 5 YR P/L/T PREMIUM;Standard Price Book;One Time,Product,,One Time;OneTime
Standard Price Book;EXTENDED - 7 YR P/L/T PREMIUM;One Time,,Both,2025-02-25T14:31:00.000+0000,,ListPrice * 0.12 * 7,Standard Price Book;true,EXTENDED - 7 YR P/L/T PREMIUM;Standard Price Book;One Time,Product,,One Time;OneTime
Standard Price Book;EXTENDED - 10 YR P/L/T PREMIUM;One Time,,Both,2025-02-25T14:31:00.000+0000,,ListPrice * 0.12 * 10,Standard Price Book;true,EXTENDED - 10 YR P/L/T PREMIUM;Standard Price Book;One Time,Product,,One Time;OneTime
