$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
Antivirus;Nonprofit;Evergreen - Yearly,true,false,Antivirus,Nonprofit,,Evergreen - Yearly;Evergreen,49.99
Cloud Storage;Nonprofit;Evergreen - Monthly,true,false,Cloud Storage,Nonprofit,,Evergreen - Monthly;Evergreen,7.99
Laptop;Nonprofit;One Time,true,false,Laptop,Nonprofit,,One Time;OneTime,699
Laptop Pro Bundle;Nonprofit;One Time,true,false,Laptop Pro Bundle,Nonprofit,,One Time;OneTime,799
Monitor;Nonprofit;One Time,true,false,Monitor,Nonprofit,,One Time;OneTime,129.99
(Remote Cooling) Flanged Connectors ASA;Standard Price Book;One Time,true,false,(Remote Cooling) Flanged Connectors ASA,Standard Price Book;true,,One Time;OneTime,2460
0155-2341-10;Standard Price Book;One Time,true,false,0155-2341-10,Standard Price Book;true,,One Time;OneTime,2350
0155-2342-10;Standard Price Book;One Time,true,false,0155-2342-10,Standard Price Book;true,,One Time;OneTime,1260
0155-2696-07;Standard Price Book;One Time,true,false,0155-2696-07,Standard Price Book;true,,One Time;OneTime,2130
0300-5929-01;Standard Price Book;One Time,true,false,0300-5929-01,Standard Price Book;true,,One Time;OneTime,410
0300-5929-02;Standard Price Book;One Time,true,false,0300-5929-02,Standard Price Book;true,,One Time;OneTime,750
0402-0750-01;Standard Price Book;One Time,true,false,0402-0750-01,Standard Price Book;true,,One Time;OneTime,500
0416-0439;Standard Price Book;One Time,true,false,0416-0439,Standard Price Book;true,,One Time;OneTime,360
0416-0527;Standard Price Book;One Time,true,false,0416-0527,Standard Price Book;true,,One Time;OneTime,300
0541-1204;Standard Price Book;One Time,true,false,0541-1204,Standard Price Book;true,,One Time;OneTime,2160
10 Amp Battery Charger;Standard Price Book;One Time,true,false,10 Amp Battery Charger,Standard Price Book;true,,One Time;OneTime,711
1000KW MPS - G25.8L 2 X 500KW;Standard Price Book;1000kwMPS_2X500;One Time,true,false,1000KW MPS - G25.8L 2 X 500KW,Standard Price Book;true,1000kwMPS_2X500,One Time;OneTime,0
1000KW MPS - G25.8L 5 X 200KW;Standard Price Book;1000kwMPS_5X200;One Time,true,false,1000KW MPS - G25.8L 5 X 200KW,Standard Price Book;true,1000kwMPS_5X200,One Time;OneTime,0
100DB Alarm Horn;Standard Price Book;One Time,true,false,100DB Alarm Horn,Standard Price Book;true,,One Time;OneTime,0
"110AH, 925CCA, Inst, Dual;Standard Price Book;One Time",true,false,"110AH, 925CCA, Inst, Dual",Standard Price Book;true,,One Time;OneTime,376
12' Vent Extension;Standard Price Book;One Time,true,false,12' Vent Extension,Standard Price Book;true,,One Time;OneTime,2000
120/240VAC compatible;Standard Price Book;One Time,true,false,120/240VAC compatible,Standard Price Book;true,,One Time;OneTime,1700
120V GFCI and 240V Outlet;Standard Price Book;One Time,true,false,120V GFCI and 240V Outlet,Standard Price Book;true,,One Time;OneTime,0
"13"" Fuel Extension;Standard Price Book;One Time",true,false,"13"" Fuel Extension",Standard Price Book;true,,One Time;OneTime,2500
1500KW MPS - G25.8L 3 X 500KW;Standard Price Book;1000kwMPS_3X500;One Time,true,false,1500KW MPS - G25.8L 3 X 500KW,Standard Price Book;true,1000kwMPS_3X500,One Time;OneTime,120000
200AMP SG350;Standard Price Book;One Time,true,false,200AMP SG350,Standard Price Book;true,,One Time;OneTime,1500
200AMP TX Switch - NEMA1;Standard Price Book;One Time,true,false,200AMP TX Switch - NEMA1,Standard Price Book;true,,One Time;OneTime,899
200AMP TX Switch - NEMA3R;Standard Price Book;One Time,true,false,200AMP TX Switch - NEMA3R,Standard Price Book;true,,One Time;OneTime,1299
21 Light Annunciator - Surface;Standard Price Book;One Time,true,false,21 Light Annunciator - Surface,Standard Price Book;true,,One Time;OneTime,1026
21 Light Annunciator - Surface with 8-Function Relay;Standard Price Book;One Time,true,false,21 Light Annunciator - Surface with 8-Function Relay,Standard Price Book;true,,One Time;OneTime,1026
