BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,Allowed,,,,false,true,false,Technical P,,,Technical,,,
KB001,false,Allowed,"Input device used to enter characters and functions into the computer system by pressing buttons, or keys.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKLysIqqUy8Oi_YGyYJharlia-J1WDMkpsKPzU9H3sNybhiwLXmMLSjU7K9lANZEFsyMQ&usqp=CAU,Hardware,true,true,false,Keyboard,KB001,,Commercial,,,
CS001,false,Allowed,Cloud computing model that enables storing data and files on the internet through a cloud computing,https://media.istockphoto.com/id/963131214/photo/cloud-computing.jpg?s=612x612&w=0&k=20&c=r6hJwUZSXlaPjpxNfUl3SxwQaZ-DDEQnxfrrMmYOJyA=,Service,true,true,false,Cloud Storage,CS001,,Commercial,,,
CMP001,false,Allowed,Battery- or AC-powered personal computer (PC) smaller than a briefcase,https://media.istockphoto.com/id/1023428598/photo/3d-illustration-laptop-isolated-on-white-background-laptop-with-empty-space-screen-laptop-at.jpg?s=612x612&w=0&k=20&c=ssK6er5v1fGpSghGiqySwoD8tn5blC7xgefQJI2xU38=,Hardware,true,true,false,Laptop,LP001,,Commercial,,,
,false,Allowed,"The laptop basic bundle includes a Laptop, mouse, and warranty for 1 year.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbf49JG4zZogCmZMJuXU38qOkR9X36MN4bSw&usqp=CAU,Hardware,true,true,false,Laptop Basic Bundle,LB001,,Commercial,,Bundle,
,false,Allowed,"The laptop pro bundle includes a Laptop, mouse, warranty for 2 years, premium support and printer bundle",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCrGjPR1fvJqg4yP3RMyqjI0H9eL6tk1fvzw&usqp=CAU,Hardware,true,true,false,Laptop Pro Bundle,LPB001,,Commercial,,Bundle,
MN001,false,Allowed,"Table mounted high quality high resolution Monitor with 3 HDMI, 3 USB Ports",https://images.philips.com/is/image/PhilipsConsumer/24M1N3200ZA_94-IMS-en_IN?$jpglarge$&wid=960,Hardware,true,true,false,Monitor,MO001,,Commercial,,,
M001,false,Allowed,HeyMicky Mouse compatible comes with choice of USB or Wireless connectivity.,https://5.imimg.com/data5/IS/JP/MY-58678879/computer-mouse.jpg,Hardware,true,true,false,Mouse,MOU001,,Commercial,,,
PR001,false,Allowed,Accepts text and graphic output from a computer and transfers the information to paper,https://in-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/5/4/54R58B-1_T1696992896.png,Hardware,true,true,false,Printer,PRN001,,Commercial,,,
,false,Allowed,"The printer bundle includes various printer options, printer paper with various connectivity options","https://www.jiomart.com/images/product/original/rvh2zawkv5/se-online-multipurpose-a4-210x297mm-100gsm-double-sided-plain-white-paper-copy-printing-paper-pack-of-100-sheet-white-product-images-orvh2zawkv5-p605717531-5-202310221628.jpg?im=Resize=(420,420)",Hardware,true,true,false,Printer Bundle,PB001,,Commercial,,Bundle,
