$$AttributeCategory.Code$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeCategory.Code$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
,,,powerkW,1500,,,,false,false,false,false,,,,,powerkW,,,Model PC,,Active,,,
,,,powerkW,1750,,,,false,false,false,false,,,,,powerkW,,,Model PC,,Active,,,
,,,powerkW,2500,,,,false,false,false,false,,,,,powerkW,,,Model PC,,Active,,,
,,,powerkW,900,,,,false,false,false,false,,,,,powerkW,,,Model PC,,Active,,,
,,,powerkW,1200,,,,false,false,false,false,,,,,powerkW,,,Model PC,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorKW,,gc_alternatorKW,Alternator kW,,,,,false,false,false,false,,,,,Alternator kW,,,Alternator;gc_alternatorKW,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_alternatorType,,gc_alternatorType,Alternator Type,,,,,false,false,false,false,,,,,Alternator Type,,,Alternator;gc_alternatorType,,Active,,,
gc_cbSize,,gc_cbSize,Size,100,,,,false,false,true,false,,,,,Size,,,CircuitBreaker;gc_cbSize,,Active,,,
gc_dual,,gc_dual,Alarm Relay,false,,,,false,false,false,false,,,,,Dual Alarm Relay,,,Accessory001;gc_dual,,Inactive,,,
gc_dual,,gc_dual,Alarm Relay,false,,,,false,false,false,false,,,,,Dual Alarm Relay,,,Accessory001;gc_dual,,Inactive,,,
gc_w8fr,,gc_w8fr,8-Function Relay,false,,,,false,false,false,false,,,,,8-Function Relay,,,Accessory001;gc_w8fr,,Active,,,
gc_w8fr,,gc_w8fr,Annunciator,false,,,,false,false,false,false,,,,,Annunciator,,,Accessory001;gc_w8fr,,Inactive,,,
gc_w8fr,,gc_w8fr,Annunciator,false,,,,false,false,false,false,,,,,Annunciator,,,Accessory001;gc_w8fr,,Inactive,,,
gc_w8fr,,gc_w8fr,8-Function Relay,false,,,,false,false,false,false,,,,,8-Function Relay,,,Accessory001;gc_w8fr,,Active,,,
Application,Application,,Duty Rating,,,,,false,true,false,false,,,,,Duty Rating,,,Generator Set PC;Application,,Active,,,
Application,Application,,Voltage,7621/13200,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,220/380,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,240/416,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,255/440,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,277/480,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,347/600,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,2400/4160,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,7200/12470,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
Application,Application,,Voltage,7976/13800,,,,false,false,false,false,,,,,Voltage,,,Voltage PC;Application,,Active,,,
CT001,CT001,,Wireless,true,,,,false,false,false,false,,,,,Wireless,,,KB001;CT001,,Active,,,
CT001,CT001,,Wireless,false,,,,false,true,false,false,,,,,Wireless,,,M001;CT001,,Active,,,
DIS,DIS,,Display,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,,CMP001;DIS,,Active,,,
DIS,DIS,,Display,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,,MN001;DIS,,Active,,,
DIS,DIS,,Screen Size,13 Inch,,,,false,true,false,true,,,,,Screen Size,,,CMP001;DIS,,Active,,,
DIS,DIS,,Screen Size,24 Inch,,,,false,true,false,true,,,,,Screen Size,,,MN001;DIS,,Active,,,
GRA,GRA,,Graphics,Intel Iris Xe Graphics,,,,false,true,false,false,,,,,Graphics,,,CMP001;GRA,,Active,,,
MEM,MEM,,Memory,RAM 8GB,,,,false,false,false,true,,,,,Memory,,,CMP001;MEM,,Active,,,
PP001,PP001,,Paper Size,A4,,,,false,false,false,false,,,,,Paper Size,,,P001;PP001,,Active,,,
P001,P001,,Printer Type,Laser,,,,false,true,false,false,,,,,Printer Type,,,PR001;P001,,Active,,,
PRO,PRO,,Processor,i5-CPU 4.4GHz,,,,false,true,false,true,,,,,Processor,,,CMP001;PRO,,Active,,,
