$$Name$Catalog.Code$ParentCategory.Name,Catalog.Name,Code,Description,Name,ParentCategory.$$Name$Catalog.Code$ParentCategory.Name,SortOrder
Batteries,Power Management,,,Batteries,,
Connectivity,Power Management,,,Connectivity,,
Fuel Cells,Power Management,,,Fuel Cells,,
Generators,Power Management,,,Generators,,
Solar Panels,Power Management,,,Solar Panels,,
Ad Hoc;GC001,Generac Business,,Ad Hoc,Ad Hoc,,60
MPS Solution;GC001,Generac Business,,MPS Solution,MPS Solution,,40
Parts;GC001,Generac Business,,Parts,Parts,,50
Portable Generators;GC001,Generac Business,,Portable Generators,Portable Generators,,20
Stationary Generators;GC001,Generac Business,,Stationary Generators,Stationary Generators,,10
Transfer Switches;GC001,Generac Business,,Transfer Switches,Transfer Switches,,30
Bi-Fuel;GC001;<80KW,Generac Business,,Bi-Fuel Products,Bi-Fuel,<80KW;GC001;Power Rating,30
Diesel;GC001;<80KW,Generac Business,,Diesel Products,Diesel,<80KW;GC001;Power Rating,20
Gas;GC001;<80KW,Generac Business,,Gas Products,Gas,<80KW;GC001;Power Rating,10
Bi-Fuel;GC001;>750KW,Generac Business,,Bi-Fuel Products,Bi-Fuel,>750KW;GC001;Power Rating,30
Diesel;GC001;>750KW,Generac Business,,Diesel Products,Diesel,>750KW;GC001;Power Rating,20
Gas;GC001;>750KW,Generac Business,,Gas Products,Gas,>750KW;GC001;Power Rating,10
Bi-Fuel;GC001;300KW - 750KW,Generac Business,,Bi-Fuel Products,Bi-Fuel,300KW - 750KW;GC001;Power Rating,30
Diesel;GC001;300KW - 750KW,Generac Business,,Diesel Products,Diesel,300KW - 750KW;GC001;Power Rating,20
Gas;GC001;300KW - 750KW,Generac Business,,Gas Products,Gas,300KW - 750KW;GC001;Power Rating,10
Bi-Fuel;GC001;80KW - 300KW,Generac Business,,Bi-Fuel Products,Bi-Fuel,80KW - 300KW;GC001;Power Rating,30
Diesel;GC001;80KW - 300KW,Generac Business,,Diesel Products,Diesel,80KW - 300KW;GC001;Power Rating,20
Gas;GC001;80KW - 300KW,Generac Business,,Gas Products,Gas,80KW - 300KW;GC001;Power Rating,10
<80KW;GC001;Bi-Fuel,Generac Business,,<80KW,<80KW,Bi-Fuel;GC001;Fuel Type,10
>750KW;GC001;Bi-Fuel,Generac Business,,>750KW,>750KW,Bi-Fuel;GC001;Fuel Type,40
300KW - 750KW;GC001;Bi-Fuel,Generac Business,,300KW - 750KW,300KW - 750KW,Bi-Fuel;GC001;Fuel Type,30
80KW - 300KW;GC001;Bi-Fuel,Generac Business,,80KW - 300KW,80KW - 300KW,Bi-Fuel;GC001;Fuel Type,20
<80KW;GC001;Diesel,Generac Business,,<80KW,<80KW,Diesel;GC001;Fuel Type,10
>750KW;GC001;Diesel,Generac Business,,>750KW,>750KW,Diesel;GC001;Fuel Type,40
300KW - 750KW;GC001;Diesel,Generac Business,,300KW - 750KW,300KW - 750KW,Diesel;GC001;Fuel Type,30
80KW - 300KW;GC001;Diesel,Generac Business,,80KW - 300KW,80KW - 300KW,Diesel;GC001;Fuel Type,20
Bi-Fuel;GC001;Fuel Type,Generac Business,,Bi-Fuel Products,Bi-Fuel,Fuel Type;GC001;Stationary Generators,30
Diesel;GC001;Fuel Type,Generac Business,,Diesel Products,Diesel,Fuel Type;GC001;Stationary Generators,20
Gas;GC001;Fuel Type,Generac Business,,Gas Products,Gas,Fuel Type;GC001;Stationary Generators,10
<80KW;GC001;Gas,Generac Business,,<80KW,<80KW,Gas;GC001;Fuel Type,10
>750KW;GC001;Gas,Generac Business,,>750KW,>750KW,Gas;GC001;Fuel Type,40
300KW - 750KW;GC001;Gas,Generac Business,,300KW - 750KW,300KW - 750KW,Gas;GC001;Fuel Type,30
80KW - 300KW;GC001;Gas,Generac Business,,80KW - 300KW,80KW - 300KW,Gas;GC001;Fuel Type,20
Air Filters;GC001;Parts,Generac Business,,Air Filters,Air Filters,Parts;GC001,30
Maintenance Kits;GC001;Parts,Generac Business,,Maintenance Kits,Maintenance Kits,Parts;GC001,10
Oil Filters;GC001;Parts,Generac Business,,Oil Filters,Oil Filters,Parts;GC001,20
<80KW;GC001;Power Rating,Generac Business,,<80KW,<80KW,Power Rating;GC001;Stationary Generators,10
>750KW;GC001;Power Rating,Generac Business,,>750KW,>750KW,Power Rating;GC001;Stationary Generators,40
300KW - 750KW;GC001;Power Rating,Generac Business,,300KW - 750KW,300KW - 750KW,Power Rating;GC001;Stationary Generators,30
80KW - 300KW;GC001;Power Rating,Generac Business,,80KW - 300KW,80KW - 300KW,Power Rating;GC001;Stationary Generators,20
Fuel Type;GC001;Stationary Generators,Generac Business,,Fuel Type,Fuel Type,Stationary Generators;GC001,10
Power Rating;GC001;Stationary Generators,Generac Business,,Power Rating,Power Rating,Stationary Generators;GC001,20
Accessories;HC001,Hardware Catalog,,,Accessories,,
Desktops;HC001,Hardware Catalog,,,Desktops,,
Laptops;HC001,Hardware Catalog,,,Laptops,,
Podcast;MED001,Media Catalog,,,Podcast,,
Cloud Services;SC001,Service Catalog,,,Cloud Services,,
Phone Plans;SC001,Service Catalog,,,Phone Plans,,
Support;SC001,Service Catalog,,,Support,,
Surveillance;SC001,Service Catalog,,,Surveillance,,
Training;SC001,Service Catalog,,,Training,,
Warranty;SC001,Service Catalog,,,Warranty,,
Productivity Software;SF001,Software Catalog,,,Productivity Software,,
Protection Software;SF001,Software Catalog,,,Protection Software,,
