$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.$$Code$ParentProduct.StockKeepingUnit,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,Sequence,UnitOfMeasure.UnitCode
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,1,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,8,,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,10,,4,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,1,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,4,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,1,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,true,true,,4,,Bundle,,,Bundle to Bundle Component Relationship,8,,1,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,true,true,,4,,Bundle,,,Bundle to Bundle Component Relationship,12,,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,true,true,,4,,Bundle,,,Bundle to Bundle Component Relationship,10,,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,1,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,4,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,5,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,9,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,8,,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,8,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,7,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,6,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,5,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,4,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,true,true,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,true,true,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,true,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Constant,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,true,true,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,true,true,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,true,true,true,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,3,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,2,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,true,,,,Bundle,,,Bundle to Bundle Component Relationship,1,,1,
Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,1,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,227,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,239,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,238,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,237,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,236,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,235,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,234,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,233,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,232,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,231,
Accessories Main;Bundle to Bundle Component Relationship,,,BundleComponent,,false,false,false,false,,,,Bundle,,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,230,
