AccountingPeriod.Name,LegalEntity.Name,Name,Status
2024-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2024-January1-January31,Open
2024-January1-January31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-January1-January31,Open
2024-February1-February29,Default Legal Entity - US,Default Legal Entity - US-2024-February1-February29,Open
2024-February1-February29,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-February1-February29,Open
2024-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2024-March1-March31,Open
2025-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2025-September1-September30,Open
2024-March1-March31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-March1-March31,Open
2024-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2024-April1-April30,Open
2024-April1-April30,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-April1-April30,Open
2024-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2024-May1-May31,Open
2024-May1-May31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-May1-May31,Open
2024-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2024-June1-June30,Open
2024-June1-June30,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-June1-June30,Open
2024-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2024-July1-July31,Open
2024-July1-July31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-July1-July31,Open
2024-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2024-August1-August31,Open
2024-August1-August31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-August1-August31,Open
2024-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2024-September1-September30,Open
2024-September1-September30,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-September1-September30,Open
2024-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2024-October1-October31,Open
2024-October1-October31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-October1-October31,Open
2024-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2024-November1-November30,Open
2024-November1-November30,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-November1-November30,Open
2024-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2024-December1-December31,Open
2024-December1-December31,Default Legal Entity - Canada,Default Legal Entity - Canada-2024-December1-December31,Open
2025-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2025-January1-January31,Open
2025-January1-January31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-January1-January31,Open
2025-February1-February28,Default Legal Entity - US,Default Legal Entity - US-2025-February1-February28,Open
2025-February1-February28,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-February1-February28,Open
2025-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2025-March1-March31,Open
2025-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2025-April1-April30,Open
2025-March1-March31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-March1-March31,Open
2025-April1-April30,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-April1-April30,Open
2025-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2025-May1-May31,Open
2025-May1-May31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-May1-May31,Open
2025-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2025-June1-June30,Open
2025-June1-June30,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-June1-June30,Open
2025-July1-July31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-July1-July31,Open
2025-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2025-July1-July31,Open
2025-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2025-August1-August31,Open
2025-August1-August31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-August1-August31,Open
2025-September1-September30,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-September1-September30,Open
2025-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2025-October1-October31,Open
2025-October1-October31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-October1-October31,Open
2025-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2025-November1-November30,Open
2025-November1-November30,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-November1-November30,Open
2025-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2025-December1-December31,Open
2025-December1-December31,Default Legal Entity - Canada,Default Legal Entity - Canada-2025-December1-December31,Open
