ApiName,IsDefault,MasterLabel,SortOrder,StatusCode
Activated,false,Activated,6,Activated
Draft,false,Draft,1,Draft
In Approval Process,false,In Approval Process,3,InApproval
Awaiting Signature,false,Awaiting Signature,8,AwaitingSignature
Rejected,false,Rejected,4,Rejected
Negotiating,false,Negotiating,5,Negotiating
Signature Declined,false,Signature Declined,9,SignatureDeclined
Signed,false,Signed,10,Signed
Canceled,false,Canceled,11,Cancelled
Contract Expired,false,Contract Expired,12,Expired2
Contract Terminated,false,Contract Terminated,13,Terminated2
CustomLegalS1,false,CustomLegalS1,2,Draft
CustomLegalS2,false,CustomLegalS2,7,Negotiating
