CustomClassName,DefaultFontStyle,DocumentConversionResourceName,DocumentGenerationMechanism,ExtractOmniDataTransformName,GlobalKey,HasBatchableSection,IsActive,IsSectionProcessed,LastEmbeddedTmplSectionKey,MapperOmniDataTransformName,Name,Namespace,SectionHeaderFontStyle,SectionHeaderFontStyleValue,ShouldDisplayUnmappedToken,ShouldExtractEmbeddedTmplToken,Status,TargetTokenItemObject,TargetTokenObject,TokenList,TokenMappingMethodType,TokenMappingType,Type,UniqueName,UsageType,VersionNumber,XmlRelationshipMetadata
,"'Times New Roman', times, serif",,ServerSide,DREContractDynTempCopy1690811917508,ContractDynTemp_Copy_306/1/Salesforce/1690811918395,false,true,false,,DRMContractDynTempCopy1690811917508,CLMQ3_ContractDynTemp,,,,false,false,Active,,Contract,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,"'Times New Roman', times, serif",,ServerSide,DREContractDynTemp,OppToContract Copy 997/1/salesforce.com/1679988277153,false,true,false,,DRMContractDynTemp,ContractDynTemp,,,,false,false,Active,,Contract,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,"'Times New Roman', times, serif",,ServerSide,DREDocxSysAdminCopy1654773388408,DOCXTemplate/2/clmdblosee2/1654773388754,false,true,false,,DRMDocxSysAdminCopy1654773388408,DOCXTemplate,,,,false,false,Active,,Contract,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,"'Times New Roman', times, serif",,ServerSide,DREFNDSSDynamicsDOCX,FndSSDynamicsDOCX_MSCompaitable/1/Salesforce/1689757647282,false,true,false,,DRMFNDSSDynamicsDOCX,FndSSDynamicsDOCX_MSCompaitable,,,,false,false,Active,,,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,"'Times New Roman', times, serif",,ServerSide,DREDocxSysAdminCopy1690811990852,DOCXTemplate_Copy_260/1/Salesforce/1690811991342,false,true,false,,DRMDocxSysAdminCopy1690811990852,CLMQ3_DOCXTemplate,,,,false,false,Active,,Contract,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,"'Times New Roman', times, serif",,ServerSide,DREOppToContractCopy1690812142849,OppToContract_Copy_423/1/Salesforce/1690812143502,false,true,false,,DRMOppToContractCopy1690812142849,CLM_OppToContract,,,,false,false,Active,,Contract,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,"'Times New Roman', times, serif",,ServerSide,DREOppToContract,OppToContract/1/clmdblosee2/1654771277417,false,true,false,,DRMOppToContract,OppToContract,,,,false,false,Active,,Contract,,OmniDataTransform,JSON,MicrosoftWord,,Contract_Lifecycle_Management,1,"{""DocxGenTemplate"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n <Relationships xmlns=\""http://schemas.openxmlformats.org/package/2006/relationships\""> <Relationship Id=\""rId3\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings\"" Target=\""settings.xml\""/> <Relationship Id=\""rId4\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings\"" Target=\""webSettings.xml\""/> <Relationship Id=\""rId5\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes\"" Target=\""footnotes.xml\""/> <Relationship Id=\""rId6\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes\"" Target=\""endnotes.xml\""/> <Relationship Id=\""rId7\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/header\"" Target=\""header1.xml\""/> <Relationship Id=\""rId8\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer\"" Target=\""footer1.xml\""/> <Relationship Id=\""rId9\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable\"" Target=\""fontTable.xml\""/> <Relationship Id=\""rId10\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme\"" Target=\""theme/theme1.xml\""/> <Relationship Id=\""rId1\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering\"" Target=\""numbering.xml\""/> <Relationship Id=\""rId2\"" Type=\""http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles\"" Target=\""styles.xml\""/> </Relationships>""}"
,,,ServerSide,DRESampleDTMS365_TR,SampleDTMS365_TR/1/00D1Q0000014ceY/1712578255043,false,true,false,,DRMSampleDTMS365_TR,SampleDTMS365_TR,,,,false,false,Active,,,"AccountId,Status,ContractNumber,ContractStartDate,ContractEndDate",OmniDataTransform,JSON,Microsoft365Word,,Contract_Lifecycle_Management,1,
,,,ServerSide,,SU/1/00D1Q0000014ceY/1713160567881,false,false,false,,,SU,,,,false,false,Draft,,,,OmniDataTransform,JSON,Microsoft365Word,,,1,
,,,ServerSide,,Suuuuuu/1/00D1Q0000014ceY/1713160735531,false,false,false,,,Suuuuuu,,,,false,false,Draft,,,,OmniDataTransform,JSON,Microsoft365Word,,,1,
