BatchSize,Description,ExpectedInputJson,ExpectedInputOtherData,ExpectedInputXml,ExpectedOutputJson,ExpectedOutputOtherData,ExpectedOutputXml,GlobalKey,InputParsingClass,InputType,IsAssignmentRulesUsed,IsErrorIgnored,IsNullInputsIncludedInOutput,IsProcessSuperBulk,IsRollbackOnError,IsSourceObjectDefault,IsXmlDeclarationRemoved,Name,OutputParsingClass,OutputType,OverrideKey,PreprocessorClassName,PreviewJsonData,PreviewOtherData,PreviewSourceObjectData,PreviewXmlData,RequiredPermission,ResponseCacheTtlMinutes,ResponseCacheType,SourceObject,SynchronousProcessThreshold,TargetOutputDocumentIdentifier,TargetOutputFileName,Type,UniqueName,VersionNumber,XmlOutputTagsOrder
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DRMContractDynTemp,,Document Template,,,"{
  ""SCL"": [
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc10""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc2""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc1""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc5""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc9""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc8""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc7""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc4""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc6""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc3""
    }
  ],
  ""ContractEndDate"": ""2023-06-19"",
  ""AccountId"": ""001x0000002eOIHAA2"",
  ""ContractStatus"": ""Draft"",
  ""ContractStartDate"": ""2022-06-20"",
  ""ContractNumber"": ""00000257""
}",,,,,,,json,,,ContractDynTemp(Version 1),Transform,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREContractDynTemp,,JSON,,,"{""Id"":""800x00000000MZrAAM""}",,,,,,,json,,,,Extract,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREOppToContract,,JSON,,,"{""Id"":""800x00000000MZrAAM""}",,,,,,,json,,,,Extract,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DRMOppToContract,,Document Template,,,"{
  ""SCL"": [
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc10""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc2""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc1""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc5""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc9""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc8""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc7""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc4""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc6""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc3""
    }
  ],
  ""ContractEndDate"": ""2023-06-19"",
  ""AccountId"": ""001x0000002eOIHAA2"",
  ""ContractStatus"": ""Draft"",
  ""ContractStartDate"": ""2022-06-20"",
  ""ContractNumber"": ""00000257""
}",,,,,,,json,,,OppToContract(Version 1),Transform,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DRMDocxSysAdminCopy1654773388408,,Document Template,,,,,,,,,,json,,,DOCXTemplate(Version 1),Transform,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREDocxSysAdminCopy1654773388408,,JSON,,,"{""Id"":""800x00000000MOFAA2""}",,,,,,,json,,,,Extract,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREContractDynTempCopy1690811917508,,JSON,,,"{""Id"":""800x00000000MZrAAM""}",,,,,,,json,,,,Extract,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DRMContractDynTempCopy1690811917508,,Document Template,,,"{
  ""SCL"": [
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc10""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc2""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc1""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc5""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc9""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc8""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc7""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc4""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc6""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc3""
    }
  ],
  ""ContractEndDate"": ""2023-06-19"",
  ""AccountId"": ""001x0000002eOIHAA2"",
  ""ContractStatus"": ""Draft"",
  ""ContractStartDate"": ""2022-06-20"",
  ""ContractNumber"": ""00000257""
}",,,,,,,json,,,CLMQ3_ContractDynTemp(Version 1),Transform,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREDocxSysAdminCopy1690811990852,,JSON,,,"{""Id"":""800x00000000MOFAA2""}",,,,,,,json,,,,Extract,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DRMDocxSysAdminCopy1690811990852,,Document Template,,,,,,,,,,json,,,CLMQ3_DOCXTemplate(Version 1),Transform,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREOppToContractCopy1690812142849,,JSON,,,"{""Id"":""800x00000000MZrAAM""}",,,,,,,json,,,,Extract,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DRMOppToContractCopy1690812142849,,Document Template,,,"{
  ""SCL"": [
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc10""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc2""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc1""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc5""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc9""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc8""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc7""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc4""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc6""
    },
    {
      ""ContractId"": ""800x00000000MZrAAM"",
      ""Name"": ""ProdDesc3""
    }
  ],
  ""ContractEndDate"": ""2023-06-19"",
  ""AccountId"": ""001x0000002eOIHAA2"",
  ""ContractStatus"": ""Draft"",
  ""ContractStartDate"": ""2022-06-20"",
  ""ContractNumber"": ""00000257""
}",,,,,,,json,,,CLM_OppToContract(Version 1),Transform,,1,
,,,,,,,,,,JSON,false,false,false,false,false,false,false,DREFNDSSDynamicsDOCX,,JSON,,,"{""Id"":""800DE000000HO1jYAG""}",,,,,,,json,,,,Extract,,1,
