$$Name$CategoryReference.DeveloperName,CategoryReference.DeveloperName,DefaultLanguage,Name,Status
CS_AllLanguage_1;Contract,Contract,en_US,CS_AllLanguage_1,Active
CS_AllLanguage_2;Retail,Retail,en_US,CS_AllLanguage_2,Active
SmartBytesMSA;Contract,Contract,en_US,SmartBytesMSA,Active
Sample;Contract,Contract,en_US,Sample,Active
SCOPE OF SERVICES;Contract,Contract,en_US,SCOPE OF SERVICES,Active
Force Majeure;Contract,Contract,en_US,Force Majeure,Active
DELIVERY DELAY;Contract,Contract,en_US,DELIVERY DELAY,Active
LIMITATION OF LIABILITY;Contract,Contract,en_US,LIMITATION OF LIABILITY,Active
DELIVERY SCHEDULE;Contract,Contract,en_US,DELIVERY SCHEDULE,Active
PRICE AND PAYMENT TERMS;Contract,Contract,en_US,PRICE AND PAYMENT TERMS,Active
MITIGATION;Contract,Contract,en_US,MITIGATION,Active
TERMINATION;Contract,Contract,en_US,TERMINATION,Active
GOVERNING LAW;Contract,Contract,en_US,GOVERNING LAW,Active
ENTIRE AGREEMENT;Contract,Contract,en_US,ENTIRE AGREEMENT,Active
AMENDMENTS;Contract,Contract,en_US,AMENDMENTS,Active
SEVERABILITY;Contract,Contract,en_US,SEVERABILITY,Active
Test demo;Contract,Contract,en_US,Test demo,Draft
Net 90 Payment Terms;Contract,Contract,en_US,Net 90 Payment Terms,Draft
Sample1;Contract,Contract,en_US,Sample1,Draft
Chief Sales Officer;Contract,Contract,en_US,Chief Sales Officer,Draft
