BillingPolicy.Name,StockKeepingUnit
Snowflake Demo Billing Policy,SF-EDU-STD
Snowflake Demo Billing Policy,SF-EDU-ENT
Snowflake Demo Billing Policy,SF-EDU-BC
Snowflake Demo Billing Policy,SF-EDU-VPS
Snowflake Demo Billing Policy,SF-SUP-STD
Snowflake Demo Billing Policy,SF-SUP-PREM
Snowflake Demo Billing Policy,SF-BND-STARTER
Snowflake Demo Billing Policy,SF-BND-GROWTH
Snowflake Demo Billing Policy,SF-SVC-ONBOARD
Snowflake Demo Billing Policy,SF-USG-STORAGE
Snowflake Demo Billing Policy,SF-USG-EGRESS
Snowflake Demo Billing Policy,SF-USG-COMPUTE
Snowflake Demo Billing Policy,SF-BLNG-STORAGE
Snowflake Demo Billing Policy,SF-BLNG-EGRESS
Snowflake Demo Billing Policy,SF-BLNG-COMPUTE
