$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
SF-SW;SF-SNOW-EDU-STD;SF-SNOW-BND-STARTER;PCG-SF-START;Bundle to Bundle Component Relationship,SF-SNOW-EDU-STD,SF-SW,BundleComponent,Term Monthly;TermDefined,false,true,true,true,,,SF-SNOW-BND-STARTER,Bundle,Term Monthly;TermDefined,PCG-SF-START,Bundle to Bundle Component Relationship,1,,Always,1,
SF-SW;SF-SNOW-SUPPORT-STD;SF-SNOW-BND-STARTER;PCG-SF-START;Bundle to Bundle Component Relationship,SF-SNOW-SUPPORT-STD,SF-SW,BundleComponent,Term Monthly;TermDefined,false,true,true,true,,,SF-SNOW-BND-STARTER,Bundle,Term Monthly;TermDefined,PCG-SF-START,Bundle to Bundle Component Relationship,1,,Always,2,
SF-SW;SF-SNOW-EDU-ENT;SF-SNOW-BND-GROWTH;PCG-SF-GROW;Bundle to Bundle Component Relationship,SF-SNOW-EDU-ENT,SF-SW,BundleComponent,Term Monthly;TermDefined,false,true,true,true,,,SF-SNOW-BND-GROWTH,Bundle,Term Monthly;TermDefined,PCG-SF-GROW,Bundle to Bundle Component Relationship,1,,Always,1,
SF-SW;SF-SNOW-SUPPORT-PREM;SF-SNOW-BND-GROWTH;PCG-SF-GROW;Bundle to Bundle Component Relationship,SF-SNOW-SUPPORT-PREM,SF-SW,BundleComponent,Term Monthly;TermDefined,false,true,true,true,,,SF-SNOW-BND-GROWTH,Bundle,Term Monthly;TermDefined,PCG-SF-GROW,Bundle to Bundle Component Relationship,1,,Always,2,
SF-SW;SF-USG-STORAGE;SF-SNOW-BND-STARTER;PCG-SF-USAGE-ST;Bundle to Bundle Component Relationship,SF-USG-STORAGE,SF-SW,BundleComponent,Term Monthly;TermDefined,false,false,false,true,,,SF-SNOW-BND-STARTER,Bundle,Term Monthly;TermDefined,PCG-SF-USAGE-ST,Bundle to Bundle Component Relationship,1,,Always,1,
SF-SW;SF-USG-EGRESS;SF-SNOW-BND-STARTER;PCG-SF-USAGE-ST;Bundle to Bundle Component Relationship,SF-USG-EGRESS,SF-SW,BundleComponent,Term Monthly;TermDefined,false,false,false,true,,,SF-SNOW-BND-STARTER,Bundle,Term Monthly;TermDefined,PCG-SF-USAGE-ST,Bundle to Bundle Component Relationship,1,,Always,2,
SF-SW;SF-USG-COMPUTE;SF-SNOW-BND-STARTER;PCG-SF-USAGE-ST;Bundle to Bundle Component Relationship,SF-USG-COMPUTE,SF-SW,BundleComponent,Term Monthly;TermDefined,false,false,false,true,,,SF-SNOW-BND-STARTER,Bundle,Term Monthly;TermDefined,PCG-SF-USAGE-ST,Bundle to Bundle Component Relationship,1,,Always,3,
SF-SW;SF-USG-STORAGE;SF-SNOW-BND-GROWTH;PCG-SF-USAGE-GR;Bundle to Bundle Component Relationship,SF-USG-STORAGE,SF-SW,BundleComponent,Term Monthly;TermDefined,false,false,false,true,,,SF-SNOW-BND-GROWTH,Bundle,Term Monthly;TermDefined,PCG-SF-USAGE-GR,Bundle to Bundle Component Relationship,1,,Always,1,
SF-SW;SF-USG-EGRESS;SF-SNOW-BND-GROWTH;PCG-SF-USAGE-GR;Bundle to Bundle Component Relationship,SF-USG-EGRESS,SF-SW,BundleComponent,Term Monthly;TermDefined,false,false,false,true,,,SF-SNOW-BND-GROWTH,Bundle,Term Monthly;TermDefined,PCG-SF-USAGE-GR,Bundle to Bundle Component Relationship,1,,Always,2,
SF-SW;SF-USG-COMPUTE;SF-SNOW-BND-GROWTH;PCG-SF-USAGE-GR;Bundle to Bundle Component Relationship,SF-USG-COMPUTE,SF-SW,BundleComponent,Term Monthly;TermDefined,false,false,false,true,,,SF-SNOW-BND-GROWTH,Bundle,Term Monthly;TermDefined,PCG-SF-USAGE-GR,Bundle to Bundle Component Relationship,1,,Always,3,
