Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
,DL-ATL,ATL — Airport,false,ATL — Airport,DL Route Picklist,1,Active,ATL
,DL-JFK,JFK — Airport,false,JFK — Airport,DL Route Picklist,2,Active,JFK
,DL-LHR,LHR — Airport,false,LHR — Airport,DL Route Picklist,3,Active,LHR
,DL-US50,US50 — Region,false,US50 — Region,DL Route Picklist,4,Active,US50
,DL-EMEAI,EMEAI — Global Region,false,EMEAI — Global Region,DL Route Picklist,5,Active,EMEAI
,DL-DIR-BETWEEN,Between,true,Between,DL Directionality Picklist,1,Active,Between
,DL-DIR-DIRECTIONAL,Directional,false,Directional,DL Directionality Picklist,2,Active,Directional
,DL-MEAS-SHAREGAP,Share Gap,false,Share Gap,DL Measure Picklist,1,Active,Share Gap
,DL-MEAS-SHAREFLIGHTS,Share of Flights,false,Share of Flights,DL Measure Picklist,2,Active,Share of Flights
,DL-MEAS-NONE,No Requirement,true,No Requirement,DL Measure Picklist,3,Active,No Requirement
