$$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.Name,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
DL_Destination;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_Destination,,US50,,,,false,false,false,false,,,,,Destination,,DL-TMPL-ATLHUB,Destination,4,Active,,,
DL_Directionality;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_Directionality,,Between,,,,false,false,false,false,,,,,Directionality,,DL-TMPL-ATLHUB,Directionality,5,Active,,,
DL_MarketGroup;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_MarketGroup,,ATL Hub,,,,false,false,false,false,,,,,Market Group,,DL-TMPL-ATLHUB,Market Group,2,Active,,,
DL_Measure;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_Measure,,Share of Flights,,,,false,false,false,false,,,,,Measure,,DL-TMPL-ATLHUB,Measure,6,Active,,,
DL_Origin;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_Origin,,ATL,,,,false,false,false,false,,,,,Origin,,DL-TMPL-ATLHUB,Origin,3,Active,,,
DL_RequirementValue;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_RequirementValue,,45%,,,,false,false,false,false,,,,,Requirement Value,,DL-TMPL-ATLHUB,Requirement Value,7,Active,,,
DL_SpecialConditions;DL-TMPL-ATLHUB,AC-DL-ROUTE,DL_SpecialConditions,,Hub-and-spoke,,,,false,false,false,false,,,,,Special Conditions,,DL-TMPL-ATLHUB,Special Conditions,8,Active,,,
DL_Destination;DL-TMPL-EMEAI,AC-DL-ROUTE,DL_Destination,,EMEAI,,,,false,false,false,false,,,,,Destination,,DL-TMPL-EMEAI,Destination,4,Active,,,
DL_Directionality;DL-TMPL-EMEAI,AC-DL-ROUTE,DL_Directionality,,Between,,,,false,false,false,false,,,,,Directionality,,DL-TMPL-EMEAI,Directionality,5,Active,,,
DL_MarketGroup;DL-TMPL-EMEAI,AC-DL-ROUTE,DL_MarketGroup,,EMEAI Intra-region,,,,false,false,false,false,,,,,Market Group,,DL-TMPL-EMEAI,Market Group,2,Active,,,
DL_Measure;DL-TMPL-EMEAI,AC-DL-ROUTE,DL_Measure,,No Requirement,,,,false,false,false,false,,,,,Measure,,DL-TMPL-EMEAI,Measure,6,Active,,,
DL_Origin;DL-TMPL-EMEAI,AC-DL-ROUTE,DL_Origin,,EMEAI,,,,false,false,false,false,,,,,Origin,,DL-TMPL-EMEAI,Origin,3,Active,,,
DL_SpecialConditions;DL-TMPL-EMEAI,AC-DL-ROUTE,DL_SpecialConditions,,Codeshare eligible,,,,false,false,false,false,,,,,Special Conditions,,DL-TMPL-EMEAI,Special Conditions,8,Active,,,
DL_Destination;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_Destination,,LHR,,,,false,false,false,false,,,,,Destination,,DL-TMPL-JFKLHR,Destination,4,Active,,,
DL_Directionality;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_Directionality,,Directional,,,,false,false,false,false,,,,,Directionality,,DL-TMPL-JFKLHR,Directionality,5,Active,,,
DL_MarketGroup;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_MarketGroup,,JFK-LHR Nonstop,,,,false,false,false,false,,,,,Market Group,,DL-TMPL-JFKLHR,Market Group,2,Active,,,
DL_Measure;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_Measure,,Share Gap,,,,false,false,false,false,,,,,Measure,,DL-TMPL-JFKLHR,Measure,6,Active,,,
DL_Origin;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_Origin,,JFK,,,,false,false,false,false,,,,,Origin,,DL-TMPL-JFKLHR,Origin,3,Active,,,
DL_RequirementValue;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_RequirementValue,,8.0 pts,,,,false,false,false,false,,,,,Requirement Value,,DL-TMPL-JFKLHR,Requirement Value,7,Active,,,
DL_SpecialConditions;DL-TMPL-JFKLHR,AC-DL-ROUTE,DL_SpecialConditions,,Directional eastbound,,,,false,false,false,false,,,,,Special Conditions,,DL-TMPL-JFKLHR,Special Conditions,8,Active,,,
DL_Destination;DL-TMPL-TATL,AC-DL-ROUTE,DL_Destination,,EMEAI,,,,false,false,false,false,,,,,Destination,,DL-TMPL-TATL,Destination,4,Active,,,
DL_Directionality;DL-TMPL-TATL,AC-DL-ROUTE,DL_Directionality,,Between,,,,false,false,false,false,,,,,Directionality,,DL-TMPL-TATL,Directionality,5,Active,,,
DL_MarketGroup;DL-TMPL-TATL,AC-DL-ROUTE,DL_MarketGroup,,Transatlantic,,,,false,false,false,false,,,,,Market Group,,DL-TMPL-TATL,Market Group,2,Active,,,
DL_Measure;DL-TMPL-TATL,AC-DL-ROUTE,DL_Measure,,Share of Flights,,,,false,false,false,false,,,,,Measure,,DL-TMPL-TATL,Measure,6,Active,,,
DL_Origin;DL-TMPL-TATL,AC-DL-ROUTE,DL_Origin,,US50,,,,false,false,false,false,,,,,Origin,,DL-TMPL-TATL,Origin,3,Active,,,
DL_RequirementValue;DL-TMPL-TATL,AC-DL-ROUTE,DL_RequirementValue,,60%,,,,false,false,false,false,,,,,Requirement Value,,DL-TMPL-TATL,Requirement Value,7,Active,,,
DL_SpecialConditions;DL-TMPL-TATL,AC-DL-ROUTE,DL_SpecialConditions,,Peak-season carve-out,,,,false,false,false,false,,,,,Special Conditions,,DL-TMPL-TATL,Special Conditions,8,Active,,,
DL_Destination;DL-TMPL-USDOM,AC-DL-ROUTE,DL_Destination,,US50,,,,false,false,false,false,,,,,Destination,,DL-TMPL-USDOM,Destination,4,Active,,,
DL_Directionality;DL-TMPL-USDOM,AC-DL-ROUTE,DL_Directionality,,Between,,,,false,false,false,false,,,,,Directionality,,DL-TMPL-USDOM,Directionality,5,Active,,,
DL_MarketGroup;DL-TMPL-USDOM,AC-DL-ROUTE,DL_MarketGroup,,US Domestic,,,,false,false,false,false,,,,,Market Group,,DL-TMPL-USDOM,Market Group,2,Active,,,
DL_Measure;DL-TMPL-USDOM,AC-DL-ROUTE,DL_Measure,,Share Gap,,,,false,false,false,false,,,,,Measure,,DL-TMPL-USDOM,Measure,6,Active,,,
DL_Origin;DL-TMPL-USDOM,AC-DL-ROUTE,DL_Origin,,US50,,,,false,false,false,false,,,,,Origin,,DL-TMPL-USDOM,Origin,3,Active,,,
DL_RequirementValue;DL-TMPL-USDOM,AC-DL-ROUTE,DL_RequirementValue,,5.0 pts,,,,false,false,false,false,,,,,Requirement Value,,DL-TMPL-USDOM,Requirement Value,7,Active,,,
DL_SpecialConditions;DL-TMPL-USDOM,AC-DL-ROUTE,DL_SpecialConditions,,Excludes Basic Economy,,,,false,false,false,false,,,,,Special Conditions,,DL-TMPL-USDOM,Special Conditions,8,Active,,,
