$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
PC-DL-FARE;;DL-TERM;DL-TERM-FARES;Bundle to Product Classification Component Relationship,,PC-DL-FARE,ClassificationComponent,,false,false,false,true,,,DL-TERM,Bundle,,DL-TERM-FARES,Bundle to Product Classification Component Relationship,1,,,,
;DL-FARE-MAIN;DL-TMPL-ATLHUB;DL-TMPL-ATLHUB-FARES;Bundle to Bundle Component Relationship,DL-FARE-MAIN,,BundleComponent,,false,false,false,true,,,DL-TMPL-ATLHUB,Bundle,,DL-TMPL-ATLHUB-FARES,Bundle to Bundle Component Relationship,1,,,1,
;DL-FARE-COMF;DL-TMPL-ATLHUB;DL-TMPL-ATLHUB-FARES;Bundle to Bundle Component Relationship,DL-FARE-COMF,,BundleComponent,,false,false,false,true,,,DL-TMPL-ATLHUB,Bundle,,DL-TMPL-ATLHUB-FARES,Bundle to Bundle Component Relationship,1,,,2,
;DL-FARE-ONE;DL-TMPL-ATLHUB;DL-TMPL-ATLHUB-FARES;Bundle to Bundle Component Relationship,DL-FARE-ONE,,BundleComponent,,false,false,false,true,,,DL-TMPL-ATLHUB,Bundle,,DL-TMPL-ATLHUB-FARES,Bundle to Bundle Component Relationship,1,,,3,
;DL-FARE-PS;DL-TMPL-EMEAI;DL-TMPL-EMEAI-FARES;Bundle to Bundle Component Relationship,DL-FARE-PS,,BundleComponent,,false,false,false,true,,,DL-TMPL-EMEAI,Bundle,,DL-TMPL-EMEAI-FARES,Bundle to Bundle Component Relationship,1,,,1,
;DL-FARE-MAIN;DL-TMPL-EMEAI;DL-TMPL-EMEAI-FARES;Bundle to Bundle Component Relationship,DL-FARE-MAIN,,BundleComponent,,false,false,false,true,,,DL-TMPL-EMEAI,Bundle,,DL-TMPL-EMEAI-FARES,Bundle to Bundle Component Relationship,1,,,2,
;DL-FARE-ONE;DL-TMPL-JFKLHR;DL-TMPL-JFKLHR-FARES;Bundle to Bundle Component Relationship,DL-FARE-ONE,,BundleComponent,,false,false,false,true,,,DL-TMPL-JFKLHR,Bundle,,DL-TMPL-JFKLHR-FARES,Bundle to Bundle Component Relationship,1,,,1,
;DL-FARE-PS;DL-TMPL-JFKLHR;DL-TMPL-JFKLHR-FARES;Bundle to Bundle Component Relationship,DL-FARE-PS,,BundleComponent,,false,false,false,true,,,DL-TMPL-JFKLHR,Bundle,,DL-TMPL-JFKLHR-FARES,Bundle to Bundle Component Relationship,1,,,2,
;DL-FARE-ONE;DL-TMPL-TATL;DL-TMPL-TATL-FARES;Bundle to Bundle Component Relationship,DL-FARE-ONE,,BundleComponent,,false,false,false,true,,,DL-TMPL-TATL,Bundle,,DL-TMPL-TATL-FARES,Bundle to Bundle Component Relationship,1,,,1,
;DL-FARE-PS;DL-TMPL-TATL;DL-TMPL-TATL-FARES;Bundle to Bundle Component Relationship,DL-FARE-PS,,BundleComponent,,false,false,false,true,,,DL-TMPL-TATL,Bundle,,DL-TMPL-TATL-FARES,Bundle to Bundle Component Relationship,1,,,2,
;DL-FARE-COMF;DL-TMPL-TATL;DL-TMPL-TATL-FARES;Bundle to Bundle Component Relationship,DL-FARE-COMF,,BundleComponent,,false,false,false,true,,,DL-TMPL-TATL,Bundle,,DL-TMPL-TATL-FARES,Bundle to Bundle Component Relationship,1,,,3,
;DL-FARE-MAIN;DL-TMPL-TATL;DL-TMPL-TATL-FARES;Bundle to Bundle Component Relationship,DL-FARE-MAIN,,BundleComponent,,false,false,false,true,,,DL-TMPL-TATL,Bundle,,DL-TMPL-TATL-FARES,Bundle to Bundle Component Relationship,1,,,4,
;DL-FARE-MAIN;DL-TMPL-USDOM;DL-TMPL-USDOM-FARES;Bundle to Bundle Component Relationship,DL-FARE-MAIN,,BundleComponent,,false,false,false,true,,,DL-TMPL-USDOM,Bundle,,DL-TMPL-USDOM-FARES,Bundle to Bundle Component Relationship,1,,,1,
;DL-FARE-COMF;DL-TMPL-USDOM;DL-TMPL-USDOM-FARES;Bundle to Bundle Component Relationship,DL-FARE-COMF,,BundleComponent,,false,false,false,true,,,DL-TMPL-USDOM,Bundle,,DL-TMPL-USDOM-FARES,Bundle to Bundle Component Relationship,1,,,2,
