$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType
DL-TERM;Term Annual;TermDefined,true,DL-TERM,Term Annual;TermDefined
DL-FARE-ONE;Term Annual;TermDefined,true,DL-FARE-ONE,Term Annual;TermDefined
DL-FARE-PS;Term Annual;TermDefined,true,DL-FARE-PS,Term Annual;TermDefined
DL-FARE-COMF;Term Annual;TermDefined,true,DL-FARE-COMF,Term Annual;TermDefined
DL-FARE-MAIN;Term Annual;TermDefined,true,DL-FARE-MAIN,Term Annual;TermDefined
DL-FARE-BASIC;Term Annual;TermDefined,true,DL-FARE-BASIC,Term Annual;TermDefined
DL-TMPL-ATLHUB;Term Annual;TermDefined,true,DL-TMPL-ATLHUB,Term Annual;TermDefined
DL-TMPL-EMEAI;Term Annual;TermDefined,true,DL-TMPL-EMEAI,Term Annual;TermDefined
DL-TMPL-JFKLHR;Term Annual;TermDefined,true,DL-TMPL-JFKLHR,Term Annual;TermDefined
DL-TMPL-TATL;Term Annual;TermDefined,true,DL-TMPL-TATL,Term Annual;TermDefined
DL-TMPL-USDOM;Term Annual;TermDefined,true,DL-TMPL-USDOM,Term Annual;TermDefined
