$$Name$SourceProduct.StockKeepingUnit$DestinationProduct.StockKeepingUnit$CurrencyIsoCode,CurrencyIsoCode,DestinationProduct.$$Name$StockKeepingUnit,Name,Priority,SourceProduct.$$Name$StockKeepingUnit
1:Many Decomposition - QB API Management Solution - Runtime;QB-API-MGMT;QB-AEH-ENV;USD,USD,AEH Environment Runtime;QB-AEH-ENV,1:Many Decomposition - QB API Management Solution - Runtime,,QB API Management Solution;QB-API-MGMT
1:1 Decomposition - Additional API Gov;QB-API-GOVT;QB-DRO-API-GOVT;USD,USD,QB Platform - Additional API Gov;QB-DRO-API-GOVT,1:1 Decomposition - Additional API Gov,,Additional API Gov;QB-API-GOVT
1:1 Decomposition - Additional API Flex (100M);QB-API-FLEX;QB-DRO-API-FLEX;USD,USD,QB Platform - Additional API Flex (100M);QB-DRO-API-FLEX,1:1 Decomposition - Additional API Flex (100M),,Additional API Flex (100M);QB-API-FLEX
1:Many Decomposition - QB API Management Solution - Object Store;QB-API-MGMT;QB-AEH-OBJ;USD,USD,AEH Object Store - Restricted Use;QB-AEH-OBJ,1:Many Decomposition - QB API Management Solution - Object Store,,QB API Management Solution;QB-API-MGMT
1:1 Decomposition - Additional Flows - QB Starter;QB-FLO-STRT;QB-DRO-FLO-STRT;USD,USD,QB Platform - Additional Flows - QB Starter;QB-DRO-FLO-STRT,1:1 Decomposition - Additional Flows - QB Starter,,Additional Flows - QB Starter;QB-FLO-STRT
1:1 Decomposition - Additional Messages - QB Starter;QB-MSG-STRT;QB-DRO-MSG-STRT;USD,USD,QB Platform - Additional Messages - QB Starter;QB-DRO-MSG-STRT,1:1 Decomposition - Additional Messages - QB Starter,,Additional Messages - QB Starter;QB-MSG-STRT
1:1 Decomposition - Additional Data Throughput;QB-DAT-THPT;QB-DRO-DAT-THPT;USD,USD,QB Platform - Additional Data Throughput;QB-DRO-DAT-THPT,1:1 Decomposition - Additional Data Throughput,,Additional Data Throughput;QB-DAT-THPT
1:1 Decomposition - Additional API;QB-API;QB-DRO-API;USD,USD,QB Platform - Additional API;QB-DRO-API,1:1 Decomposition - Additional API,,Additional API;QB-API
1:1 Decomposition - Finance Service;QB-AEH-BILL;QB-DRO-BILL;USD,USD,QB Platform - Finance Service;QB-DRO-BILL,1:1 Decomposition - Finance Service,,Finance Service;QB-AEH-BILL
1:1 Decomposition - Order Processing;QB-AEH-OR;QB-DRO-OR;USD,USD,QB Platform - Order Processing;QB-DRO-OR,1:1 Decomposition - Order Processing,,Order Processing;QB-AEH-OR
