App_API_Name__c,Filter_Name__c,Identity__c,Link__c,Name,Object__c,Page_Name__c,Relationship_API_Name__c,Relative_Url__c,Setup_Page__c,Site_Name__c,Text_Value__c,Where_Condition__c,RecordType.$$DeveloperName$SobjectType,Page__r.Name,Section__r.Name
/lightning/app/standard__PriceManagement/page/home,,PCM_APP_DYN_LINK,,PCM App,,,,,,,,,AppPage;DynamicLink__c,,
c__Learning_Home,,ACC_INFINITECH_DYN_LINK,,Account Name Infinitech,Account,,,,,,here,Name = 'Infinitech',RecordPage;DynamicLink__c,,
,,,https://help.salesforce.com/s/articleView?id=release-notes.rn_revenue.htm&release=262&type=5,Relese Notes Summary,,,,,,,,,WebPage;DynamicLink__c,,
,,,https://help.salesforce.com/s/articleView?id=release-notes.rn_revenue.htm&release=262&type=5,Winter '25 Release Notes,,,,,,,,,WebPage;DynamicLink__c,,
,,PCM_Learn_DYN_LINK,,Product Catalog Management Get Started Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Product Catalog Management Left Bottom Section
,,PCM_Validate_DYN_LINK,,PCM_Validate,,,,,,,,,InAppPopup;DynamicLink__c,,PCM_Check Popup Section
,,PCM_LAUNCH_DYN_LINK,,PCM_LAUNCH_LINK,,,,,,,,,InAppPopup;DynamicLink__c,,PCM_Launch Popup Section
,,PCM_EXPLORE_DYN_LINK,,PCM_Explore,,,,,,,,,InAppPopup;DynamicLink__c,,PCM_Explore Popup Section
,,ProductConfig_Launch_DYN_LINK,,ProductConfig_Launch,,,,,,,,,InAppPopup;DynamicLink__c,,ProductConfig_Launch Popup Section
,,ProductConfig_Learn_DYN_LINK,,ProductConfig_Learn,,,,,,,,,InAppPopup;DynamicLink__c,,ProductConfig_Learn Popup Section
,,ProdConfig_Validate_DYN_LINK,,ProdConfig_ValidateSetup Popup,,,,,,,,,InAppPopup;DynamicLink__c,,ProductConfig_Validate
,,ProductConfig_Customize_DYN_LINK,,ProductConfig_Customise_Popup,,,,,,,,,InAppPopup;DynamicLink__c,,ProductConfigurator Customise Popup Section
,,PriceManagement_Getstarted_DYN_LINK,,Price Management Get Started Popup,,,,,,,Get Started,,InAppPopup;DynamicLink__c,,Price Management Get Started Popup Section
,,PriceManagament_Validate_DYN_LINK,,Price Management Validate Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Price Management Validate Setup Popup Section
,,PriceManagement_Customize_DYN_LINK,,Price Management Customize Capabilities Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Price Management Customize Capabilities Popup Section
,,,,Popup for Instructions for User,,,,,,,,,InAppPopup;DynamicLink__c,,PCM_Learn Popup Section
,,PCM_LEAN_DYN_LINK,,Product Catalog Management Learn Popup,,,,,,,,,InAppPopup;DynamicLink__c,,PCM_Learn Popup Section
,,PriceManagement_Launch_DYN_LINK,,Price Management Launch App Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Price Management Launch Popup Section
,,TransactionManagement_Getstarted_DYN_LINK,,Transaction Management Get Started Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Transaction Management Get Started Popup Text Section
,,TransactionManagement_ValidatesSetup_DYN_LINK,,Transaction Management Validate Setup Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Transaction Management Validate Setup Popup
,,TransactionManagement_LaunchApp_DYN_LINK,,Transaction Management Launch App Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Transaction Management Launch App Popup Text Section
,,TransactionManagement_CustomizeCapabilities_DYN_LINK,,Transaction Management Customize Capabilities Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Transaction Management Customize Capabilities Popup Section
,,DRO_Getstarted_DYN_LINK,,DRO Get Started Popup,,,,,,,,,InAppPopup;DynamicLink__c,,DRO Get Started Section
,,DRO_Validate_DYN_LINK,,DRO Validate Popup,,,,,,,,,InAppPopup;DynamicLink__c,,DRO Validate Setup Popup Section
,,DRO_LaunchApp_DYN_LINK,,DRO Launch App,,,,,,,,,InAppPopup;DynamicLink__c,,DRO Launch App Popup Section
,,,,DRO Customize Capabilties,,,,,,,,,InAppPopup;DynamicLink__c,,DRO Customize Capabilities Popup Section
,,Billing_Getstarted_DYN_LINK,,Billing Get Started Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Billing Get Started Popup Section
,,Billing_Validate_DYN_LINK,,Billing Validate Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Biling Validate Popup Section
,,Billing_LaunchApp_DYN_LINK,,Billing Launch App Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Billing Launch App Popup Section
,,Billing_Customize_DYN_LINK,,Billing Customize Capabilities,,,,,,,,,InAppPopup;DynamicLink__c,,Billing Customize Capabilities Popup Section
,,RateManagement_GetStarted_DYN_LINK,,Rate Management Get Started Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Rate Management Get Started Popup Section
,,RateManagement_ValidateSetup_DYN_LINK,,Rate Management Validate Setup Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Rate Management Validate Setup Popup Section
,,RateManagement_LaunchApp_DYN_LINK,,Rate Management Launch App Popup,,,,,,,,,InAppPopup;DynamicLink__c,,Rate Management Launch App Popup Section
