$$DeveloperName$SobjectType,DeveloperName,SobjectType
Detail;Section__c,Detail,Section__c
Left_Bottom;Section__c,Left_Bottom,Section__c
Left_Top;Section__c,Left_Top,Section__c
Right;Section__c,Right,Section__c
Top;Section__c,Top,Section__c
APINamePage;DynamicLink__c,APINamePage,DynamicLink__c
AppPage;DynamicLink__c,AppPage,DynamicLink__c
CommunityPage;DynamicLink__c,CommunityPage,DynamicLink__c
DPERecordPage;DynamicLink__c,DPERecordPage,DynamicLink__c
FlowRecordPage;DynamicLink__c,FlowRecordPage,DynamicLink__c
InAppDetailsPage;DynamicLink__c,InAppDetailsPage,DynamicLink__c
InAppPopup;DynamicLink__c,InAppPopup,DynamicLink__c
NamedPage;DynamicLink__c,NamedPage,DynamicLink__c
ObjectPage;DynamicLink__c,ObjectPage,DynamicLink__c
RecordPage;DynamicLink__c,RecordPage,DynamicLink__c
RecordRelationshipPage;DynamicLink__c,RecordRelationshipPage,DynamicLink__c
SetupPage;DynamicLink__c,SetupPage,DynamicLink__c
SurveyRecordPage;DynamicLink__c,SurveyRecordPage,DynamicLink__c
WebPage;DynamicLink__c,WebPage,DynamicLink__c
