Active__c,Header__c,Name,Sub_Header__c,Video_Link__c,RecordType.$$DeveloperName$SobjectType,Icon__r.Name,Page__r.Name
true,Validate Setup,PCM_Check Popup Section,,,Detail;Section__c,,
true,Product Catalog Management,PCM_Launch Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,PCM_Explore Popup Section,,,Detail;Section__c,,
true,Product Configurator,ProductConfig_Launch Popup Section,,,Detail;Section__c,,
true,Get Started,ProductConfig_Learn Popup Section,,,Detail;Section__c,,
true,Validate Setup,ProductConfig_Validate,,,Detail;Section__c,,
true,Customize Capabilities,ProductConfigurator Customise Popup Section,,,Detail;Section__c,,
true,Get Started,Price Management Get Started Popup Section,,,Detail;Section__c,,
true,Validate Setup,Price Management Validate Setup Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,Price Management Customize Capabilities Popup Section,,,Detail;Section__c,,
true,Get Started,PCM_Learn Popup Section,,,Detail;Section__c,,
true,Salesforce Pricing,Price Management Launch Popup Section,,,Detail;Section__c,,
true,Get Started,Transaction Management Get Started Popup Text Section,,,Detail;Section__c,,
true,Validate Setup,Transaction Management Validate Setup Popup,,,Detail;Section__c,,
true,Transaction Management,Transaction Management Launch App Popup Text Section,,,Detail;Section__c,,
true,Customize Capabilities,Transaction Management Customize Capabilities Popup Section,,,Detail;Section__c,,
true,Get Started,DRO Get Started Section,,,Detail;Section__c,,
true,Validate Setup,DRO Validate Setup Popup Section,,,Detail;Section__c,,
true,Dynamic Revenue Orchestrator,DRO Launch App Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,DRO Customize Capabilities Popup Section,,,Detail;Section__c,,
true,Get Started,Billing Get Started Popup Section,,,Detail;Section__c,,
true,Validate Setup,Biling Validate Popup Section,,,Detail;Section__c,,
true,Billing Management,Billing Launch App Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,Billing Customize Capabilities Popup Section,,,Detail;Section__c,,
true,Get Started,Rate Management Get Started Popup Section,,,Detail;Section__c,,
true,Validate Setup,Rate Management Validate Setup Popup Section,,,Detail;Section__c,,
true,Rate Management,Rate Management Launch App Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,Rate Management Customize Capabilities Popup Section,,,Detail;Section__c,,
true,Get Started,Salesforce Contracts Get Started Popup Section,,,Detail;Section__c,,
true,Validate Setup,Salesforce Contracts Validate Setup Popup Section,,,Detail;Section__c,,
true,Contract Lifecycle Management,Salesforce Contracts Launch App Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,Salesforce Contracts Customize Capabilities Popup Section,,,Detail;Section__c,,
true,Get Started,Usage Management Get Started Popup Section,,,Detail;Section__c,,
true,Validate Setup,Usage Management Validate Setup Section,,,Detail;Section__c,,
true,Usage Management,Usage Management Launch App,,,Detail;Section__c,,
true,Customize Capabilities,Usage Management Customize Capabilities Popup Section,,,Detail;Section__c,,
true,,Price Management Launch App Popup Section,,,Detail;Section__c,,
true,Validate Setup,ProductConfig_Check Popup Section,,,Detail;Section__c,,
true,Customize Capabilities,ProductConfig_Explore Popup Section,,,Detail;Section__c,,
true,,Home Learning Hub,,,Right;Section__c,,Home
true,,Salesforce Contracts Right Section,,,Right;Section__c,,Salesforce Contracts
true,,Product Catalog Management Learning Hub,,,Right;Section__c,,Product Catalog Management
true,,Product Configurator Learning Hub Section,,,Right;Section__c,,Product Configurator
true,,Usage Management Right Section,,,Right;Section__c,,Usage Management
true,,Price Management Right Section,,,Right;Section__c,,Salesforce Pricing
true,,Transaction Management Right Section,,,Right;Section__c,,Transaction Management
true,,DRO Right Section,,,Right;Section__c,,Dynamic Revenue Orchestrator
true,,Billing Right Section,,,Right;Section__c,,Billing Management
true,,Rate Management Right Section,,,Right;Section__c,,Rate Management
