$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;KLD-STAGING;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-STAGING;Bundle to Bundle Component Relationship,KLD-STAGING,,BundleComponent,,false,true,false,true,,1,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-STAGING,Bundle to Bundle Component Relationship,1,,Always,10,
;KLD-NEB-ECA-HOST;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-ECA;Bundle to Bundle Component Relationship,KLD-NEB-ECA-HOST,,BundleComponent,,false,true,false,true,,1,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-ECA,Bundle to Bundle Component Relationship,1,,Always,20,
;KLD-NEB-REVIEW;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-REVIEW;Bundle to Bundle Component Relationship,KLD-NEB-REVIEW,,BundleComponent,,false,true,false,true,,1,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-REVIEW,Bundle to Bundle Component Relationship,1,,Always,30,
;KLD-PS-PM;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-PS;Bundle to Bundle Component Relationship,KLD-PS-PM,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-PS,Bundle to Bundle Component Relationship,1,,Always,40,
;KLD-PS-TECH;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-PS;Bundle to Bundle Component Relationship,KLD-PS-TECH,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-PS,Bundle to Bundle Component Relationship,1,,Always,50,
;KLD-AI-ECI-CORE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-CORE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,60,
;KLD-AI-ECI-ELEMENTS;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-ELEMENTS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,70,
;KLD-AI-CASEBOT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-CASEBOT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,80,
;KLD-AI-RELEVANCE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-RELEVANCE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,90,
;KLD-AI-PRIVILEGE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PRIVILEGE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,100,
;KLD-AI-PII-DETECT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-DETECT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,110,
;KLD-AI-PII-EXTRACT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-EXTRACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,120,
;KLD-AI-PII-REDACT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-REDACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,130,
;KLD-STAGING;KLD-PATH-NEB-R1;KLD-CG-NEBR1-STAGING;Bundle to Bundle Component Relationship,KLD-STAGING,,BundleComponent,,false,true,false,true,,1,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-STAGING,Bundle to Bundle Component Relationship,1,,Always,10,
;KLD-NEB-ECA-HOST;KLD-PATH-NEB-R1;KLD-CG-NEBR1-ECA;Bundle to Bundle Component Relationship,KLD-NEB-ECA-HOST,,BundleComponent,,false,true,false,true,,1,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-ECA,Bundle to Bundle Component Relationship,1,,Always,20,
;KLD-R1-REVIEW;KLD-PATH-NEB-R1;KLD-CG-NEBR1-REVIEW;Bundle to Bundle Component Relationship,KLD-R1-REVIEW,,BundleComponent,,false,true,false,true,,1,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-REVIEW,Bundle to Bundle Component Relationship,1,,Always,30,
;KLD-PS-PM;KLD-PATH-NEB-R1;KLD-CG-NEBR1-PS;Bundle to Bundle Component Relationship,KLD-PS-PM,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-PS,Bundle to Bundle Component Relationship,1,,Always,40,
;KLD-PS-TECH;KLD-PATH-NEB-R1;KLD-CG-NEBR1-PS;Bundle to Bundle Component Relationship,KLD-PS-TECH,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-PS,Bundle to Bundle Component Relationship,1,,Always,50,
;KLD-AI-ECI-CORE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-CORE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,60,
;KLD-AI-ECI-ELEMENTS;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-ELEMENTS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,70,
;KLD-AI-CASEBOT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-CASEBOT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,80,
;KLD-AI-RELEVANCE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-RELEVANCE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,90,
;KLD-AI-PRIVILEGE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PRIVILEGE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,100,
;KLD-AI-PII-DETECT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-DETECT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,110,
;KLD-AI-PII-EXTRACT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-EXTRACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,120,
;KLD-AI-PII-REDACT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-REDACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,130,
;KLD-STAGING;KLD-PATH-R1-R1;KLD-CG-R1R1-STAGING;Bundle to Bundle Component Relationship,KLD-STAGING,,BundleComponent,,false,true,false,true,,1,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-STAGING,Bundle to Bundle Component Relationship,1,,Always,10,
;KLD-R1-ECA-HOST;KLD-PATH-R1-R1;KLD-CG-R1R1-ECA;Bundle to Bundle Component Relationship,KLD-R1-ECA-HOST,,BundleComponent,,false,true,false,true,,1,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-ECA,Bundle to Bundle Component Relationship,1,,Always,20,
;KLD-R1-REVIEW;KLD-PATH-R1-R1;KLD-CG-R1R1-REVIEW;Bundle to Bundle Component Relationship,KLD-R1-REVIEW,,BundleComponent,,false,true,false,true,,1,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-REVIEW,Bundle to Bundle Component Relationship,1,,Always,30,
;KLD-PS-PM;KLD-PATH-R1-R1;KLD-CG-R1R1-PS;Bundle to Bundle Component Relationship,KLD-PS-PM,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-PS,Bundle to Bundle Component Relationship,1,,Always,40,
;KLD-PS-TECH;KLD-PATH-R1-R1;KLD-CG-R1R1-PS;Bundle to Bundle Component Relationship,KLD-PS-TECH,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-PS,Bundle to Bundle Component Relationship,1,,Always,50,
;KLD-AI-ECI-CORE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-CORE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,60,
;KLD-AI-ECI-ELEMENTS;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-ELEMENTS,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,70,
;KLD-AI-CASEBOT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-CASEBOT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,80,
;KLD-AI-RELEVANCE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-RELEVANCE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,90,
;KLD-AI-PRIVILEGE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PRIVILEGE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,100,
;KLD-AI-PII-DETECT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-DETECT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,110,
;KLD-AI-PII-EXTRACT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-EXTRACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,120,
;KLD-AI-PII-REDACT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-REDACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,130,
