$$AttributeCategory.Name$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
Application;Duty Rating,Application,Duty Rating
Application;FB_Full Load Required (kW),Application,FB_Full Load Required (kW)
Application;FB_max dB level,Application,FB_max dB level
Application;FB_Voltage,Application,FB_Voltage
Application;Reserve Capacity (kW),Application,Reserve Capacity (kW)
Application;Surge Load (kW),Application,Surge Load (kW)
Environment;Application/Emission Certification,Environment,Application/Emission Certification
Environment;Seismic Certification,Environment,Seismic Certification
Environment;Special Application,Environment,Special Application
Environment;Standards and Compliance,Environment,Standards and Compliance
