$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,CurrencyIsoCode,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
Control PC;Control Language,,Control Language,Control Language,USD,English,,,,false,false,false,false,,,,,Control Language,Control PC,,Active,,,
Control PC;Control Placement,,Control Placement,Control Placement,USD,Right,,,,false,false,true,false,,,,,Control Placement,Control PC,,Active,,,
Generator Set PC;Application/Emission Certification;Environment,Environment,Application/Emission Certification,Application/Emission Certification,USD,,,,,false,false,false,false,,,,,Application/Emission Certification,Generator Set PC,,Active,,,
Generator Set PC;Duty Rating;Application,Application,Duty Rating,Duty Rating,USD,,,,,false,false,false,false,,,,,Duty Rating,Generator Set PC,,Active,,,
Generator Set PC;FB_Full Load Required (kW);Application,Application,FB_Full Load Required (kW),Full Load Required (kW),USD,500,,,,false,false,false,false,,,,,Full Load Required (kW),Generator Set PC,,Active,,,
Generator Set PC;FB_max dB level;Application,Application,FB_max dB level,max dB level,USD,,,,,false,false,false,false,,,,,max dB level,Generator Set PC,,Active,,,
Generator Set PC;FB_Voltage;Application,Application,FB_Voltage,Voltage,USD,,,,,false,false,false,false,,,,,Voltage,Generator Set PC,,Active,,,
Generator Set PC;Reserve Capacity (kW);Application,Application,Reserve Capacity (kW),Reserve Capacity (kW),USD,125,,,,false,false,true,false,,,,,Reserve Capacity (kW),Generator Set PC,,Active,,,
Generator Set PC;Seismic Certification;Environment,Environment,Seismic Certification,Seismic Certification,USD,,,,,false,false,false,false,,,,,Seismic Certification,Generator Set PC,,Active,,,
Generator Set PC;Special Application;Environment,Environment,Special Application,Special Application,USD,None - Standard,,,,false,false,false,false,,,,,Special Application,Generator Set PC,,Active,,,
Generator Set PC;Standards and Compliance;Environment,Environment,Standards and Compliance,Standards and Compliance,USD,,,,,false,false,false,false,,,,,Standards and Compliance,Generator Set PC,,Active,,,
Generator Set PC;Surge Load (kW);Application,Application,Surge Load (kW),Surge Load (kW),USD,625,,,,false,false,true,false,,,,,Surge Load (kW),Generator Set PC,,Active,,,
Model PC;powerkW,,powerkW,powerkW,USD,,,,,false,false,false,false,,,,,powerkW,Model PC,,Active,,,
Voltage PC;FB_Voltage;Application,Application,FB_Voltage,Voltage,USD,,,,,false,false,false,false,,,,,Voltage,Voltage PC,,Active,,,
