$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
0155-2341-10-FRD;One-Time;USD,USD,true,false,0155-2341-10,Standard Price Book;true,0155-2341-10-FRD,One-Time;OneTime,2350
0155-2342-10-FRD;One-Time;USD,USD,true,false,0155-2342-10,Standard Price Book;true,0155-2342-10-FRD,One-Time;OneTime,1260
0155-2696-07-FRD;One-Time;USD,USD,true,false,0155-2696-07,Standard Price Book;true,0155-2696-07-FRD,One-Time;OneTime,2130
0300-5929-01-FRD;One-Time;USD,USD,true,false,0300-5929-01,Standard Price Book;true,0300-5929-01-FRD,One-Time;OneTime,410
0300-5929-02-FRD;One-Time;USD,USD,true,false,0300-5929-02,Standard Price Book;true,0300-5929-02-FRD,One-Time;OneTime,750
0402-0750-01-FRD;One-Time;USD,USD,true,false,0402-0750-01,Standard Price Book;true,0402-0750-01-FRD,One-Time;OneTime,500
0416-0439-FRD;One-Time;USD,USD,true,false,0416-0439,Standard Price Book;true,0416-0439-FRD,One-Time;OneTime,360
0416-0527-FRD;One-Time;USD,USD,true,false,0416-0527,Standard Price Book;true,0416-0527-FRD,One-Time;OneTime,300
0541-1204-FRD;One-Time;USD,USD,true,false,0541-1204,Standard Price Book;true,0541-1204-FRD,One-Time;OneTime,2160
10-DL;Term Annual;USD,USD,true,false,10% Discount on Labor,Standard Price Book;true,10-DL,Term Annual;TermDefined,0
20-DP;Term Annual;USD,USD,true,false,20% Discount on Parts,Standard Price Book;true,20-DP,Term Annual;TermDefined,0
414LP-KAA-CAB2;One-Time;USD,USD,true,false,Sound Reduction Option,Standard Price Book;true,414LP-KAA-CAB2,One-Time;OneTime,800
414LP-KAA-CAB3;One-Time;USD,USD,true,false,Suspension Seat,Standard Price Book;true,414LP-KAA-CAB3,One-Time;OneTime,380
414LP-KAA-E-SSL;One-Time;USD,USD,true,false,414LP KAA Skid Steer Loader,Standard Price Book;true,414LP-KAA-E-SSL,One-Time;OneTime,43800
