$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
16GB RDIMM;Standard Price Book;QB-MEM 16GB;One-Time;USD,USD,true,false,16GB RDIMM,Standard Price Book;true,QB-MEM 16GB,One-Time;OneTime,599
1TB 7.2k RPM NLSAS;Standard Price Book;QB-HD 1TB;One-Time;USD,USD,true,false,1TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 1TB,One-Time;OneTime,499
32GB RDIMM;Standard Price Book;QB-MEM 32GB;One-Time;USD,USD,true,false,32GB RDIMM,Standard Price Book;true,QB-MEM 32GB,One-Time;OneTime,889
4TB 7.2k RPM NLSAS;Standard Price Book;QB-HD 4TB;One-Time;USD,USD,true,false,4TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 4TB,One-Time;OneTime,799
8GB RDIMM;Standard Price Book;QB-MEM 8GB;One-Time;USD,USD,true,false,8GB RDIMM,Standard Price Book;true,QB-MEM 8GB,One-Time;OneTime,399
8TB 7.2k RPM NLSAS;Standard Price Book;QB-HD 8TB;One-Time;USD,USD,true,false,8TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 8TB,One-Time;OneTime,999
8TB 7.2k RPM Self-Encrypting NLSAS;Standard Price Book;QB-HD 8TBSE;One-Time;USD,USD,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book;true,QB-HD 8TBSE,One-Time;OneTime,1199
Additional API;Standard Price Book;QB-API;Evergreen Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2000
Additional API;Standard Price Book;QB-API;Term Annual;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,15000
Additional API;Standard Price Book;QB-API;Term Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1500
Additional API Flex (100M);Standard Price Book;QB-API-FLEX;Term Annual;USD,USD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,450
