"DeveloperName","MasterLabel"
"RLM_DefaultPricingProcedure","RLM Revenue Management Default Pricing Procedure"
"Negotiable_Rating_Procedure","Negotiable Rating Procedure"
"RLM_DefaultPricingDiscoveryProcedure","RLM Default Pricing Discovery Procedure"
"RLM_DefaultRatingDiscoveryProcedure","RLM Default Rating Discovery Procedure"
"RLM_DefaultRatingProcedure","RLM Default Rating Procedure"
"RLM_ProductDiscoveryPricingProcedure","RLM Product Discovery Pricing Procedure"
"RLM_ProductDiscoveryQualificationProcedure","RLM Product Discovery Qualification Procedure"
"RLM_Price_Distribution_Procedure","RC Price Distribution Procedure"
"RLM_Revenue_Management_Recalc_Procedure","RC Revenue Management Recalc Procedure"
"QuantumBitComplete","QuantumBitComplete"
"Server2","Server2"
"Salesforce_Default_Pricing_Discovery_Procedure","Salesforce Default Pricing Discovery Procedure"
"RLM_Revenue_Management_Procedure_Plan_Base","RLM Revenue Management Procedure Plan Base"
"RLM_Procedure_Plan_Manual_Discount_Procedure","RLM Procedure Plan Manual Discount Procedure"
"RLM_Procedure_Plan_Promotions_Procedure","RLM Procedure Plan Promotions Procedure"
