$$Name$LegalEntity.Name,CreditGeneralLedgerAccount.$$Name$LegalEntity.Name,CurrencyIsoCode,DebitGeneralLedgerAccount.$$Name$LegalEntity.Name,FilterCriteria,FilterLogic,LegalEntity.Name,Name,Priority,Status,TransactionType
CORPUSA - Invoice Line Charges (Services);Default Legal Entity - US,01-200-2500 CORPUSA - Deferred Revenue (Services);Default Legal Entity - US,USD,01-100-1100 CORPUSA - Accounts Receivables(Services);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - Invoice Line Charges (Services),1,Active,InvoiceLine
CORPUSA - Invoice Line Charges (Software);Default Legal Entity - US,01-200-2501 CORPUSA - Deferred Revenue (Software);Default Legal Entity - US,USD,01-100-1101 CORPUSA - Accounts Receivables(Software);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - Invoice Line Charges (Software),2,Active,InvoiceLine
CORPUSA - Invoice Line Charges (Others);Default Legal Entity - US,01-200-2510 CORPUSA - Deferred Revenue (Others);Default Legal Entity - US,USD,01-100-1110 CORPUSA - Accounts Receivables (Others);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - Invoice Line Charges (Others),3,Active,InvoiceLine
CORPUSA - Invoice Line Taxes (Services);Default Legal Entity - US,01-200-3500 CORP USA - Tax Liabilities;Default Legal Entity - US,USD,01-100-1100 CORPUSA - Accounts Receivables(Services);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - Invoice Line Taxes (Services),1,Active,InvoiceLineTax
CORPUSA - Invoice Line Taxes (Software);Default Legal Entity - US,01-200-3500 CORP USA - Tax Liabilities;Default Legal Entity - US,USD,01-100-1101 CORPUSA - Accounts Receivables(Software);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - Invoice Line Taxes (Software),2,Active,InvoiceLineTax
CORPUSA - Invoice Line Taxes (Others);Default Legal Entity - US,01-200-3500 CORP USA - Tax Liabilities;Default Legal Entity - US,USD,01-100-1110 CORPUSA - Accounts Receivables (Others);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - Invoice Line Taxes (Others),3,Active,InvoiceLineTax
CORPUSA - CML Charges (Services);Default Legal Entity - US,01-100-1100 CORPUSA - Accounts Receivables(Services);Default Legal Entity - US,USD,01-200-2500 CORPUSA - Deferred Revenue (Services);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - CML Charges (Services),1,Active,CreditMemoLine
CORPUSA - CML Charges (Software);Default Legal Entity - US,01-100-1101 CORPUSA - Accounts Receivables(Software);Default Legal Entity - US,USD,01-200-2501 CORPUSA - Deferred Revenue (Software);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - CML Charges (Software),2,Active,CreditMemoLine
CORPUSA - CML Charges (Others);Default Legal Entity - US,01-100-1110 CORPUSA - Accounts Receivables (Others);Default Legal Entity - US,USD,01-200-2510 CORPUSA - Deferred Revenue (Others);Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - CML Charges (Others),3,Active,CreditMemoLine
CORPUSA - CML Taxes (Services);Default Legal Entity - US,01-100-1100 CORPUSA - Accounts Receivables(Services);Default Legal Entity - US,USD,01-200-3500 CORP USA - Tax Liabilities;Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - CML Taxes (Services),1,Active,CreditMemoLineTax
CORPUSA - CML Taxes (Software);Default Legal Entity - US,01-100-1101 CORPUSA - Accounts Receivables(Software);Default Legal Entity - US,USD,01-200-3500 CORP USA - Tax Liabilities;Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - CML Taxes (Software),2,Active,CreditMemoLineTax
CORPUSA - CML Taxes (Others);Default Legal Entity - US,01-100-1110 CORPUSA - Accounts Receivables (Others);Default Legal Entity - US,USD,01-200-3500 CORP USA - Tax Liabilities;Default Legal Entity - US,All,,Default Legal Entity - US,CORPUSA - CML Taxes (Others),3,Active,CreditMemoLineTax
