$$ProductCategory.Name$Product.StockKeepingUnit$Catalog.Name,Catalog.Name,CurrencyIsoCode,Product.Name,ProductCategory.$$Name$Catalog.Name$ParentCategory.Name
Protection Software;AV001;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Antivirus,Protection Software;SmartBytes Software Catalog
Desktops;DS001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Desktop,Desktops;SmartBytes Hardware Catalog
Accessories;KB001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Keyboard,Accessories;SmartBytes Hardware Catalog
Cloud Services;CS001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Cloud Storage,Cloud Services;SmartBytes Services Catalog
Laptops;LP001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Laptop,Laptops;SmartBytes Hardware Catalog
Laptops;LB001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Laptop Basic Bundle,Laptops;SmartBytes Hardware Catalog
Support;LCP001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Laptop Care Package,Support;SmartBytes Services Catalog
Laptops;LPB001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Laptop Pro Bundle,Laptops;SmartBytes Hardware Catalog
Accessories;MO001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Monitor,Accessories;SmartBytes Hardware Catalog
Accessories;MOU001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Mouse,Accessories;SmartBytes Hardware Catalog
Accessories;PRN001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Printer,Accessories;SmartBytes Hardware Catalog
Accessories;PB001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Printer Bundle,Accessories;SmartBytes Hardware Catalog
Accessories;PP001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Printer Paper,Accessories;SmartBytes Hardware Catalog
Support;SP001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Support,Support;SmartBytes Services Catalog
Training;TRG001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Basic Training,Training;SmartBytes Services Catalog
Warranty;W001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Warranty,Warranty;SmartBytes Services Catalog
Accessories;USB01;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,USB C multiport adapter hub with 4K HDMI,Accessories;SmartBytes Hardware Catalog
Accessories;HDS001;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,Headset,Accessories;SmartBytes Hardware Catalog
Training;TPP01;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Training Platform Package,Training;SmartBytes Services Catalog
Training;LLMTRG001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Machine Learning Model Training,Training;SmartBytes Services Catalog
Training;UA001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Udemy Access,Training;SmartBytes Services Catalog
Training;SDP001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Skill Development Package,Training;SmartBytes Services Catalog
Training;ASTCERT001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,AI Specialist Certification,Training;SmartBytes Services Catalog
Training;ATRG001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Advanced Training,Training;SmartBytes Services Catalog
Training;APTRG001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,AI Specialist Training,Training;SmartBytes Services Catalog
Training;ACERT001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Admin Certification,Training;SmartBytes Services Catalog
Training;DCERT001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Developer Certification,Training;SmartBytes Services Catalog
Training;CERT007;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Specialized Certifications,Training;SmartBytes Services Catalog
Training;LLMCERT001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,LLM Certification,Training;SmartBytes Services Catalog
Cloud Services;QP001;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Quip,Cloud Services;SmartBytes Services Catalog
Productivity Software;GW001;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Google Workspace,Productivity Software;SmartBytes Software Catalog
Productivity Software;GPTW001;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,GPT for workspace,Productivity Software;SmartBytes Software Catalog
Productivity Software;LCD001;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Lucidchart,Productivity Software;SmartBytes Software Catalog
Support;MAIN0098;SmartBytes Services Catalog,SmartBytes Services Catalog,USD,Hardware Maintenance,Support;SmartBytes Services Catalog
Productivity Software;SLKDPP007;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Slack Support,Productivity Software;SmartBytes Software Catalog
Productivity Software;SLKDPP008;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Slack Training,Productivity Software;SmartBytes Software Catalog
Productivity Software;SLKSRC001;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Slack,Productivity Software;SmartBytes Software Catalog
Productivity Software;SLKDPP009;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Slack Sandbox,Productivity Software;SmartBytes Software Catalog
Accessories;EHD009;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,USD,External Hard Drive,Accessories;SmartBytes Hardware Catalog
Productivity Software;FIG001;SmartBytes Software Catalog,SmartBytes Software Catalog,USD,Figma Subscription,Productivity Software;SmartBytes Software Catalog
Podcast;PS001;SmartBytes Media Catalog,SmartBytes Media Catalog,USD,Podcast Subscription,Podcast;SmartBytes Media Catalog
