$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeDefinition.Name,AttributeNameOverride,CurrencyIsoCode,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Name,Sequence,Status,StepValue,ValueDescription
Cloud Storage;Storage;Storage,Storage,Storage,Storage,USD,,,,,false,false,false,true,,,,,Storage,Cloud Storage,,Active,,
Keyboard;Wireless;Connection Type,Connection Type,Wireless,Wireless,USD,true,,,,false,false,false,false,,,,,Wireless,Keyboard,,Active,,
Computer;Memory;Memory,Memory,Memory,Memory,USD,RAM 32GB,,,,false,false,false,true,,,,,Memory,Computer,,Active,,
Computer;Graphics;Graphics,Graphics,Graphics,Graphics,USD,,,,,false,false,false,false,,,,,Graphics,Computer,,Active,,
Computer;Storage;Storage,Storage,Storage,Storage,USD,,,,,false,false,false,true,,,,,Storage,Computer,,Active,,
Computer;Windows_Processor;Processor,Processor,Windows_Processor,Processor,USD,i5-CPU 4.4GHz,,,,false,false,false,true,,,,,Processor,Computer,,Active,,
Computer;Display;Display,Display,Display,Display,USD,1080p Built-in Display,,,,false,false,false,true,,,,,Display,Computer,,Active,,
Computer;Display_Size;Display,Display,Display_Size,Screen Size,USD,,,,,false,false,false,true,,,,,Screen Size,Computer,,Active,,
Monitor;Display;Display,Display,Display,Display,USD,1080p Built-in Display,,,,false,false,false,true,,,,,Display,Monitor,,Active,,
Monitor;Display_Size;Display,Display,Display_Size,Screen Size,USD,,,,,false,false,false,true,,,,,Screen Size,Monitor,,Active,,
Mouse;Wireless;Connection Type,Connection Type,Wireless,Wireless,USD,true,,,,false,false,false,false,,,,,Wireless,Mouse,,Active,,
Printer;Printer;Printer,Printer,Printer,Printer Type,USD,,,,,false,false,false,false,,,,,Printer Type,Printer,,Active,,
Paper;Paper Size;Paper,Paper,Paper Size,Paper Size,USD,,,,,false,false,false,false,,,,,Paper Size,Paper,,Active,,
Support;Support_Level;Support,Support,Support_Level,Support Level,USD,Premium Support,,,,false,false,false,false,,,,,Support Level,Support,,Active,,
Training;Training;Training,Training,Training,Training,USD,,,,,false,false,false,false,,,,,Training,Training,,Active,,
Software;Subscription Type,,Subscription Type,Subscription Type,USD,,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,Software,,Active,,
Media;Subscription Type,,Subscription Type,Subscription Type,USD,,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,Media,,Active,,
