$$Name$Catalog.Name$ParentCategory.Name,Catalog.Name,Code,Description,Name,ParentCategory.$$Name$Catalog.Name$ParentCategory.Name,SortOrder
Laptops;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,,,Laptops,,
Desktops;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,,,Desktops,,
Accessories;SmartBytes Hardware Catalog,SmartBytes Hardware Catalog,,,Accessories,,
Protection Software;SmartBytes Software Catalog,SmartBytes Software Catalog,,,Protection Software,,
Support;SmartBytes Services Catalog,SmartBytes Services Catalog,,,Support,,
Training;SmartBytes Services Catalog,SmartBytes Services Catalog,,,Training,,
Warranty;SmartBytes Services Catalog,SmartBytes Services Catalog,,,Warranty,,
Cloud Services;SmartBytes Services Catalog,SmartBytes Services Catalog,,,Cloud Services,,
Productivity Software;SmartBytes Software Catalog,SmartBytes Software Catalog,,,Productivity Software,,
Podcast;SmartBytes Media Catalog,SmartBytes Media Catalog,,,Podcast,,
