$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,CurrencyIsoCode,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.$$Name$UnitCode$UnitOfMeasureClass.Code$UnitOfMeasureClass.Name,ValueDescription
CS001;STORAGE;STO,STO,STORAGE,Storage,USD,,,,,false,false,false,true,,,,,Storage,CS001,,Active,,,
KB001;WIRELESS;CT001,CT001,WIRELESS,Wireless,USD,true,,,,false,false,false,false,,,,,Wireless,KB001,,Active,,,
CMP001;MEMORY;MEM,MEM,MEMORY,Memory,USD,RAM 32GB,,,,false,false,false,true,,,,,Memory,CMP001,,Active,,,
CMP001;GRAPHICS;GRA,GRA,GRAPHICS,Graphics,USD,,,,,false,false,false,false,,,,,Graphics,CMP001,,Active,,,
CMP001;STORAGE;STO,STO,STORAGE,Storage,USD,,,,,false,false,false,true,,,,,Storage,CMP001,,Active,,,
CMP001;WINDOWSPROCESSOR;PRO,PRO,WINDOWSPROCESSOR,Processor,USD,i5-CPU 4.4GHz,,,,false,false,false,true,,,,,Processor,CMP001,,Active,,,
CMP001;DISPLAY;DIS,DIS,DISPLAY,Display,USD,1080p Built-in Display,,,,false,false,false,true,,,,,Display,CMP001,,Active,,,
CMP001;DISPLAYSIZE;DIS,DIS,DISPLAYSIZE,Screen Size,USD,,,,,false,false,false,true,,,,,Screen Size,CMP001,,Active,,,
MN001;DISPLAY;DIS,DIS,DISPLAY,Display,USD,1080p Built-in Display,,,,false,false,false,true,,,,,Display,MN001,,Active,,,
MN001;DISPLAYSIZE;DIS,DIS,DISPLAYSIZE,Screen Size,USD,,,,,false,false,false,true,,,,,Screen Size,MN001,,Active,,,
M001;WIRELESS;CT001,CT001,WIRELESS,Wireless,USD,true,,,,false,false,false,false,,,,,Wireless,M001,,Active,,,
PR001;PRINTER;P001,P001,PRINTER,Printer Type,USD,,,,,false,false,false,false,,,,,Printer Type,PR001,,Active,,,
P001;PAPERSIZE;PP001,PP001,PAPERSIZE,Paper Size,USD,,,,,false,false,false,false,,,,,Paper Size,P001,,Active,,,
SL001;SUPPORTLEVEL;SP001,SP001,SUPPORTLEVEL,Support Level,USD,Premium Support,,,,false,false,false,false,,,,,Support Level,SL001,,Active,,,
TL001;TRAINING;T001,T001,TRAINING,Training,USD,,,,,false,false,false,false,,,,,Training,TL001,,Active,,,
SFT001;SUBTYPE001,,SUBTYPE001,Subscription Type,USD,Business,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,SFT001,,Active,,,
MED01;SUBTYPE001,,SUBTYPE001,Subscription Type,USD,,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,MED01,,Active,,,
TCM0091A4;GELQTY;TC009C67,TC009C67,GELQTY,Gel Quantity,USD,,,,,false,true,false,false,,,,,Gel Quantity,TCM0091A4,,Active,,Grams;GRAMS;Grams;Grams,
TCM0091A4;POWDERWEIGHT;TC009C67,TC009C67,POWDERWEIGHT,Powder Weight,USD,,,,,false,true,false,false,,,,,Powder Weight,TCM0091A4,,Active,,Kilograms;KG,
TIM00001;PCR0090CD;PSR67832,PSR67832,PCR0090CD,Paste Ratio,USD,,,,,false,false,false,false,,,,,Paste Ratio,TIM00001,,Active,,Millilitres;ML,
