$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.$$Code$ParentProduct.StockKeepingUnit,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,Sequence
AV001;LB001;Bundle to Bundle Component Relationship,AV001,,BundleComponent,,true,true,true,false,,,LB001,Bundle,,LB001,Bundle to Bundle Component Relationship,1,Proportional,
LP001;LB001;Bundle to Bundle Component Relationship,LP001,,BundleComponent,,true,true,true,false,,,LB001,Bundle,,LB001,Bundle to Bundle Component Relationship,1,Proportional,
LBG001;LB001;Bundle to Bundle Component Relationship,LBG001,,BundleComponent,,false,false,false,false,,,LB001,Bundle,,LB001,Bundle to Bundle Component Relationship,1,Proportional,
SP001;LCP001;Bundle to Bundle Component Relationship,SP001,,BundleComponent,,false,true,true,false,,,LCP001,Bundle,,LCP001,Bundle to Bundle Component Relationship,1,Proportional,
TRG001;LCP001;Bundle to Bundle Component Relationship,TRG001,,BundleComponent,,false,true,true,false,,,LCP001,Bundle,,LCP001,Bundle to Bundle Component Relationship,1,Proportional,
W001;LCP001;Bundle to Bundle Component Relationship,W001,,BundleComponent,,false,true,true,false,,,LCP001,Bundle,,LCP001,Bundle to Bundle Component Relationship,1,Proportional,
LP001;LPB001;Bundle to Bundle Component Relationship,LP001,,BundleComponent,,true,true,true,false,,,LPB001,Bundle,,LPB001,Bundle to Bundle Component Relationship,1,Proportional,
MOU001;LPB001;Bundle to Bundle Component Relationship,MOU001,,BundleComponent,,true,false,true,false,,,LPB001,Bundle,,LPB001,Bundle to Bundle Component Relationship,1,Proportional,
PB001;LPB001;Bundle to Bundle Component Relationship,PB001,,BundleComponent,,false,false,false,false,,,LPB001,Bundle,,LPB001,Bundle to Bundle Component Relationship,1,Constant,
W001;LPB001;Bundle to Bundle Component Relationship,W001,,BundleComponent,,false,false,false,false,,,LPB001,Bundle,,LPB001,Bundle to Bundle Component Relationship,1,Proportional,
SFT001;LPB001;SFT001;Bundle to Product Classification Component Relationship,,SFT001,ClassificationComponent,,false,false,false,true,,,LPB001,Bundle,,SFT001;LPB001,Bundle to Product Classification Component Relationship,1,,
PRN001;PB001;Bundle to Bundle Component Relationship,PRN001,,BundleComponent,,true,true,true,false,,,PB001,Bundle,,PB001,Bundle to Bundle Component Relationship,1,Proportional,
PP001;PB001;Bundle to Bundle Component Relationship,PP001,,BundleComponent,,false,true,true,true,,,PB001,Bundle,,PB001,Bundle to Bundle Component Relationship,1,Proportional,
TRG001;TPP01;Bundle to Bundle Component Relationship,TRG001,,BundleComponent,,true,true,true,false,,,TPP01,Bundle,,TPP01,Bundle to Bundle Component Relationship,1,Proportional,
UA001;TPP01;Bundle to Bundle Component Relationship,UA001,,BundleComponent,,true,true,true,false,,,TPP01,Bundle,,TPP01,Bundle to Bundle Component Relationship,1,Proportional,
APTRG001;SDP001;Bundle to Bundle Component Relationship,APTRG001,,BundleComponent,,true,true,true,false,,,SDP001,Bundle,,SDP001,Bundle to Bundle Component Relationship,1,Proportional,
PCERT001;SDP001;Bundle to Bundle Component Relationship,PCERT001,,BundleComponent,,false,false,false,false,,,SDP001,Bundle,,SDP001,Bundle to Bundle Component Relationship,1,Proportional,
TPP01;ATRG001;Bundle to Bundle Component Relationship,TPP01,,BundleComponent,,true,true,true,false,,,ATRG001,Bundle,,ATRG001,Bundle to Bundle Component Relationship,1,Proportional,
LLMTRG001;ATRG001;Bundle to Bundle Component Relationship,LLMTRG001,,BundleComponent,,true,true,true,false,,,ATRG001,Bundle,,ATRG001,Bundle to Bundle Component Relationship,1,Proportional,
SDP001;ATRG001;Bundle to Bundle Component Relationship,SDP001,,BundleComponent,,false,false,false,false,,,ATRG001,Bundle,,ATRG001,Bundle to Bundle Component Relationship,1,Proportional,
ASTCERT001;CERT007;Bundle to Bundle Component Relationship,ASTCERT001,,BundleComponent,Term Based - Yearly;TermDefined,true,true,true,false,,,CERT007,Bundle,Term Based - Yearly;TermDefined,,Bundle to Bundle Component Relationship,1,Proportional,
LLMCERT001;CERT007;Bundle to Bundle Component Relationship,LLMCERT001,,BundleComponent,Term Based - Yearly;TermDefined,true,true,true,false,,,CERT007,Bundle,Term Based - Yearly;TermDefined,,Bundle to Bundle Component Relationship,1,Proportional,
USB01;LA001;Bundle to Bundle Component Relationship,USB01,,BundleComponent,,true,true,true,false,,,LA001,Bundle,,LA001,Bundle to Bundle Component Relationship,1,Proportional,
HDS001;LA001;Bundle to Bundle Component Relationship,HDS001,,BundleComponent,,true,true,true,false,,,LA001,Bundle,,LA001,Bundle to Bundle Component Relationship,1,Proportional,
LBG001;LA001;Bundle to Bundle Component Relationship,LBG001,,BundleComponent,,true,true,true,false,,,LA001,Bundle,,LA001,Bundle to Bundle Component Relationship,1,Proportional,
ATTSMS07;ATTM001;Bundle to Bundle Component Relationship,ATTSMS07,,BundleComponent,,false,false,false,true,3,,ATTM001,Bundle,,ATTM001,Bundle to Bundle Component Relationship,1,,
ATTMB001;ATTM001;Bundle to Bundle Component Relationship,ATTMB001,,BundleComponent,,false,true,true,true,,1,ATTM001,Bundle,,ATTM001,Bundle to Bundle Component Relationship,1,,
ACERT001;PCERT001;Bundle to Bundle Component Relationship,ACERT001,,BundleComponent,,true,true,true,false,,,PCERT001,Bundle,,PCERT001,Bundle to Bundle Component Relationship,1,Proportional,
DCERT001;PCERT001;Bundle to Bundle Component Relationship,DCERT001,,BundleComponent,,true,true,true,false,,,PCERT001,Bundle,,PCERT001,Bundle to Bundle Component Relationship,1,Proportional,
CERT007;PCERT001;Bundle to Bundle Component Relationship,CERT007,,BundleComponent,,false,false,false,false,,,PCERT001,Bundle,,PCERT001,Bundle to Bundle Component Relationship,1,Proportional,
KB001;LPB002;Bundle to Bundle Component Relationship,KB001,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,4
LP001;LPB002;Bundle to Bundle Component Relationship,LP001,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,1
MOU001;LPB002;Bundle to Bundle Component Relationship,MOU001,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,5
PRN001;LPB002;Bundle to Bundle Component Relationship,PRN001,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,7
USB01;LPB002;Bundle to Bundle Component Relationship,USB01,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,8
OF001;LPB002;Bundle to Bundle Component Relationship,OF001,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,6
LBG001;LPB002;Bundle to Bundle Component Relationship,LBG001,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,2
EHD009;LPB002;Bundle to Bundle Component Relationship,EHD009,,BundleComponent,,true,true,true,false,,,LPB002,Bundle,,LPB002,Bundle to Bundle Component Relationship,1,Proportional,10
