$$ProductOffer.StockKeepingUnit$UsageDefinitionProduct.StockKeepingUnit$UnitOfMeasureClass.Code$UnitOfMeasure.UnitCode$UsageResource.Code,DrawdownOrder,EffectiveEndDate,EffectiveStartDate,Label,OverageChargeable,ProductOffer.StockKeepingUnit,Quantity,RenewalPolicy.Code,RolloverPolicy.Code,Status,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit,UsageResource.Code,ValidityPeriodTerm,ValidityPeriodUnit
ATTMB001;ATTMB001;CALLUNITS01;MIN;URCALLS01,,,2024-08-19T00:00:00.000+0000,Grant for Calls,Yes,ATTMB001,1000,URRENEW01,URROLL01,Draft,MIN,CALLUNITS01,ATTMB001,URCALLS01,1,Month
ATTMB001;SMS01;Count;URSMS01,,,2024-08-19T00:00:00.000+0000,Grant for SMS,No,ATTMB001,200,URRENEW01,URROLL01,Draft,Count,SMS01,,URSMS01,1,Month
ATTMB001;ATTMB001;DAT01;GB;URDATA01,,,2024-08-19T00:00:00.000+0000,AT&T Mobile Plan - Data,Yes,ATTMB001,50,URRENEW01,URROLL01,Draft,GB,DAT01,ATTMB001,URDATA01,1,Month
ATTSMS07;SMS01;Count;URSMS01,,,2024-08-19T00:00:00.000+0000,Grant for SMS Add On,Yes,ATTSMS07,100,URRENEW01,URROLL01,Draft,Count,SMS01,,URSMS01,1,Month
ATTMB001;CAS01;Each;URCASE01,,,2024-08-19T00:00:00.000+0000,Grant for Support,No,ATTMB001,5,URRENEW01,URROLL01,Draft,Each,CAS01,,URCASE01,1,Year
CLOUD003;CLOUD003;DAT01;GB;CS001,,,2024-08-22T00:00:00.000+0000,Storage Grant,Yes,CLOUD003,100,,,Draft,GB,DAT01,CLOUD003,CS001,0,None
CLOUD003;CLOUD003;DAT01;GB;CS002,,,2024-08-22T00:00:00.000+0000,Backup Data,Yes,CLOUD003,50,,,Draft,GB,DAT01,CLOUD003,CS002,0,None
CLOUD003;CLOUD003;COUNT;XFER;CS003,,,2024-08-22T00:00:00.000+0000,Transfer Grants,Yes,CLOUD003,200,,,Draft,XFER,COUNT,CLOUD003,CS003,0,None
CLOUD003;CLOUD003;COUNT;ACCTS;CS004,,,2024-08-22T00:00:00.000+0000,Account Grants,Yes,CLOUD003,10,,,Draft,ACCTS,COUNT,CLOUD003,CS004,0,None
CLOUD001;DEF001;COUNT;LOGS;API004,,,2024-08-22T00:00:00.000+0000,Error Log Grant,Yes,CLOUD001,200,,,Draft,LOGS,COUNT,DEF001,API004,0,None
CLOUD003;CLOUD003;COUNT;LOGS;CS005,,,2024-08-22T00:00:00.000+0000,Log Grant,Yes,CLOUD003,1000,,,Draft,LOGS,COUNT,CLOUD003,CS005,0,None
CLOUD001;DEF001;COUNT;CALLS;API001,,,2024-08-22T00:00:00.000+0000,API Grant,Yes,CLOUD001,1000,,,Draft,CALLS,COUNT,DEF001,API001,0,None
CLOUD001;DEF001;COUNT;SESH;API003,,,2024-08-22T00:00:00.000+0000,Session Grant,Yes,CLOUD001,300,,,Draft,SESH,COUNT,DEF001,API003,0,None
CLOUD001;DEF001;DAT01;GB;API002,,,2024-08-22T00:00:00.000+0000,Transfer Grant,Yes,CLOUD001,500,,,Draft,GB,DAT01,DEF001,API002,0,None
CLOUD001;DEF001;COUNT;TPS;API005,,,2024-08-22T00:00:00.000+0000,Rate Limit Grant,Yes,CLOUD001,100,,,Draft,TPS,COUNT,DEF001,API005,0,None
CLOUD002;DEF001;DAT01;GB;API002,ExpiringFirst,,2025-01-03T20:00:00.000+0000,Transfer Grant,Yes,CLOUD002,250,,,Draft,GB,DAT01,DEF001,API002,0,None
CLOUD004;CO478;DAT01;GB;CS001,ExpiringFirst,,2025-01-01T08:00:00.000+0000,Cloud Storage Grant,Yes,CLOUD004,700,,,Draft,GB,DAT01,CO478,CS001,0,None
CLOUD004;CO479;COUNT;CALLS;API001,ExpiringFirst,,2025-01-01T08:00:00.000+0000,API Calls Grant,Yes,CLOUD004,1000,,,Draft,CALLS,COUNT,CO479,API001,0,None
CLOUD004;CO480;COUNT;UOM3421;CO457,ExpiringFirst,,2025-01-01T08:00:00.000+0000,Courses Grant,Yes,CLOUD004,60,,,Draft,UOM3421,COUNT,CO480,CO457,0,None
