$$AttributeCategory.Name$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
Connection Type;WIRELESS,CT001,WIRELESS
Training;TRAINING,T001,TRAINING
Display;DISPLAY,DIS,DISPLAY
Processor;WINDOWSPROCESSOR,PRO,WINDOWSPROCESSOR
Graphics;GRAPHICS,GRA,GRAPHICS
Display;DISPLAYSIZE,DIS,DISPLAYSIZE
Memory;MEMORY,MEM,MEMORY
Paper;PAPERSIZE,PP001,PAPERSIZE
Printer;PRINTER,P001,PRINTER
Storage;STORAGE,STO,STORAGE
Support;SUPPORTLEVEL,SP001,SUPPORTLEVEL
Thermal Composition;GELQTY,TC009C67,GELQTY
Thermal Composition;POWDERWEIGHT,TC009C67,POWDERWEIGHT
Paste Ratio;PCR0090CD,PSR67832,PCR0090CD
