Code,CurrencyIsoCode,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.$$Name$UnitCode$UnitOfMeasureClass.Code$UnitOfMeasureClass.Name,ValueDescription
DISPLAY,USD,Picklist,,1080p Built-in Display,,Display,true,true,Display,Display,Display Picklist,,,
MEMORY,USD,Picklist,,RAM 32GB,,Memory,true,true,Memory,Memory,Memory Picklist,,,
PAPERSIZE,USD,Picklist,,,,Printer_Paper,true,false,Printer Paper,Paper Size,Paper Size Picklist,,,
STORAGE,USD,Picklist,,,,Storage,true,true,Storage,Storage,Storage Picklist,,,
WINDOWSPROCESSOR,USD,Picklist,,i5-CPU 4.4GHz,,Windows_Processor,true,true,Processor,Windows_Processor,Processor Picklist,,,
PRINTER,USD,Picklist,,,,Printer,true,false,Printer,Printer,Printer Picklist,,,
GRAPHICS,USD,Picklist,,,,Graphics,true,false,Graphics,Graphics,Graphics Picklist,,,
TRAINING,USD,Picklist,,,,Training,true,false,Training,Training,Training Type Picklist,,,
DISPLAYSIZE,USD,Picklist,,,,Display_Size,true,true,Screen Size,Display_Size,Display Size Picklist,,,
SUPPORTLEVEL,USD,Picklist,,Premium Support,,Support_Level,true,false,Support_Level,Support_Level,Support Level Picklist,,,
PROCESSOR,USD,Picklist,,i5-CPU 4.4GHz,,Processor,true,true,Processor,Processor,Processor Picklist,,,
SUBTYPE001,USD,Picklist,,,Subscription Type - either Enterprise or Business,SubscriptionType,true,true,Subscription Type,Subscription Type,Subscription Type,,,
PCR0090CD,USD,Picklist,,,,PasteRatio,true,false,Paste Ratio,Paste Ratio,Paste Color Ratio,,,
POWDERWEIGHT,USD,Picklist,,,,PowderWeight,true,false,Powder Weight,Powder Weight,Compound Weight,,,
GELQTY,USD,Picklist,,,,GelQuantity,true,false,Gel Quantity,Gel Quantity,Gel Quantity,,,
WIRELESS,USD,Checkbox,,false,,Wireless,true,false,Wireless,Wireless,,,,
