$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
Antivirus;Nonprofit;AV001;Evergreen - Yearly;USD,USD,true,false,Antivirus,Nonprofit,AV001,Evergreen - Yearly;Evergreen,49.99
Cloud Storage;Nonprofit;CS001;Evergreen - Monthly;USD,USD,false,false,Cloud Storage,Nonprofit,CS001,Evergreen - Monthly;Evergreen,7.99
Laptop;Nonprofit;LP001;One Time;USD,USD,true,false,Laptop,Nonprofit,LP001,One Time;OneTime,699
Laptop Care Package;Nonprofit;LCP001;Term Based - Monthly;USD,USD,true,false,Laptop Care Package,Nonprofit,LCP001,Term Based - Monthly;TermDefined,48.97
Laptop Pro Bundle;Nonprofit;LPB001;One Time;USD,USD,true,false,Laptop Pro Bundle,Nonprofit,LPB001,One Time;OneTime,799
Monitor;Nonprofit;MO001;One Time;USD,USD,true,false,Monitor,Nonprofit,MO001,One Time;OneTime,129.99
Antivirus;Nonprofit;AV001;Evergreen - Yearly;JPY,JPY,true,false,Antivirus,Nonprofit,AV001,Evergreen - Yearly;Evergreen,7451.0095
Cloud Storage;Nonprofit;CS001;Evergreen - Monthly;JPY,JPY,false,false,Cloud Storage,Nonprofit,CS001,Evergreen - Monthly;Evergreen,1190.9095
Laptop;Nonprofit;LP001;One Time;JPY,JPY,true,false,Laptop,Nonprofit,LP001,One Time;OneTime,104185.95
Laptop Care Package;Nonprofit;LCP001;Term Based - Monthly;JPY,JPY,true,false,Laptop Care Package,Nonprofit,LCP001,Term Based - Monthly;TermDefined,7298.9785
Laptop Pro Bundle;Nonprofit;LPB001;One Time;JPY,JPY,true,false,Laptop Pro Bundle,Nonprofit,LPB001,One Time;OneTime,119090.95
Monitor;Nonprofit;MO001;One Time;JPY,JPY,true,false,Monitor,Nonprofit,MO001,One Time;OneTime,19375.0095
Antivirus;Nonprofit;AV001;Evergreen - Yearly;BHD,BHD,true,false,Antivirus,Nonprofit,AV001,Evergreen - Yearly;Evergreen,18.9962
Cloud Storage;Nonprofit;CS001;Evergreen - Monthly;BHD,BHD,false,false,Cloud Storage,Nonprofit,CS001,Evergreen - Monthly;Evergreen,3.0362
Laptop;Nonprofit;LP001;One Time;BHD,BHD,true,false,Laptop,Nonprofit,LP001,One Time;OneTime,265.62
Laptop Care Package;Nonprofit;LCP001;Term Based - Monthly;BHD,BHD,true,false,Laptop Care Package,Nonprofit,LCP001,Term Based - Monthly;TermDefined,18.6086
Laptop Pro Bundle;Nonprofit;LPB001;One Time;BHD,BHD,true,false,Laptop Pro Bundle,Nonprofit,LPB001,One Time;OneTime,303.62
Monitor;Nonprofit;MO001;One Time;BHD,BHD,true,false,Monitor,Nonprofit,MO001,One Time;OneTime,49.3962
