$$Code$ParentProduct.StockKeepingUnit,Code,CurrencyIsoCode,Description,MaxBundleComponents,MinBundleComponents,Name,ParentProduct.StockKeepingUnit,Sequence
LB001,,USD,,,,Laptop,LB001,1
LB001,,USD,,,,Computer Protection,LB001,2
LPB001,,USD,,,,Laptop,LPB001,1
LPB001,,USD,,,,Accessories,LPB001,2
PB001,,USD,,1,1,Printer,PB001,1
PB001,,USD,,,,Printer Accessories,PB001,2
LA001,,USD,,,,Laptop Accessories,LA001,
SDP001,,USD,,,,Skill Development,SDP001,
PCERT001,,USD,,,,Certifications,PCERT001,
ATRG001,,USD,,,,Trainings,ATRG001,
TPP01,,USD,,,,Training Group,TPP01,
LCP001,,USD,,,,Laptop Care,LCP001,
SFT001;LPB001,SFT001,USD,,,,Software,LPB001,
ATTM001,,USD,,,,AT&T Mobile Group,ATTM001,1
LPB002,,USD,,,,Mega Package,LPB002,
CG005673;KTC677R,CG005673,USD,,,,Compound Group,KTC677R,
PB001,,USD,,,,Something Else,PB001,
