Category,Code,DefaultUnitOfMeasure.UnitCode,Description,Name,Status,TokenResource.Code,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit
Usage,API001,CALLS,,API Calls,Draft,,COUNT,
Usage,API002,GB,,Data Transfers,Draft,,DAT01,
Usage,API003,SESH,,User Sessions,Draft,,COUNT,
Usage,API004,LOGS,,Error Logs,Draft,,COUNT,
Usage,API005,TPS,,Rate Limits,Draft,,COUNT,
Usage,CS001,GB,,Storage Data,Draft,,DAT01,
Usage,CS002,GB,,Backup Data,Draft,,DAT01,
Usage,CS003,XFER,,File Transfers,Draft,,COUNT,
Usage,CS004,ACCTS,,User Accounts,Draft,,COUNT,
Usage,CS005,LOGS,,Access Logs,Draft,,COUNT,
Usage,DS,BASIC-GB,,Basic: Data Storage,Draft,,GB,
Token,DSU,Basic: Data Units,,Basic: Data Storage Units,Draft,,DSU,
Usage,URCALLS01,MIN,,Usage for Calls,Draft,,CALLUNITS01,
Usage,URCASE01,Each,,Usage for Case,Draft,,CAS01,
Usage,URDATA01,MB,,Usage for Data,Draft,,DAT01,
Usage,URSMS01,Count,,Usage for SMS,Draft,,SMS01,
