AccountingPeriod.Name,LegalEntity.Name,Name,Status
FY2024-25-January1-January31,Default Legal Entity - US,Default Legal Entity - US-FY2024-25-January1-January31,Open
FY2024-25-October1-October31,Default Legal Entity - US,Default Legal Entity - US-FY2024-25-October1-October31,Open
FY2024-25-November1-November30,Default Legal Entity - US,Default Legal Entity - US-FY2024-25-November1-November30,Open
FY2024-25-December1-December31,Default Legal Entity - US,Default Legal Entity - US-FY2024-25-December1-December31,Open
FY2025-26-February1-February28,Default Legal Entity - US,Default Legal Entity - US-FY2025-26-February1-February28,Open
FY2025-26-March1-March31,Default Legal Entity - US,Default Legal Entity - US-FY2025-26-March1-March31,Open
FY2025-26-April1-April30,Default Legal Entity - US,Default Legal Entity - US-FY2025-26-April1-April30,Open
FY2025-26-May1-May31,Default Legal Entity - US,Default Legal Entity - US-FY2025-26-May1-May31,Open
FY2025-26-June1-June30,Default Legal Entity - US,Default Legal Entity - US-FY2025-26-June1-June30,Open
FY2025-26-July1-July31,Default Legal Entity - US,Default Legal Entity - US-FY2025-26-July1-July31,Open
