$$AttributeCategory.Code$AttributeDefinition.Code$ProductClassificationAttribute.Name$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,CurrencyIsoCode,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeCategory.Code$AttributeDefinition.Code$ProductClassificationAttribute.Name$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,Sequence,Status,StepValue,UnitOfMeasure.$$Name$UnitCode$UnitOfMeasureClass.Code$UnitOfMeasureClass.Name,ValueDescription
T001;TRAINING;Training;TRG001,T001,TRAINING,Training,USD,Security Training,,,,false,true,false,false,,,,,Training,,TRG001,TL001;TRAINING;T001,,Active,,,
STO;STORAGE;Storage;CS001,STO,STORAGE,Storage,USD,Cloud Storage Enterprise - 2 TB,,,,false,true,false,true,,,,,Storage,,CS001,CS001;STORAGE;STO,,Active,,,
PRO;WINDOWSPROCESSOR;Processor;LP001,PRO,WINDOWSPROCESSOR,Processor,USD,i5-CPU 4.4GHz,,,,false,true,false,true,,,,,Processor,,LP001,CMP001;WINDOWSPROCESSOR;PRO,,Active,,,
CT001;WIRELESS;Wireless;KB001,CT001,WIRELESS,Wireless,USD,true,,,,false,false,false,false,,,,,Wireless,,KB001,KB001;WIRELESS;CT001,,Active,,,
STO;STORAGE;Storage;LP001,STO,STORAGE,Storage,USD,SSD Hard Drive 256GB,,,,false,false,false,true,,,,,Storage,,LP001,CMP001;STORAGE;STO,,Active,,,
MEM;MEMORY;Memory;LP001,MEM,MEMORY,Memory,USD,RAM 8GB,,,,false,false,false,true,,,,,Memory,,LP001,CMP001;MEMORY;MEM,,Active,,,
GRA;GRAPHICS;Graphics;LP001,GRA,GRAPHICS,Graphics,USD,Intel Iris Xe Graphics,,,,false,true,false,false,,,,,Graphics,,LP001,CMP001;GRAPHICS;GRA,,Active,,,
DIS;DISPLAY;Display;LP001,DIS,DISPLAY,Display,USD,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,LP001,CMP001;DISPLAY;DIS,,Active,,,
P001;PRINTER;Printer Type;PRN001,P001,PRINTER,Printer Type,USD,Laser,,,,false,true,false,false,,,,,Printer Type,,PRN001,PR001;PRINTER;P001,,Active,,,
PP001;PAPERSIZE;Paper Size;PP001,PP001,PAPERSIZE,Paper Size,USD,A4,,,,false,false,false,false,,,,,Paper Size,,PP001,P001;PAPERSIZE;PP001,,Active,,,
DIS;DISPLAYSIZE;Screen Size;LP001,DIS,DISPLAYSIZE,Screen Size,USD,13 Inch,,,,false,true,false,true,,,,,Screen Size,,LP001,CMP001;DISPLAYSIZE;DIS,,Active,,,
DIS;DISPLAY;Display;MO001,DIS,DISPLAY,Display,USD,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,MO001,MN001;DISPLAY;DIS,,Active,,,
DIS;DISPLAYSIZE;Screen Size;MO001,DIS,DISPLAYSIZE,Screen Size,USD,24 Inch,,,,false,true,false,true,,,,,Screen Size,,MO001,MN001;DISPLAYSIZE;DIS,,Active,,,
CT001;WIRELESS;Wireless;MOU001,CT001,WIRELESS,Wireless,USD,false,,,,false,true,false,false,,,,,Wireless,,MOU001,M001;WIRELESS;CT001,,Active,,,
SP001;SUPPORTLEVEL;Support Level;SP001,SP001,SUPPORTLEVEL,Support Level,USD,Premium Support,,,,false,true,false,false,,,,,Support Level,,SP001,SL001;SUPPORTLEVEL;SP001,,Active,,,
SUBTYPE001;Subscription Type;OF001,,SUBTYPE001,Subscription Type,USD,Business,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,,OF001,SFT001;SUBTYPE001,,Active,,,
