$$ConstraintModelTag$ExpressionSet.ApiName,ConstraintModelTag,ConstraintModelTagType,CurrencyIsoCode,ExpressionSet.Name
additionalapi;QuantumBitComplete,additionalapi,Port,USD,QuantumBitComplete
qbapimanagementsolution;QuantumBitComplete,qbapimanagementsolution,Port,USD,QuantumBitComplete
apiaccessrequestsaeh;QuantumBitComplete,apiaccessrequestsaeh,Port,USD,QuantumBitComplete
additionalautomationqbcredits;QuantumBitComplete,additionalautomationqbcredits,Port,USD,QuantumBitComplete
quantumbitservicesproject;QuantumBitComplete,quantumbitservicesproject,Port,USD,QuantumBitComplete
quantumbitdatabase;QuantumBitComplete,quantumbitdatabase,Port,USD,QuantumBitComplete
additionalflowsqbstarter;QuantumBitComplete,additionalflowsqbstarter,Port,USD,QuantumBitComplete
additionalmessagesqbstarter;QuantumBitComplete,additionalmessagesqbstarter,Port,USD,QuantumBitComplete
datanormalizationexpert;QuantumBitComplete,datanormalizationexpert,Port,USD,QuantumBitComplete
implementationengineer;QuantumBitComplete,implementationengineer,Port,USD,QuantumBitComplete
integrationspecialistengineer;QuantumBitComplete,integrationspecialistengineer,Port,USD,QuantumBitComplete
moduleextensionengineer;QuantumBitComplete,moduleextensionengineer,Port,USD,QuantumBitComplete
professionalservicesdailyrate;QuantumBitComplete,professionalservicesdailyrate,Port,USD,QuantumBitComplete
programdirector;QuantumBitComplete,programdirector,Port,USD,QuantumBitComplete
projectmanager;QuantumBitComplete,projectmanager,Port,USD,QuantumBitComplete
qualityassuranceengineer;QuantumBitComplete,qualityassuranceengineer,Port,USD,QuantumBitComplete
solutionsarchitect;QuantumBitComplete,solutionsarchitect,Port,USD,QuantumBitComplete
professionalservicesscopeofwork;QuantumBitComplete,professionalservicesscopeofwork,Port,USD,QuantumBitComplete
softwaremaintenance;QuantumBitComplete,softwaremaintenance,Port,USD,QuantumBitComplete
quantumbitessentialstraining;QuantumBitComplete,quantumbitessentialstraining,Port,USD,QuantumBitComplete
quantumbitfundamentalstraining;QuantumBitComplete,quantumbitfundamentalstraining,Port,USD,QuantumBitComplete
cacheboost;Server2,cacheboost,Port,USD,Server2
aircooler;Server2,aircooler,Port,USD,Server2
hdd1_small;Server2,hdd1_small,Port,USD,Server2
hdd1_big;Server2,hdd1_big,Port,USD,Server2
hdd20_big;Server2,hdd20_big,Port,USD,Server2
hdd3_small;Server2,hdd3_small,Port,USD,Server2
hdd4_big;Server2,hdd4_big,Port,USD,Server2
hdd8_big;Server2,hdd8_big,Port,USD,Server2
gold21ghz;Server2,gold21ghz,Port,USD,Server2
gold22ghz;Server2,gold22ghz,Port,USD,Server2
gold3ghz;Server2,gold3ghz,Port,USD,Server2
plat23ghz;Server2,plat23ghz,Port,USD,Server2
plat22ghz;Server2,plat22ghz,Port,USD,Server2
plat24ghz36c;Server2,plat24ghz36c,Port,USD,Server2
plat24ghz38c;Server2,plat24ghz38c,Port,USD,Server2
liquidcooler;Server2,liquidcooler,Port,USD,Server2
ram128;Server2,ram128,Port,USD,Server2
ram16;Server2,ram16,Port,USD,Server2
ram32;Server2,ram32,Port,USD,Server2
ram64;Server2,ram64,Port,USD,Server2
ram8;Server2,ram8,Port,USD,Server2
link100g;Server2,link100g,Port,USD,Server2
link10g;Server2,link10g,Port,USD,Server2
link25g;Server2,link25g,Port,USD,Server2
secure10g;Server2,secure10g,Port,USD,Server2
nova;Server2,nova,Port,USD,Server2
nvexpand;Server2,nvexpand,Port,USD,Server2
pwr1600s;Server2,pwr1600s,Port,USD,Server2
pwr500s;Server2,pwr500s,Port,USD,Server2
pwr800s;Server2,pwr800s,Port,USD,Server2
pwr1000d;Server2,pwr1000d,Port,USD,Server2
pwr2000d;Server2,pwr2000d,Port,USD,Server2
pwr600d;Server2,pwr600d,Port,USD,Server2
raid500;Server2,raid500,Port,USD,Server2
ssd16;Server2,ssd16,Port,USD,Server2
ssd2;Server2,ssd2,Port,USD,Server2
ssd30;Server2,ssd30,Port,USD,Server2
ssd4;Server2,ssd4,Port,USD,Server2
ssd8;Server2,ssd8,Port,USD,Server2
accel;Server2,accel,Port,USD,Server2
