$$Name$SourceProduct.StockKeepingUnit$DestinationProduct.StockKeepingUnit,DestinationProduct.StockKeepingUnit,Name,Priority,SourceClassIdentifier,SourceIdentifier,SourceProduct.StockKeepingUnit,SourceProductClassification.Name
Additional API to Provisioning and Activation Service;QB-API;QB-DRO-AAPI,QB-DRO-AAPI,Additional API to Provisioning and Activation Service,,,01tWt00000943i5IAA,QB-API,
Additional API to Finance;QB-API;QB-DRO-BILL,QB-DRO-BILL,Additional API to Finance,,,01tWt00000943i5IAA,QB-API,
QB API Management Platform to API Platform Provisioning;QB-API-MGMT;QB-DRO-APIPLAT,QB-DRO-APIPLAT,QB API Management Platform to API Platform Provisioning,,,01tWt00000943j2IAA,QB-API-MGMT,
QB API Management Solution to Finance;QB-API-MGMT;QB-DRO-BILL,QB-DRO-BILL,QB API Management Solution to Finance,,,01tWt00000943j2IAA,QB-API-MGMT,
QB API Management License to  Provisioning;QB-API-MGMT;QB-DRO-PERMS,QB-DRO-PERMS,QB API Management License to  Provisioning,,,01tWt00000943j2IAA,QB-API-MGMT,
AEH API Access Requests - Provisioning and Activation Service;QB-API-REQT;QB-DRO-AEH,QB-DRO-AEH,AEH API Access Requests - Provisioning and Activation Service,,,01tWt00000943iAIAQ,QB-API-REQT,
API Access Requests to Finance;QB-API-REQT;QB-DRO-BILL,QB-DRO-BILL,API Access Requests to Finance,,,01tWt00000943iAIAQ,QB-API-REQT,
Additional Automation QB Credits - Provisioning and Activation Service;QB-AUT-CRED;QB-DRO-AAQBC,QB-DRO-AAQBC,Additional Automation QB Credits - Provisioning and Activation Service,,,01tWt00000943iBIAQ,QB-AUT-CRED,
Additional Credits to Finance;QB-AUT-CRED;QB-DRO-BILL,QB-DRO-BILL,Additional Credits to Finance,,,01tWt00000943iBIAQ,QB-AUT-CRED,
Service Project to Finance;QB-BDL-SRVC;QB-DRO-BILL,QB-DRO-BILL,Service Project to Finance,,,01tWt00000943iFIAQ,QB-BDL-SRVC,
Service Project to Project Service;QB-BDL-SRVC;QB-DRO-PROJ,QB-DRO-PROJ,Service Project to Project Service,,,01tWt00000943iFIAQ,QB-BDL-SRVC,
Additional Data Throughput (TB) to Finance;QB-DAT-THPT;QB-DRO-BILL,QB-DRO-BILL,Additional Data Throughput (TB) to Finance,,,01tWt00000943j7IAA,QB-DAT-THPT,
QB Database to Finance;QB-DB;QB-DRO-BILL,QB-DRO-BILL,QB Database to Finance,,,01tWt00000943iYIAQ,QB-DB,
QB Database to Provisioning and Activation Service;QB-DB;QB-DRO-QBD,QB-DRO-QBD,QB Database to Provisioning and Activation Service,,,01tWt00000943iYIAQ,QB-DB,
Additional Flow to Provisioning and Activation Service;QB-FLO-STRT;QB-DRO-AACR,QB-DRO-AACR,Additional Flow to Provisioning and Activation Service,,,01tWt00000943j3IAA,QB-FLO-STRT,
Additional Flow to Finance;QB-FLO-STRT;QB-DRO-BILL,QB-DRO-BILL,Additional Flow to Finance,,,01tWt00000943j3IAA,QB-FLO-STRT,
Additional Message to Provisioning and Activation Service;QB-MSG-STRT;QB-DRO-AM,QB-DRO-AM,Additional Message to Provisioning and Activation Service,,,01tWt00000943j4IAA,QB-MSG-STRT,
Additional Message to Finance;QB-MSG-STRT;QB-DRO-BILL,QB-DRO-BILL,Additional Message to Finance,,,01tWt00000943j4IAA,QB-MSG-STRT,
Services Rate to Finance;QB-SRV-OG-PSH;QB-DRO-BILL,QB-DRO-BILL,Services Rate to Finance,,,01tWt00000943imIAA,QB-SRV-OG-PSH,
Services Rate to Project Service;QB-SRV-OG-PSH;QB-DRO-PROJ,QB-DRO-PROJ,Services Rate to Project Service,,,01tWt00000943imIAA,QB-SRV-OG-PSH,
Scope of Work to Finance;QB-SRV-SOW;QB-DRO-BILL,QB-DRO-BILL,Scope of Work to Finance,,,01tWt00000943inIAA,QB-SRV-SOW,
Scope of Work to Project Service;QB-SRV-SOW;QB-DRO-PROJ,QB-DRO-PROJ,Scope of Work to Project Service,,,01tWt00000943inIAA,QB-SRV-SOW,
Maintenance to Finance;QB-SUPP-2000;QB-DRO-BILL,QB-DRO-BILL,Maintenance to Finance,,,01tWt00000943iqIAA,QB-SUPP-2000,
Training to Finance;QB-TRN-ESSNTLS;QB-DRO-BILL,QB-DRO-BILL,Training to Finance,,,01tWt00000943irIAA,QB-TRN-ESSNTLS,
Training to Finance;QB-TRN-FUND;QB-DRO-BILL,QB-DRO-BILL,Training to Finance,,,01tWt00000943isIAA,QB-TRN-FUND,
