$$Name$SourceProduct.StockKeepingUnit$DestinationProduct.StockKeepingUnit$CurrencyIsoCode,CurrencyIsoCode,DestinationProduct.$$Name$StockKeepingUnit,Name,Priority,SourceProduct.$$Name$StockKeepingUnit
AI Help Desk Platform Activation;AI Help Desk;QB-DRO-APIPLAT;USD,USD,AI Help Desk Platform - Provisioning & Activation Service;QB-DRO-APIPLAT,AI Help Desk Platform Activation,,AI Help Desk;AI Help Desk
Full Seats to Finance;FS-5;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Full Seats to Finance,,Full Seats;FS-5
AI Help Desk to Full License Activation;FS-5;QB-DRO-PERMS;USD,USD,AI Help Desk Full License - Provisioning & Activation Service;QB-DRO-PERMS,AI Help Desk to Full License Activation,,Full Seats;FS-5
Lite Seats Activation;LS-5;QB-DRO-AAPI;USD,USD,AI Help Desk Lite Seats  - Provision & Activation Service;QB-DRO-AAPI,Lite Seats Activation,,Lite Seats;LS-5
Lite Seats;LS-5;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Lite Seats,,Lite Seats;LS-5
Proactive Support to Finance;PSP;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Proactive Support to Finance,,Proactive Support Plus;PSP
Proactive Support Plus to Services;PSP;QB-DRO-PROJ;USD,USD,Project Service;QB-DRO-PROJ,Proactive Support Plus to Services,,Proactive Support Plus;PSP
Additional API to Finance;QB-API;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Additional API to Finance,,Additional API;QB-API
Additional API to P&A;QB-API;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional API to P&A,,Additional API;QB-API
Additional API to Order Processing;QB-API;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional API to Order Processing,,Additional API;QB-API
Additional API to Provisioning and Activation Service;QB-API;QB-DRO-AAPI;USD,USD,AI Help Desk Lite Seats  - Provision & Activation Service;QB-DRO-AAPI,Additional API to Provisioning and Activation Service,,Additional API;QB-API
Additional API to Finance;QB-API;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Additional API to Finance,,Additional API;QB-API
QB API Management Solution to Finance;QB-API-MGMT;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,QB API Management Solution to Finance,,QB API Management Solution;QB-API-MGMT
QB API Management Solution to P&A;QB-API-MGMT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,QB API Management Solution to P&A,,QB API Management Solution;QB-API-MGMT
QB API Management Solution to Order Process;QB-API-MGMT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,QB API Management Solution to Order Process,,QB API Management Solution;QB-API-MGMT
QB API Management Platform to API Platform Provisioning;QB-API-MGMT;QB-DRO-APIPLAT;USD,USD,AI Help Desk Platform - Provisioning & Activation Service;QB-DRO-APIPLAT,QB API Management Platform to API Platform Provisioning,,QB API Management Solution;QB-API-MGMT
QB API Management Solution to Finance;QB-API-MGMT;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,QB API Management Solution to Finance,,QB API Management Solution;QB-API-MGMT
QB API Management License to  Provisioning;QB-API-MGMT;QB-DRO-PERMS;USD,USD,AI Help Desk Full License - Provisioning & Activation Service;QB-DRO-PERMS,QB API Management License to  Provisioning,,QB API Management Solution;QB-API-MGMT
API Access Requests to Finance;QB-API-REQT;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,API Access Requests to Finance,,API Access Requests (AEH);QB-API-REQT
AEH API Access Requests - Provisioning and Activation Service;QB-API-REQT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,AEH API Access Requests - Provisioning and Activation Service,,API Access Requests (AEH);QB-API-REQT
AEH API Access Requests - Order Processing;QB-API-REQT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,AEH API Access Requests - Order Processing,,API Access Requests (AEH);QB-API-REQT
AEH API Access Requests - Provisioning and Activation Service;QB-API-REQT;QB-DRO-AEH;USD,USD,AEH API - Provisioning & Activation Service;QB-DRO-AEH,AEH API Access Requests - Provisioning and Activation Service,,API Access Requests (AEH);QB-API-REQT
API Access Requests to Finance;QB-API-REQT;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,API Access Requests to Finance,,API Access Requests (AEH);QB-API-REQT
Additional to Finance;QB-AUT-CRED;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Additional to Finance,,Additional Automation QB Credits;QB-AUT-CRED
Additional Automation QB Credits - Provisioning and Activation Service;QB-AUT-CRED;QB-DRO-AAQBC;USD,USD,Resolutions - Provisioning & Activation Service;QB-DRO-AAQBC,Additional Automation QB Credits - Provisioning and Activation Service,,Additional Automation QB Credits;QB-AUT-CRED
Additional Credits to Finance;QB-AUT-CRED;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Additional Credits to Finance,,Additional Automation QB Credits;QB-AUT-CRED
Service Project to Finance;QB-BDL-SRVC;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Service Project to Finance,,Services Project;QB-BDL-SRVC
Service Project to Finance;QB-BDL-SRVC;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Service Project to Finance,,Services Project;QB-BDL-SRVC
Service Project to Project Service;QB-BDL-SRVC;QB-DRO-PROJ;USD,USD,Project Service;QB-DRO-PROJ,Service Project to Project Service,,Services Project;QB-BDL-SRVC
Additional Data Throughput (TB) to Finance;QB-DAT-THPT;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Additional Data Throughput (TB) to Finance,,Additional Data Throughput;QB-DAT-THPT
Additional Data Throughput (TB) to P&A;QB-DAT-THPT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional Data Throughput (TB) to P&A,,Additional Data Throughput;QB-DAT-THPT
Additional Data Throughput (TB) to Order Processing;QB-DAT-THPT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional Data Throughput (TB) to Order Processing,,Additional Data Throughput;QB-DAT-THPT
Additional Data Throughput (TB) to Finance;QB-DAT-THPT;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Additional Data Throughput (TB) to Finance,,Additional Data Throughput;QB-DAT-THPT
QB Database to Finance;QB-DB;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,QB Database to Finance,,QuantumBit Database;QB-DB
QB Database to Provisioning and Activation Service;QB-DB;QB-DRO-QBD;USD,USD,QuantumBit Database - Provisioning & Activation Service;QB-DRO-QBD,QB Database to Provisioning and Activation Service,,QuantumBit Database;QB-DB
QuantumBit Db-Billing;QB-DB-TOKEN;QB-DRO-BILLING;USD,USD,Billing;QB-DRO-BILLING,QuantumBit Db-Billing,,QuantumBit Database (Token Based);QB-DB-TOKEN
QuantumBit Db-Activation;QB-DB-TOKEN;QB-DRO-LICACT;USD,USD,License Activation;QB-DRO-LICACT,QuantumBit Db-Activation,,QuantumBit Database (Token Based);QB-DB-TOKEN
QuantumBit Db-Provision;QB-DB-TOKEN;QB-DRO-PROVISION;USD,USD,Provision DB;QB-DRO-PROVISION,QuantumBit Db-Provision,,QuantumBit Database (Token Based);QB-DB-TOKEN
Additional Flow to Finance;QB-FLO-STRT;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Additional Flow to Finance,,Additional Flows - QB Starter;QB-FLO-STRT
Additional Flow to P&A;QB-FLO-STRT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional Flow to P&A,,Additional Flows - QB Starter;QB-FLO-STRT
Additional Flow to Order Processing;QB-FLO-STRT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional Flow to Order Processing,,Additional Flows - QB Starter;QB-FLO-STRT
Additional Flow to Provisioning and Activation Service;QB-FLO-STRT;QB-DRO-AACR;USD,USD,Additional Flows - Provisioning & Activation Service;QB-DRO-AACR,Additional Flow to Provisioning and Activation Service,,Additional Flows - QB Starter;QB-FLO-STRT
Additional Flow to Finance;QB-FLO-STRT;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Additional Flow to Finance,,Additional Flows - QB Starter;QB-FLO-STRT
Additional Message to Finance;QB-MSG-STRT;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Additional Message to Finance,,Additional Messages - QB Starter;QB-MSG-STRT
Additional Message to P&A;QB-MSG-STRT;QB-AEH-CPU;USD,USD,Provisioning and Activation Service;QB-AEH-CPU,Additional Message to P&A,,Additional Messages - QB Starter;QB-MSG-STRT
Additional Message to Order Processing;QB-MSG-STRT;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Additional Message to Order Processing,,Additional Messages - QB Starter;QB-MSG-STRT
Additional Message to Provisioning and Activation Service;QB-MSG-STRT;QB-DRO-AM;USD,USD,Additional Messages QB Starter - Provisioning & Activation Service;QB-DRO-AM,Additional Message to Provisioning and Activation Service,,Additional Messages - QB Starter;QB-MSG-STRT
Additional Message to Finance;QB-MSG-STRT;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Additional Message to Finance,,Additional Messages - QB Starter;QB-MSG-STRT
Services Rate to Finance;QB-SRV-OG-PSH;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Services Rate to Finance,,Professional Services Daily Rate;QB-SRV-OG-PSH
Daily Rate to Order Processing;QB-SRV-OG-PSH;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Daily Rate to Order Processing,,Professional Services Daily Rate;QB-SRV-OG-PSH
Services Rate to Finance;QB-SRV-OG-PSH;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Services Rate to Finance,,Professional Services Daily Rate;QB-SRV-OG-PSH
Services Rate to Project Service;QB-SRV-OG-PSH;QB-DRO-PROJ;USD,USD,Project Service;QB-DRO-PROJ,Services Rate to Project Service,,Professional Services Daily Rate;QB-SRV-OG-PSH
Scope of Work to Finance;QB-SRV-SOW;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Scope of Work to Finance,,Professional Services Scope of Work;QB-SRV-SOW
Scope of Work to Project Service;QB-SRV-SOW;QB-DRO-PROJ;USD,USD,Project Service;QB-DRO-PROJ,Scope of Work to Project Service,,Professional Services Scope of Work;QB-SRV-SOW
Maintenance to Finance;QB-SUPP-2000;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Maintenance to Finance,,Software Maintenance;QB-SUPP-2000
Maintenance to Order Processing;QB-SUPP-2000;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Maintenance to Order Processing,,Software Maintenance;QB-SUPP-2000
Maintenance to Finance;QB-SUPP-2000;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Maintenance to Finance,,Software Maintenance;QB-SUPP-2000
Training to Finance;QB-TRN-ESSNTLS;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Training to Finance,,QuantumBit Essentials Training;QB-TRN-ESSNTLS
Essentials Train to Order Processing;QB-TRN-ESSNTLS;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Essentials Train to Order Processing,,QuantumBit Essentials Training;QB-TRN-ESSNTLS
Training to Finance;QB-TRN-ESSNTLS;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Training to Finance,,QuantumBit Essentials Training;QB-TRN-ESSNTLS
Training to Finance;QB-TRN-FUND;QB-AEH-BILL;USD,USD,Finance Service Delete;QB-AEH-BILL,Training to Finance,,QuantumBit Fundamentals Training;QB-TRN-FUND
Training to Order Processing;QB-TRN-FUND;QB-AEH-OR;USD,USD,Order Processing;QB-AEH-OR,Training to Order Processing,,QuantumBit Fundamentals Training;QB-TRN-FUND
Training to Finance;QB-TRN-FUND;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Training to Finance,,QuantumBit Fundamentals Training;QB-TRN-FUND
Resolutions Activation;RESO;QB-DRO-AAQBC;USD,USD,Resolutions - Provisioning & Activation Service;QB-DRO-AAQBC,Resolutions Activation,,Resolutions;RESO
Resolutions to Finance;RESO;QB-DRO-BILL;USD,USD,Finance Service;QB-DRO-BILL,Resolutions to Finance,,Resolutions;RESO
