Code,CurrencyIsoCode,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
,USD,Picklist,,Advanced,,AI_Help_Desk_Type,true,false,AI Help Desk Type,AI Help Desk Type,AI Help Desk Type,,,
ATTR-QB-API,USD,Picklist,,Flex,,Type,true,false,Type,Type,API Type Picklist,,,
ATTR-QB-BASECORECNT,USD,Picklist,,4,,Base_Core_Count,true,false,Base Core Count,Base Core Count,Base Core Count Picklist,,,
ATTR-QB-CONNECTOR,USD,Picklist,,,,Connector_Type,true,false,Connector Type,Connector Type,Connector Type Picklist,,,
ATTR-QB-CPUFRQ,USD,Picklist,,3.2GHz,,Processor_Frequency,true,false,Processor_Frequency,Processor Frequency,Processor Frequency Picklist,,,
ATTR-QB-DATASTORAGE,USD,Picklist,,,,HDD_Storage,true,false,HDD_Storage,Data Storage,Data Storage Picklist,,,
ATTR-QB-DATATHROUGHPUTTB,USD,Number,,0,,Data_Throughput_TB,true,false,Data Throughput (TB),Data Throughput in TB,,,,
ATTR-QB-DATAUTIL,USD,Picklist,,,,Data_Utilization,true,false,Data Utilization,Data Utilization,Data Utilization,,,
ATTR-QB-FLOWS,USD,Number,,1000,,Flows,true,false,Flows,Flows,,,,
ATTR-QB-LENGTH,USD,Picklist,,,,Length,true,false,Length,Cable Length,Cable Length Picklist,,,
ATTR-QB-MESSAGES,USD,Number,,60,,Messages_Million,true,false,Messages (Million),Messages Million,,,,
ATTR-QB-NIC,USD,Picklist,,Direct_Attach,,NIC_Type,true,false,NIC_Type,Network Adapter Type,Network Adapter Type Picklist,,,
ATTR-QB-OS,USD,Picklist,,Amazon Linux 2,,Operating_System,true,false,Operating System,Operating System,Operating System Picklist,,,
ATTR-QB-PS-ENGOPTIONS,USD,Picklist,,Extended_Care,,Engineering_Options,true,false,Engineering_Options,Engineering Options,Engineering Options Picklist,,,
ATTR-QB-PS-NOTES,USD,Text,,Insert Notes Here,,Notes_and_Assumptions,true,false,Notes_and_Assumptions,Notes and Assumptions,,,,
ATTR-QB-PSRESOURCELOCATION,USD,Picklist,,Onsite,,Resource_Location,true,false,Resource_Location,Resource Location,Resource Location Picklist,,,
ATTR-QB-RAM,USD,Picklist,,Performance_Optimized,,Memory_Config,true,false,Memory_Config,Memory Config,RAM Config Picklist,,,
ATTR-QB-RAMMAX,USD,Picklist,,8GB,,Memory_Capacity,true,false,Memory_Capacity,Memory Capacity,RAM Picklist,,,
ATTR-QB-SRVCONFIG,USD,Picklist,,Security,,Server_Configuration,true,false,Server_Configuration,Server Configuration,Server Configuration Picklist,,,
ATTR-QB-SUBTYPE,USD,Picklist,,,,SubscriptionType,true,false,SubscriptionType,Subscription Type,Subscription Type Picklist,,,
Available PCIe Slots,USD,Number,,,,AvailablePCIeSlots,true,false,Available PCIe Slots,Available PCIe Slots,,,,
bigDrive,USD,Checkbox,,false,,bigDrive,true,false,bigDrive,bigDrive,,,,
DIMM Type,USD,Picklist,,3200MT/s RDIMMs,,DIMMType,true,false,DIMM Type,DIMM Type,DIMM Type,,,
Dual,USD,Picklist,,Single,,SocketConfiguration,true,false,Dual,Socket Configuration,Socket Configuration,,,
Front Storage,USD,Picklist,,,,FrontStorage,true,false,Front Storage,Front Storage,Front Storage,,,
HDD Count,USD,Number,,0,,HDDCount,true,false,HDD Count,HDD Count,,,,
PCIe Lane Type,USD,Picklist,,x8,,PCIeLane,true,false,PCIe Lane Type,PCIe Lane Type,PCIe Lane Type,,,
PCIe Slots Used,USD,Number,,,,PCIeSlotsUsed,true,false,PCIe Slots Used,PCIe Slots Used,,,,
Performance Tier,USD,Picklist,,N/A,,PerformanceTier,true,false,Performance Tier,Performance Tier,Performance Tier,,,
Power Draw (watts),USD,Number,,,,PowerDraw,true,false,Power Draw (watts),Power Draw (watts),,,,
RAID,USD,Picklist,,N/A,,RAID,true,false,RAID,RAID,RAID,,,
Rear Storage,USD,Picklist,,N/A,,RearStorage,true,false,Rear Storage,Rear Storage,Rear Storage,,,
Redundancy,USD,Picklist,,,,Redundancy,true,false,Redundancy,Redundancy,Redundancy,,,
smallDrive,USD,Checkbox,,false,,smallDrive,true,false,smallDrive,smallDrive,,,,
Storage (TB),USD,Number,,0,,GB_Storage,true,false,Storage (TB),Storage (TB),,,,
Storage Profile,USD,Picklist,,N/A,,StorageProfile,true,false,Storage Profile,Storage Profile,Storage Profile,,,
watts,USD,Number,,,,watts,true,false,watts,watts,,,,
Workload,USD,Picklist,,General,,Workload,true,false,Workload,Workload,Workload,,,
x16 Lanes,USD,Number,,4,,x16Lanes,true,false,x16 Lanes,x16 Lanes,,,,
x8 Lanes,USD,Number,,2,,x8Lanes,true,false,x8 Lanes,x8 Lanes,,,,
