$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
128GB LRDIMM;Standard Price Book;QB-MEM 128GB;One-Time;USD,USD,true,false,128GB LRDIMM,Standard Price Book;true,QB-MEM 128GB,One-Time;OneTime,1989
16GB RDIMM;Standard Price Book;QB-MEM 16GB;One-Time;USD,USD,true,false,16GB RDIMM,Standard Price Book;true,QB-MEM 16GB,One-Time;OneTime,599
1TB 10k RPM (2.5in);Standard Price Book;QB-HD 1.2TB;One-Time;USD,USD,true,false,1TB 10k RPM (2.5in),Standard Price Book;true,QB-HD 1.2TB,One-Time;OneTime,250
1TB 7.2k RPM NLSAS;Standard Price Book;QB-HD 1TB;One-Time;USD,USD,true,false,1TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 1TB,One-Time;OneTime,499
20TB 7.2k RPM NLSAS (3.5in);Standard Price Book;QB-HD 20TB;One-Time;USD,USD,true,false,20TB 7.2k RPM NLSAS (3.5in),Standard Price Book;true,QB-HD 20TB,One-Time;OneTime,1848
32GB RDIMM;Standard Price Book;QB-MEM 32GB;One-Time;USD,USD,true,false,32GB RDIMM,Standard Price Book;true,QB-MEM 32GB,One-Time;OneTime,889
3TB 10k RPM (2.5in);Standard Price Book;QB-HD 3TB;One-Time;USD,USD,true,false,3TB 10k RPM (2.5in),Standard Price Book;true,QB-HD 3TB,One-Time;OneTime,450
4TB 7.2k RPM NLSAS;Standard Price Book;QB-HD 4TB;One-Time;USD,USD,true,false,4TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 4TB,One-Time;OneTime,799
64GB RDIMM;Standard Price Book;QB-MEM 64GB;One-Time;USD,USD,true,false,64GB RDIMM,Standard Price Book;true,QB-MEM 64GB,One-Time;OneTime,999
8GB RDIMM;Standard Price Book;QB-MEM 8GB;One-Time;USD,USD,true,false,8GB RDIMM,Standard Price Book;true,QB-MEM 8GB,One-Time;OneTime,399
