BasedOn.Code,CanRamp,ConfigureDuringSale,CurrencyIsoCode,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,,USD,Default shipping product to calculate standard shipping charges.,/resource/RLM_quantumBit_logo_sq,,true,true,false,Shipping Charge Product,,,,9999999,,
AIHD,false,Allowed,USD,,,Bundle,true,true,false,AI Help Desk,AI Help Desk,,,AI Help Desk,Bundle,
,false,Allowed,USD,,,Software,true,true,false,AI Bot,AIBOT,,,AIBOT,,
,false,Allowed,USD,,,Software,true,true,false,Bulk Emails Sent,BES,,,BES,,
,false,Allowed,USD,,,Software,true,true,false,Bulk Emails Sent - Billing,BES-BILL,,,BES-BILL,,
,false,Allowed,USD,,,Software,true,true,false,Bulk WhatsApp Sent,BWS,,,BWS,,
,false,Allowed,USD,,,Software,true,true,false,Fin AI Copilot,FIA-CO,,,FIA-CO,,
,false,Allowed,USD,,,Software,true,true,false,Full Seats,FS-5,,,FS-5,,
,false,Allowed,USD,,,Software,true,true,false,Fin Voice Resolutions,FVR,,,FVR,,
,false,Allowed,USD,Pricing 5.0 Bundle Options,,Bundle,true,true,false,Intercom Pricing 5.0,IC-50,Each,,IC-50,Bundle,
,false,Allowed,USD,,,Software,true,true,false,Intercom Phone,IP-123,,,IP-123,,
,false,Allowed,USD,,,Software,true,true,false,Lite Seats,LS-5,,,LS-5,,
,false,Allowed,USD,,,Software,true,true,false,Proactive Support Plus,PSP,,,PSP,,
,false,Allowed,USD,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Finance Service Delete,QB-AEH-BILL,,,QB-AEH-BILL,,
,false,Allowed,USD,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Provisioning and Activation Service,QB-AEH-CPU,,,QB-AEH-CPU,,
,false,Allowed,USD,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH Environment Runtime,QB-AEH-ENV,,,QB-AEH-ENV,,
,false,Allowed,USD,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH Object Store - Restricted Use,QB-AEH-OBJ,,,QB-AEH-OBJ,,
,false,Allowed,USD,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Order Processing,QB-AEH-OR,,,QB-AEH-OR,,
PC-QB-API,true,Allowed,USD,,/resource/add_api,Software,true,true,false,Additional API,QB-API,,,QB-API,,
,false,,USD,,/resource/RLM_quantumBit_logo_sq,None,true,true,false,API Calls,QB-API-CALLS,Each,,QB-API-CALLS,,
,false,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_flex,Software,true,true,false,Additional API Flex (100M),QB-API-FLEX,,,QB-API-FLEX,,
,false,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_govt,Software,true,true,false,Additional API Gov,QB-API-GOVT,,,QB-API-GOVT,,
,false,,USD,Increase productivity by managing all your APIs and microservices from one place.,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,QB API Management Solution,QB-API-MGMT,,,QB-API-MGMT,,
,false,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_preprod,Software,true,true,false,Additional API Pre-Prod,QB-API-PREP,,,QB-API-PREP,,
,false,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_prod,Software,true,true,false,Additional API Prod,QB-API-PROD,,,QB-API-PROD,,
,false,,USD,QuantumBit API Experience Hub enables you to create vibrant ecosystems and grow engagement for your API products,/resource/api_access,Software,true,true,false,API Access Requests (AEH),QB-API-REQT,,,QB-API-REQT,,
,false,,USD,"Your QuantumBit Automation subscription plan includes a quota of Automation QB Credits that you can use with QB RPA, QB Orchestrator, or a combination of both products. As you use processes to create automations, your total credit quota is depleted. 1 QB Automation Credit = 2 RPA Bot Minutes, 1 QB Automation Credit = 100 RPA API Calls, 1 QB Automation Credit = 50 Orchestrator Tasks",/resource/add_auto_credit,Software,true,true,false,Additional Automation QB Credits,QB-AUT-CRED,,,QB-AUT-CRED,,
,false,,USD,"The Business Critical Edition offers specialized functionality for highly regulated industries, especially those with sensitive data. The edition includes all features in the Enterprise Edition plus ...",/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit Business Critical,QB-BDL-CRTL,,,QB-BDL-CRTL,,
,false,,USD,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit Enterprise,QB-BDL-ENTR,,,QB-BDL-ENTR,,
PC-QB-SERVER,false,Allowed,USD,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",/resource/powerswerve,Bundle,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,QB-BDL-R750,Bundle,
,false,,USD,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.",/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit Rack Enclosure,QB-BDL-RAXS,,,QB-BDL-RAXS,,
PC-QB-PSBUNDLE,false,Allowed,USD,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",/resource/ps_qb_project,Bundle,true,true,false,Services Project,QB-BDL-SRVC,,,QB-BDL-SRVC,Bundle,
,false,Allowed,USD,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,/resource/starter,Bundle,true,true,false,QuantumBit Starter,QB-BDL-STND,,,QB-BDL-STND,Bundle,
PC-QB-NIC,false,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,/resource/intel_x710_sfp,Hardware,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,QB-BET X710SFP,,
,false,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 8 rack units (U's) for a vertical storage rack.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 8U 600mmx1070mm,QB-BMX-1050,,,QB-BMX-1050,,
,false,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 6 rack units (U's) for a vertical storage rack.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 6U 600mmx870mm,QB-BMX-1051,,,QB-BMX-1051,,
,false,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 10 rack units (U's) for a vertical storage rack.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 10U 600mmx1200mm,QB-BMX-1053,,,QB-BMX-1053,,
,false,,USD,The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Blanking Panel,QB-BSSA-4298,,,QB-BSSA-4298,,
,false,,USD,"Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Sliding Shelf 200lbs,QB-BSSA-4300,,,QB-BSSA-4300,,
,false,,USD,"Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Fixed Shelf 250lbs,QB-BSSA-4302,,,QB-BSSA-4302,,
,false,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303,,,QB-BSSA-4303,,
,false,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,TX Bolt-Down Kit,QB-BSSA-4304,,,QB-BSSA-4304,,
,false,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Roof Fan Tray 750mm - 120V,QB-BSSA-4306,,,QB-BSSA-4306,,
,false,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Roof Fan Tray 750mm - 208V,QB-BSSA-4308,,,QB-BSSA-4308,,
PCIe PC,false,Allowed,USD,QB-CacheBoost 150 – a PCIe SSD cache accelerator that improves application response times and throughput.,/resource/cacheboost,Hardware,true,true,false,QB-CacheBoost 150,QB-CBOOST-150,,,QB-CBOOST-150,,
,false,,USD,These accessories offer the proper cable management options to meet varying needs.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Cable Management Rings (Qty 10),QB-CMPC-5881,,,QB-CMPC-5881,,
PC-QB-CABLES,false,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,/resource/power_cable,Hardware,true,true,false,Configured Power Cable,QB-CMPC-5882,,,QB-CMPC-5882,,
,false,,USD,These accessories offer the proper cable management options to meet varying needs.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5883,,,QB-CMPC-5883,,
,false,,USD,These accessories offer the proper cable management options to meet varying needs.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Cable Containment Brackets,QB-CMPC-5884,,,QB-CMPC-5884,,
PC-QB-CABLES,false,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,/resource/power_cable,Hardware,true,true,false,C13 to C14 Power Cable 3',QB-CMPC-5887,,,QB-CMPC-5887,,
,false,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,/resource/power_cable,Hardware,true,true,false,C13 to C14 Power Cable 5',QB-CMPC-5888,,,QB-CMPC-5888,,
