$$Product2.StockKeepingUnit$ProductSellingModel.Name,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
QB-DB;Term Annual,true,QB-DB,Term Annual;TermDefined,Default Proration Policy
QB-SRV-DNE;One-Time,true,QB-SRV-DNE,One-Time;OneTime,
QB-TRN-FUND;One-Time,true,QB-TRN-FUND,One-Time;OneTime,
QB-CMPC-5887;One-Time,true,QB-CMPC-5887,One-Time;OneTime,
QB-TRN-ESSNTLS;One-Time,true,QB-TRN-ESSNTLS,One-Time;OneTime,
QB-API-FLEX;Term Annual,true,QB-API-FLEX,Term Annual;TermDefined,Default Proration Policy
QB-API-GOVT;Term Annual,true,QB-API-GOVT,Term Annual;TermDefined,Default Proration Policy
QB-API-PREP;Term Annual,true,QB-API-PREP,Term Annual;TermDefined,Default Proration Policy
QB-API-PROD;Term Annual,true,QB-API-PROD,Term Annual;TermDefined,Default Proration Policy
QB-AUT-CRED;Term Annual,true,QB-AUT-CRED,Term Annual;TermDefined,Default Proration Policy
QB-DAT-GRPH;Term Annual,true,QB-DAT-GRPH,Term Annual;TermDefined,Default Proration Policy
QB-API-REQT;Term Annual,true,QB-API-REQT,Term Annual;TermDefined,Default Proration Policy
QB-FLO-STRT;Term Annual,true,QB-FLO-STRT,Term Annual;TermDefined,Default Proration Policy
QB-MSG-STRT;Term Annual,true,QB-MSG-STRT,Term Annual;TermDefined,Default Proration Policy
QB-DAT-THPT;Term Annual,true,QB-DAT-THPT,Term Annual;TermDefined,Default Proration Policy
QB-API-MGMT;Term Annual,true,QB-API-MGMT,Term Annual;TermDefined,Default Proration Policy
QB-BDL-STND;One-Time,true,QB-BDL-STND,One-Time;OneTime,
QB-SUPP-1005;Term Annual,true,QB-SUPP-1005,Term Annual;TermDefined,Default Proration Policy
QB-API;Term Annual,true,QB-API,Term Annual;TermDefined,Default Proration Policy
QB-COMPLETE;Term Annual,true,QB-COMPLETE,Term Annual;TermDefined,Default Proration Policy
QB-API;Term Monthly,false,QB-API,Term Monthly;TermDefined,Default Proration Policy
QB-API;Evergreen Monthly,false,QB-API,Evergreen Monthly;Evergreen,Default Proration Policy
QB-MEM 16GB;One-Time,true,QB-MEM 16GB,One-Time;OneTime,
QB-HD 4TB;One-Time,true,QB-HD 4TB,One-Time;OneTime,
QB-HD 8TB;One-Time,true,QB-HD 8TB,One-Time;OneTime,
QB-HD 8TBSE;One-Time,true,QB-HD 8TBSE,One-Time;OneTime,
QB-BDL-SRVC;One-Time,true,QB-BDL-SRVC,One-Time;OneTime,
QB-SUPP-1000;Term Annual,true,QB-SUPP-1000,Term Annual;TermDefined,Default Proration Policy
QB-SRV-MEE;One-Time,true,QB-SRV-MEE,One-Time;OneTime,
QB-SRV-PD;One-Time,true,QB-SRV-PD,One-Time;OneTime,
QB-INTEL E5-2660;One-Time,true,QB-INTEL E5-2660,One-Time;OneTime,
QB-SRV-QAE;One-Time,true,QB-SRV-QAE,One-Time;OneTime,
QB-NET X710;One-Time,true,QB-NET X710,One-Time;OneTime,
QB-SRV-IMP;One-Time,true,QB-SRV-IMP,One-Time;OneTime,
QB-BET X710SFP;One-Time,true,QB-BET X710SFP,One-Time;OneTime,
QB-MEM 8GB;One-Time,true,QB-MEM 8GB,One-Time;OneTime,
QB-MEM 32GB;One-Time,true,QB-MEM 32GB,One-Time;OneTime,
QB-HD 1TB;One-Time,true,QB-HD 1TB,One-Time;OneTime,
QB-SRV-ISE;One-Time,true,QB-SRV-ISE,One-Time;OneTime,
QB-SRV-SAT;One-Time,true,QB-SRV-SAT,One-Time;OneTime,
QB-CMPC-5882;One-Time,true,QB-CMPC-5882,One-Time;OneTime,
TEST-SUB;Evergreen Monthly,false,TEST-SUB,Evergreen Monthly;Evergreen,Default Proration Policy
QB-SRV-OG-PSH;One-Time,true,QB-SRV-OG-PSH,One-Time;OneTime,
QB-SRV-SOW;One-Time,true,QB-SRV-SOW,One-Time;OneTime,
QB-INTEL E5-2683;One-Time,true,QB-INTEL E5-2683,One-Time;OneTime,
QB-INTEL E5-2609;One-Time,true,QB-INTEL E5-2609,One-Time;OneTime,
TEST-SUB;Term Monthly,false,TEST-SUB,Term Monthly;TermDefined,Default Proration Policy
QB-INTEL E5-2667;One-Time,true,QB-INTEL E5-2667,One-Time;OneTime,
QB-SRV-PMN;One-Time,true,QB-SRV-PMN,One-Time;OneTime,
QB-API-MGMT;Evergreen Monthly,false,QB-API-MGMT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-COMPLETE;Evergreen Monthly,false,QB-COMPLETE,Evergreen Monthly;Evergreen,Default Proration Policy
QB-API-REQT;Term Monthly,false,QB-API-REQT,Term Monthly;TermDefined,Default Proration Policy
QB-COMPLETE;One-Time,false,QB-COMPLETE,One-Time;OneTime,
QB-MSG-STRT;Evergreen Monthly,false,QB-MSG-STRT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-DAT-THPT;Evergreen Monthly,false,QB-DAT-THPT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-FLO-STRT;Evergreen Monthly,false,QB-FLO-STRT,Evergreen Monthly;Evergreen,Default Proration Policy
QB-BDL-R750;One-Time,true,QB-BDL-R750,One-Time;OneTime,
